Year,Series,Elikagaiak,Lurralde historikoa,Units,Value
2008,Elikagaien prezioen anomalien adierazlea,Fruta freskoak,,IX,0.6
2022,Elikagaien prezioen anomalien adierazlea,Fruta freskoak,,IX,0.7
2019,Elikagaien prezioen anomalien adierazlea,Fruta freskoak,,IX,-0.5
2011,Elikagaien prezioen anomalien adierazlea,Fruta freskoak,,IX,-0.4
2018,Elikagaien prezioen anomalien adierazlea,Fruta freskoak,,IX,0.0
2007,Elikagaien prezioen anomalien adierazlea,Fruta freskoak,,IX,-0.2
2005,Elikagaien prezioen anomalien adierazlea,Fruta freskoak,,IX,0.1
2016,Elikagaien prezioen anomalien adierazlea,Fruta freskoak,,IX,-0.2
2017,Elikagaien prezioen anomalien adierazlea,Fruta freskoak,,IX,0.4
2014,Elikagaien prezioen anomalien adierazlea,Fruta freskoak,,IX,-0.8
2004,Elikagaien prezioen anomalien adierazlea,Fruta freskoak,,IX,0.7
2023,Elikagaien prezioen anomalien adierazlea,Fruta freskoak,,IX,0.2
2019,Elikagaien prezioen anomalien adierazlea,Lekale eta barazki freskoak,,IX,0.1
2011,Elikagaien prezioen anomalien adierazlea,Lekale eta barazki freskoak,,IX,-0.7
2023,Elikagaien prezioen anomalien adierazlea,Lekale eta barazki freskoak,,IX,0.8
2021,Elikagaien prezioen anomalien adierazlea,Lekale eta barazki freskoak,,IX,-0.3
2005,Elikagaien prezioen anomalien adierazlea,Lekale eta barazki freskoak,,IX,0.3
2009,Elikagaien prezioen anomalien adierazlea,Lekale eta barazki freskoak,,IX,-0.1
2016,Elikagaien prezioen anomalien adierazlea,Lekale eta barazki freskoak,,IX,-0.4
2020,Elikagaien prezioen anomalien adierazlea,Lekale eta barazki freskoak,,IX,0.1
2015,Elikagaien prezioen anomalien adierazlea,Lekale eta barazki freskoak,,IX,0.5
2018,Elikagaien prezioen anomalien adierazlea,Lekale eta barazki freskoak,,IX,-0.3
2024,Elikagaien prezioen anomalien adierazlea,Lekale eta barazki freskoak,,IX,-0.3
2006,Elikagaien prezioen anomalien adierazlea,Lekale eta barazki freskoak,,IX,-0.3
2010,Elikagaien prezioen anomalien adierazlea,Lekale eta barazki freskoak,,IX,-0.4
2022,Elikagaien prezioen anomalien adierazlea,Lekale eta barazki freskoak,,IX,1.4
2007,Elikagaien prezioen anomalien adierazlea,Lekale eta barazki freskoak,,IX,0.2
2003,Elikagaien prezioen anomalien adierazlea,Lekale eta barazki freskoak,,IX,0.3
2014,Elikagaien prezioen anomalien adierazlea,Lekale eta barazki freskoak,,IX,-0.7
2008,Elikagaien prezioen anomalien adierazlea,Lekale eta barazki freskoak,,IX,0.0
2017,Elikagaien prezioen anomalien adierazlea,Lekale eta barazki freskoak,,IX,0.7
2012,Elikagaien prezioen anomalien adierazlea,Lekale eta barazki freskoak,,IX,-0.2
2004,Elikagaien prezioen anomalien adierazlea,Lekale eta barazki freskoak,,IX,0.0
2013,Elikagaien prezioen anomalien adierazlea,Lekale eta barazki freskoak,,IX,-0.3
