Year,Series,Tipo de tecnología renovable,Territorio,Comarca,Municipio,Units,GeoCode,Value
2018,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Aia,Watts per cápita,Aia,403.9
2022,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Aia,Watts per cápita,Aia,810.7
2021,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Aia,Watts per cápita,Aia,793.9
2012,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Aia,Watts per cápita,Aia,280.2
2014,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Aia,Watts per cápita,Aia,307.4
2014,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Aizarnazabal,Watts per cápita,Aizarnazabal,3457.0
2020,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Aizarnazabal,Watts per cápita,Aizarnazabal,3386.5
2012,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Aizarnazabal,Watts per cápita,Aizarnazabal,3481.3
2016,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Aizarnazabal,Watts per cápita,Aizarnazabal,3395.3
2021,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Aizarnazabal,Watts per cápita,Aizarnazabal,3517.3
2022,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Aizarnazabal,Watts per cápita,Aizarnazabal,3531.4
2018,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Aizarnazabal,Watts per cápita,Aizarnazabal,3422.0
2019,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Aizarnazabal,Watts per cápita,Aizarnazabal,3395.3
2015,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Aizarnazabal,Watts per cápita,Aizarnazabal,3462.9
2013,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Aizarnazabal,Watts per cápita,Aizarnazabal,3462.9
2017,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Aizarnazabal,Watts per cápita,Aizarnazabal,3408.6
2011,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Aizarnazabal,Watts per cápita,Aizarnazabal,3563.7
2010,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Aizarnazabal,Watts per cápita,Aizarnazabal,3704.2
2019,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Ajangiz,Watts per cápita,Ajangiz,1145.5
2013,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Ajangiz,Watts per cápita,Ajangiz,1105.3
2017,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Ajangiz,Watts per cápita,Ajangiz,1100.4
2012,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Ajangiz,Watts per cápita,Ajangiz,693.7
2015,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Ajangiz,Watts per cápita,Ajangiz,1085.4
2016,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Ajangiz,Watts per cápita,Ajangiz,1090.9
2022,Capacidad de generación de electricidad renovable instalada (vatios per cápita),,,,Ajangiz,Watts per cápita,Ajangiz,1181.0
