Year,Lurraldea,Eskualdea,Udalerria,Unidad,GeoCode,Value
2023,,,Alegia,Euroak,Alegia,1317.0
2022,,,Alkiza,Euroak,Alkiza,1113.9
2023,,,Alkiza,Euroak,Alkiza,1194.8
2022,,,Altzo,Euroak,Altzo,1315.6
2023,,,Altzo,Euroak,Altzo,1522.8
2022,,,Amezketa,Euroak,Amezketa,1414.6
2023,,,Amezketa,Euroak,Amezketa,1529.8
2022,,,Andoain,Euroak,Andoain,1371.5
2023,,,Andoain,Euroak,Andoain,1497.2
2022,,Bidasoa Beherea / Bajo Bidasoa,,Euroak,Bidasoa Beherea / Bajo Bidasoa,1257.8
2023,,Bidasoa Beherea / Bajo Bidasoa,,Euroak,Bidasoa Beherea / Bajo Bidasoa,1380.0
2022,,,Anoeta,Euroak,Anoeta,1348.9
2023,,,Anoeta,Euroak,Anoeta,1467.9
2022,,,Antzuola,Euroak,Antzuola,1350.4
2023,,,Antzuola,Euroak,Antzuola,1483.3
2022,,,Arama,Euroak,Arama,1360.3
2023,,,Arama,Euroak,Arama,1491.7
2022,,,Aretxabaleta,Euroak,Aretxabaleta,1084.9
2023,,,Aretxabaleta,Euroak,Aretxabaleta,1201.3
2022,,,Asteasu,Euroak,Asteasu,1183.4
2023,,,Asteasu,Euroak,Asteasu,1300.1
2022,,,Ataun,Euroak,Ataun,1297.4
2023,,,Ataun,Euroak,Ataun,1428.7
2022,,,Aia,Euroak,Aia,1100.9
2023,,,Aia,Euroak,Aia,1227.4
2022,,,Azkoitia,Euroak,Azkoitia,1352.3
2023,,,Azkoitia,Euroak,Azkoitia,1496.1
2022,,,Azpeitia,Euroak,Azpeitia,1336.1
2023,,,Azpeitia,Euroak,Azpeitia,1460.2
2022,,,Beasain,Euroak,Beasain,1478.1
2023,,,Beasain,Euroak,Beasain,1618.1
2022,,Debabarrena / Bajo Deba,,Euroak,Debabarrena / Bajo Deba,1323.6
2023,,Debabarrena / Bajo Deba,,Euroak,Debabarrena / Bajo Deba,1455.5
2022,,,Beizama,Euroak,Beizama,1041.0
2023,,,Beizama,Euroak,Beizama,1117.6
2022,,,Belauntza,Euroak,Belauntza,1247.4
2023,,,Belauntza,Euroak,Belauntza,1387.0
2022,,,Berastegi,Euroak,Berastegi,1342.5
2023,,,Berastegi,Euroak,Berastegi,1469.2
2022,,,Berrobi,Euroak,Berrobi,1235.4
2023,,,Berrobi,Euroak,Berrobi,1369.6
2022,,,Bidania-Goiatz,Euroak,Bidania-Goiatz,1158.0
2023,,,Bidania-Goiatz,Euroak,Bidania-Goiatz,1284.5
2022,,,Zegama,Euroak,Zegama,1187.8
2023,,,Zegama,Euroak,Zegama,1327.3
2022,,,Zerain,Euroak,Zerain,1223.5
2023,,,Zerain,Euroak,Zerain,1374.8
2022,,,Zestoa,Euroak,Zestoa,1281.3
2023,,,Zestoa,Euroak,Zestoa,1399.2
2022,,,Zizurkil,Euroak,Zizurkil,1336.6
2023,,,Zizurkil,Euroak,Zizurkil,1474.6
2022,,,Deba,Euroak,Deba,1278.5
2023,,,Deba,Euroak,Deba,1408.6
2022,,Debagoiena / Alto Deba,,Euroak,Debagoiena / Alto Deba,1221.7
2023,,Debagoiena / Alto Deba,,Euroak,Debagoiena / Alto Deba,1342.0
2022,,,Eibar,Euroak,Eibar,1348.0
2023,,,Eibar,Euroak,Eibar,1485.8
2022,,,Elduain,Euroak,Elduain,1358.9
2023,,,Elduain,Euroak,Elduain,1452.5
2022,,,Elgoibar,Euroak,Elgoibar,1371.0
2023,,,Elgoibar,Euroak,Elgoibar,1498.2
2022,,,Elgeta,Euroak,Elgeta,1371.5
2023,,,Elgeta,Euroak,Elgeta,1505.0
2022,,,Eskoriatza,Euroak,Eskoriatza,1084.2
2023,,,Eskoriatza,Euroak,Eskoriatza,1182.9
2022,,,Ezkio-Itsaso,Euroak,Ezkio-Itsaso,1281.4
2023,,,Ezkio-Itsaso,Euroak,Ezkio-Itsaso,1408.8
2022,,,Hondarribia,Euroak,Hondarribia,1350.7
2023,,,Hondarribia,Euroak,Hondarribia,1482.5
2022,,,Gaintza,Euroak,Gaintza,1454.7
2023,,,Gaintza,Euroak,Gaintza,1627.9
2022,,,Gabiria,Euroak,Gabiria,1266.7
2023,,,Gabiria,Euroak,Gabiria,1381.5
2022,,,Getaria,Euroak,Getaria,1165.1
2023,,,Getaria,Euroak,Getaria,1278.8
2022,,Donostialdea,,Euroak,Donostialdea,1351.0
2023,,Donostialdea,,Euroak,Donostialdea,1483.7
2022,,,Hernani,Euroak,Hernani,1274.0
2023,,,Hernani,Euroak,Hernani,1405.5
2022,,,Hernialde,Euroak,Hernialde,1455.7
2023,,,Hernialde,Euroak,Hernialde,1496.2
2022,,,Ibarra,Euroak,Ibarra,1344.8
2023,,,Ibarra,Euroak,Ibarra,1479.2
2022,,,Idiazabal,Euroak,Idiazabal,1329.9
2023,,,Idiazabal,Euroak,Idiazabal,1454.1
2022,,,Ikaztegieta,Euroak,Ikaztegieta,1320.8
2023,,,Ikaztegieta,Euroak,Ikaztegieta,1418.1
2022,,,Irun,Euroak,Irun,1232.6
2023,,,Irun,Euroak,Irun,1351.9
