Year,Teknologia,Lurralde historikoa,Units,Value
2013,NET_FTTH,Bizkaia,PER_100_POP,0.3
2016,NET_FTTH,Bizkaia,PER_100_POP,8.8
2014,NET_FTTH,Bizkaia,PER_100_POP,1.7
2010,NET_FTTH,Bizkaia,PER_100_POP,0.0
2018,NET_FTTH,Bizkaia,PER_100_POP,16.1
2019,NET_FTTH,Bizkaia,PER_100_POP,19.2
2022,NET_FTTH,Bizkaia,PER_100_POP,29.6
2017,NET_FTTH,Bizkaia,PER_100_POP,11.3
2021,NET_FTTH,Bizkaia,PER_100_POP,25.5
2020,NET_FTTH,Bizkaia,PER_100_POP,21.4
2021,NET_FTTH,Gipuzkoa,PER_100_POP,26.6
2018,NET_FTTH,Gipuzkoa,PER_100_POP,16.7
2022,NET_FTTH,Gipuzkoa,PER_100_POP,29.8
2020,NET_FTTH,Gipuzkoa,PER_100_POP,22.3
2019,NET_FTTH,Gipuzkoa,PER_100_POP,20.0
2017,NET_FTTH,Gipuzkoa,PER_100_POP,13.4
2016,NET_FTTH,Gipuzkoa,PER_100_POP,9.3
2014,NET_FTTH,Gipuzkoa,PER_100_POP,2.2
2013,NET_FTTH,Gipuzkoa,PER_100_POP,0.7
2012,NET_FTTH,Gipuzkoa,PER_100_POP,0.2
2011,NET_FTTH,Gipuzkoa,PER_100_POP,0.1
2010,NET_FTTH,Gipuzkoa,PER_100_POP,0.0
2015,NET_FTTH,Gipuzkoa,PER_100_POP,4.0
2019,NET_HFC,,PER_100_POP,12.5
2021,NET_HFC,,PER_100_POP,10.1
2011,NET_HFC,,PER_100_POP,11.1
2015,NET_HFC,,PER_100_POP,12.2
2013,NET_HFC,,PER_100_POP,11.7
2014,NET_HFC,,PER_100_POP,11.9
2020,NET_HFC,,PER_100_POP,11.9
2022,NET_HFC,,PER_100_POP,7.5
2017,NET_HFC,,PER_100_POP,12.6
2018,NET_HFC,,PER_100_POP,12.5
2016,NET_HFC,,PER_100_POP,12.5
2012,NET_HFC,,PER_100_POP,11.2
2010,NET_HFC,,PER_100_POP,10.2
2018,NET_HFC,Araba / Álava,PER_100_POP,8.6
2016,NET_HFC,Araba / Álava,PER_100_POP,9.2
2014,NET_HFC,Araba / Álava,PER_100_POP,9.2
2020,NET_HFC,Araba / Álava,PER_100_POP,7.2
2022,NET_HFC,Araba / Álava,PER_100_POP,4.8
2021,NET_HFC,Araba / Álava,PER_100_POP,7.3
2019,NET_HFC,Araba / Álava,PER_100_POP,8.5
2017,NET_HFC,Araba / Álava,PER_100_POP,8.7
2015,NET_HFC,Araba / Álava,PER_100_POP,9.1
2013,NET_HFC,Araba / Álava,PER_100_POP,8.9
2012,NET_HFC,Araba / Álava,PER_100_POP,8.2
2010,NET_HFC,Araba / Álava,PER_100_POP,6.7
2011,NET_HFC,Araba / Álava,PER_100_POP,8.0
2021,NET_HFC,Bizkaia,PER_100_POP,11.0
2020,NET_HFC,Bizkaia,PER_100_POP,13.4
2019,NET_HFC,Bizkaia,PER_100_POP,13.8
