Year,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2020,,,Arantzazu,PER_10000,Arantzazu,0.0
2019,,,Arantzazu,PER_10000,Arantzazu,161.3
2023,,,Areatza,PER_10000,Areatza,61.5
2019,,,Areatza,PER_10000,Areatza,63.9
2021,,,Areatza,PER_10000,Areatza,30.9
2022,,,Areatza,PER_10000,Areatza,31.3
2020,,,Areatza,PER_10000,Areatza,62.2
2021,,,Aretxabaleta,PER_10000,Aretxabaleta,16.9
2019,,,Aretxabaleta,PER_10000,Aretxabaleta,5.7
2022,,,Aretxabaleta,PER_10000,Aretxabaleta,25.2
2020,,,Aretxabaleta,PER_10000,Aretxabaleta,14.2
2023,,,Aretxabaleta,PER_10000,Aretxabaleta,16.6
2019,,,Armiñón,PER_10000,Armiñón,0.0
2021,,,Armiñón,PER_10000,Armiñón,0.0
2023,,,Armiñón,PER_10000,Armiñón,92.6
2020,,,Armiñón,PER_10000,Armiñón,0.0
2022,,,Armiñón,PER_10000,Armiñón,0.0
2022,,,Arraia-Maeztu,PER_10000,Arraia-Maeztu,0.0
2021,,,Arraia-Maeztu,PER_10000,Arraia-Maeztu,55.7
2019,,,Arraia-Maeztu,PER_10000,Arraia-Maeztu,31.1
2020,,,Arraia-Maeztu,PER_10000,Arraia-Maeztu,29.7
2023,,,Arraia-Maeztu,PER_10000,Arraia-Maeztu,26.5
2019,,,Arrankudiaga-Zollo,PER_10000,Arrankudiaga-Zollo,19.6
2020,,,Arrankudiaga-Zollo,PER_10000,Arrankudiaga-Zollo,0.0
2022,,,Arrankudiaga-Zollo,PER_10000,Arrankudiaga-Zollo,39.7
2023,,,Arrankudiaga-Zollo,PER_10000,Arrankudiaga-Zollo,39.7
2021,,,Arrankudiaga-Zollo,PER_10000,Arrankudiaga-Zollo,38.7
2022,,,Arrasate / Mondragón,PER_10000,Arrasate / Mondragón,44.4
2019,,,Arrasate / Mondragón,PER_10000,Arrasate / Mondragón,32.1
2021,,,Arrasate / Mondragón,PER_10000,Arrasate / Mondragón,27.1
2020,,,Arrasate / Mondragón,PER_10000,Arrasate / Mondragón,19.7
2023,,,Arrasate / Mondragón,PER_10000,Arrasate / Mondragón,50.5
2019,,,Arratzu,PER_10000,Arratzu,0.0
2022,,,Arratzu,PER_10000,Arratzu,0.0
2020,,,Arratzu,PER_10000,Arratzu,0.0
2021,,,Arratzu,PER_10000,Arratzu,0.0
2023,,,Arratzu,PER_10000,Arratzu,0.0
2022,,,Arratzua-Ubarrundia,PER_10000,Arratzua-Ubarrundia,59.9
2020,,,Arratzua-Ubarrundia,PER_10000,Arratzua-Ubarrundia,41.9
2019,,,Arratzua-Ubarrundia,PER_10000,Arratzua-Ubarrundia,21.4
2021,,,Arratzua-Ubarrundia,PER_10000,Arratzua-Ubarrundia,0.0
2023,,,Arratzua-Ubarrundia,PER_10000,Arratzua-Ubarrundia,19.6
2022,,,Arrieta,PER_10000,Arrieta,0.0
2019,,,Arrieta,PER_10000,Arrieta,0.0
2021,,,Arrieta,PER_10000,Arrieta,0.0
2023,,,Arrieta,PER_10000,Arrieta,0.0
2020,,,Arrieta,PER_10000,Arrieta,36.1
2019,,,Arrigorriaga,PER_10000,Arrigorriaga,21.2
2023,,,Arrigorriaga,PER_10000,Arrigorriaga,49.8
2022,,,Arrigorriaga,PER_10000,Arrigorriaga,36.6
2020,,,Arrigorriaga,PER_10000,Arrigorriaga,40.6
2021,,,Arrigorriaga,PER_10000,Arrigorriaga,36.1
2020,,,Artea,PER_10000,Artea,27.9
2021,,,Artea,PER_10000,Artea,0.0
2022,,,Artea,PER_10000,Artea,106.1
2023,,,Artea,PER_10000,Artea,79.6
2019,,,Artea,PER_10000,Artea,0.0
2019,,,Artzentales,PER_10000,Artzentales,30.5
2021,,,Artzentales,PER_10000,Artzentales,29.4
2020,,,Artzentales,PER_10000,Artzentales,0.0
2022,,,Artzentales,PER_10000,Artzentales,30.2
2023,,,Artzentales,PER_10000,Artzentales,59.2
2020,,,Artziniega,PER_10000,Artziniega,20.9
2023,,,Artziniega,PER_10000,Artziniega,176.7
2022,,,Artziniega,PER_10000,Artziniega,41.7
2021,,,Artziniega,PER_10000,Artziniega,10.6
2019,,,Artziniega,PER_10000,Artziniega,41.4
2023,,,Asparrena,PER_10000,Asparrena,61.1
2021,,,Asparrena,PER_10000,Asparrena,48.1
2020,,,Asparrena,PER_10000,Asparrena,73.7
2019,,,Asparrena,PER_10000,Asparrena,25.0
