Year,Series,Institucion,Territorio,Units,Value
2016,SG_DMK_PSRVC,,ES211,RO,1.21
2022,SG_DMK_PARLMP_LC,,,RO,1.01
2018,SG_DMK_PARLMP_LC,,,RO,1.07
2022,SG_DMK_PSRVC,,ES213,RO,1.21
2011,SG_DMK_PSRVC,,,RO,1.12
2020,SG_DMK_PARLMP_LC,,,RO,1.01
2023,SG_DMK_PARLMP_LC,,,RO,0.99
2021,SG_DMK_PSRVC,,ES212,RO,1.25
2018,SG_DMK_PSRVC,,ES212,RO,1.17
2019,SG_DMK_PSRVC,,,RO,1.21
2023,SG_DMK_PSRVC,,ES211,RO,1.28
2014,SG_DMK_PSRVC,,ES213,RO,1.13
2015,SG_DMK_PSRVC,,,RO,1.16
2010,SG_DMK_PSRVC,,,RO,1.13
2017,SG_DMK_PSRVC,,ES211,RO,1.22
2017,SG_DMK_PARLMP_LC,,,RO,1.07
2015,SG_DMK_PSRVC,,ES212,RO,1.18
2011,SG_DMK_PSRVC,,ES211,RO,1.16
2019,SG_DMK_PSRVC,,ES211,RO,1.24
2021,SG_DMK_PSRVC,,ES211,RO,1.25
2022,SG_DMK_PSRVC,,,RO,1.23
2010,SG_DMK_PSRVC,,ES212,RO,1.15
2021,SG_DMK_PSRVC,,ES213,RO,1.21
2010,SG_DMK_PARLMP_LC,,,RO,0.91
2023,SG_DMK_PSRVC,,,RO,1.29
2017,SG_DMK_PSRVC,,ES213,RO,1.17
2021,SG_DMK_PARLMP_LC,,,RO,1.01
2012,SG_DMK_PSRVC,,,RO,1.14
2019,SG_DMK_PARLMP_LC,,,RO,1.07
2010,SG_DMK_PSRVC,,ES213,RO,1.11
2015,SG_DMK_PSRVC,,ES211,RO,1.2
2018,SG_DMK_PSRVC,,,RO,1.16
2011,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES213,RO,1.29
2010,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES213,RO,1.3
2022,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,,RO,1.34
2010,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES211,RO,1.28
2018,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES212,RO,1.34
2016,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES212,RO,1.38
2012,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES213,RO,1.3
2020,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES213,RO,1.32
2012,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,,RO,1.32
2018,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,,RO,1.3
2016,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES213,RO,1.32
2023,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,,RO,1.4
2019,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES213,RO,1.35
2012,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES211,RO,1.29
2022,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES213,RO,1.33
2022,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES212,RO,1.39
2023,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES212,RO,1.47
2010,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES212,RO,1.34
2019,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES211,RO,1.34
2013,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES212,RO,1.38
2022,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES211,RO,1.32
2010,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,,RO,1.31
2015,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES211,RO,1.32
2023,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES211,RO,1.32
2013,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,,RO,1.33
2019,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,,RO,1.37
2020,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,,RO,1.34
2011,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES212,RO,1.35
2015,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES212,RO,1.37
2014,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,,RO,1.33
2017,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES211,RO,1.32
2019,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES212,RO,1.42
2021,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES211,RO,1.33
2015,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,,RO,1.33
2016,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES211,RO,1.31
2020,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES211,RO,1.32
2013,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES211,RO,1.3
2011,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES211,RO,1.29
2021,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,,RO,1.36
2011,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,,RO,1.31
2014,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES213,RO,1.32
2021,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES213,RO,1.33
2017,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,,RO,1.35
2018,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES211,RO,1.31
2012,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES212,RO,1.37
2020,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES212,RO,1.4
2013,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES213,RO,1.31
2016,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,,RO,1.34
2014,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES212,RO,1.37
2015,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES213,RO,1.32
2021,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES212,RO,1.42
2017,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES213,RO,1.33
2023,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES213,RO,1.41
2017,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES212,RO,1.4
2018,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES213,RO,1.26
2014,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES211,RO,1.31
2018,SG_DMK_PSRVC,EU_DMK_EDU_AUT,,RO,1.48
2017,SG_DMK_PSRVC,EU_DMK_SAN_AUT,,RO,1.55
2021,SG_DMK_PSRVC,EU_DMK_DF,ES212,RO,1.22
2014,SG_DMK_PSRVC,EU_DMK_EDU_AUT,,RO,1.48
2022,SG_DMK_PSRVC,EU_DMK_SAN_AUT,,RO,1.57
2021,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES212,RO,1.62
2020,SG_DMK_PSRVC,EU_DMK_DF,ES213,RO,1.25
2020,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES212,RO,1.62
2022,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES213,RO,1.46
2010,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES212,RO,1.54
2015,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES211,RO,1.47
2023,SG_DMK_PSRVC,EU_DMK_DF,ES211,RO,1.37
2023,SG_DMK_PSRVC,EU_DMK_DF,ES212,RO,1.26
2019,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES212,RO,1.61
2016,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES211,RO,1.55
2017,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES212,RO,1.6
2011,SG_DMK_PSRVC,EU_DMK_SAN_AUT,,RO,1.49
2022,SG_DMK_PSRVC,EU_DMK_DF,ES212,RO,1.26
2023,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES212,RO,1.61
2017,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES213,RO,1.51
2017,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES211,RO,1.55
2021,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES213,RO,1.49
2014,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES211,RO,1.47
2021,SG_DMK_PSRVC,EU_DMK_EDU_AUT,,RO,1.49
2013,SG_DMK_PSRVC,EU_DMK_EDU_AUT,,RO,1.48
2022,SG_DMK_PSRVC,EU_DMK_DF,ES213,RO,1.26
2023,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES211,RO,1.47
2013,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES211,RO,1.47
2023,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES212,RO,1.48
2021,SG_DMK_PSRVC,EU_DMK_SAN_AUT,,RO,1.57
2023,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES213,RO,1.49
2021,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES212,RO,1.49
2017,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES212,RO,1.49
2022,SG_DMK_PSRVC,EU_DMK_EDU_AUT,,RO,1.46
2012,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES212,RO,1.47
2010,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES212,RO,1.45
2018,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES212,RO,1.47
2012,SG_DMK_PSRVC,EU_DMK_EDU_AUT,,RO,1.49
2011,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES211,RO,1.48
2015,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES213,RO,1.5
2019,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES213,RO,1.53
2022,SG_DMK_PSRVC,EU_DMK_DF,,RO,1.29
2013,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES213,RO,1.5
2010,SG_DMK_PSRVC,EU_DMK_SAN_AUT,,RO,1.5
2010,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES211,RO,1.46
2010,SG_DMK_PSRVC,EU_DMK_EDU_AUT,,RO,1.47
2018,SG_DMK_PSRVC,EU_DMK_SAN_AUT,,RO,1.47
2016,SG_DMK_PSRVC,EU_DMK_EDU_AUT,,RO,1.48
2017,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES213,RO,1.52
2017,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES211,RO,1.47
2020,SG_DMK_PSRVC,EU_DMK_DF,ES211,RO,1.38
2016,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES211,RO,1.47
2012,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES211,RO,1.54
2018,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES212,RO,1.48
2012,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES213,RO,1.5
2014,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES213,RO,1.5
2020,SG_DMK_PSRVC,EU_DMK_EDU_AUT,,RO,1.48
2015,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES212,RO,1.48
2020,SG_DMK_PSRVC,EU_DMK_SAN_AUT,,RO,1.56
2018,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES213,RO,1.49
2010,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES211,RO,1.53
2013,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES212,RO,1.58
2023,SG_DMK_PSRVC,EU_DMK_DF,ES213,RO,1.26
2020,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES213,RO,1.54
2016,SG_DMK_PSRVC,EU_DMK_SAN_AUT,,RO,1.54
2023,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES213,RO,1.54
2022,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES213,RO,1.56
2018,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES213,RO,1.42
2014,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES213,RO,1.5
2014,SG_DMK_PSRVC,EU_DMK_SAN_AUT,,RO,1.53
2022,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES211,RO,1.57
2021,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES213,RO,1.55
2013,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES211,RO,1.55
2013,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES213,RO,1.49
2021,SG_DMK_PSRVC,EU_DMK_DF,ES213,RO,1.25
2011,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES213,RO,1.46
2021,SG_DMK_PSRVC,EU_DMK_DF,ES211,RO,1.36
2023,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES211,RO,1.57
2013,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES212,RO,1.46
2014,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES211,RO,1.54
2011,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES212,RO,1.53
2011,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES213,RO,1.5
2011,SG_DMK_PSRVC,EU_DMK_EDU_AUT,,RO,1.48
2010,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES213,RO,1.46
2018,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES211,RO,1.45
2022,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES212,RO,1.46
2012,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES213,RO,1.48
2016,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES213,RO,1.49
2019,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES211,RO,1.48
2015,SG_DMK_PSRVC,EU_DMK_SAN_AUT,,RO,1.53
2016,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES212,RO,1.47
2011,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES211,RO,1.53
2019,SG_DMK_PSRVC,EU_DMK_SAN_AUT,,RO,1.56
2020,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES213,RO,1.49
2023,SG_DMK_PSRVC,EU_DMK_DF,,RO,1.29
2019,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES213,RO,1.51
2014,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES212,RO,1.59
2023,SG_DMK_PSRVC,EU_DMK_EDU_AUT,,RO,1.48
2021,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES211,RO,1.55
2010,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES213,RO,1.49
2020,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES212,RO,1.48
2023,SG_DMK_PSRVC,EU_DMK_SAN_AUT,,RO,1.57
2012,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES212,RO,1.56
2015,SG_DMK_PSRVC,EU_DMK_EDU_AUT,,RO,1.49
2022,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES212,RO,1.61
2018,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES211,RO,1.56
2019,SG_DMK_PSRVC,EU_DMK_EDU_AUT,,RO,1.5
2013,SG_DMK_PSRVC,EU_DMK_SAN_AUT,,RO,1.53
2012,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES211,RO,1.47
2021,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES211,RO,1.47
2022,SG_DMK_PSRVC,EU_DMK_DF,ES211,RO,1.38
2022,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES211,RO,1.44
2015,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES211,RO,1.54
2015,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES212,RO,1.58
2015,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES213,RO,1.5
2017,SG_DMK_PSRVC,EU_DMK_EDU_AUT,,RO,1.49
2020,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES211,RO,1.55
2014,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES212,RO,1.47
2016,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES212,RO,1.59
2021,SG_DMK_PSRVC,EU_DMK_DF,,RO,1.27
2020,SG_DMK_PSRVC,EU_DMK_DF,,RO,1.27
2019,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES211,RO,1.55
2019,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES212,RO,1.5
2016,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES213,RO,1.51
2020,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES211,RO,1.46
2011,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES212,RO,1.46
2012,SG_DMK_PSRVC,EU_DMK_SAN_AUT,,RO,1.51
2020,SG_DMK_PSRVC,EU_DMK_DF,ES212,RO,1.2
2015,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES211,RO,0.2
2023,SG_DMK_PSRVC,EU_DMK_UNI,,RO,1.06
2014,SG_DMK_PSRVC,EU_DMK_POL_AUT,,RO,0.22
2015,SG_DMK_PSRVC,EU_DMK_UNI,,RO,1.0
2018,SG_DMK_PSRVC,EU_DMK_POL_AUT,,RO,0.24
2015,SG_DMK_PSRVC,EU_DMK_POL_AUT,,RO,0.23
2011,SG_DMK_PSRVC,EU_DMK_UNI,ES211,RO,0.89
2021,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES211,RO,0.22
2021,SG_DMK_PSRVC,EU_DMK_UNI,ES212,RO,1.11
2022,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES211,RO,0.26
2010,SG_DMK_PSRVC,EU_DMK_UNI,ES212,RO,0.76
2020,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES211,RO,0.22
2013,SG_DMK_PSRVC,EU_DMK_UNI,ES212,RO,1.02
2014,SG_DMK_PSRVC,EU_DMK_UNI,ES211,RO,0.98
2018,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES211,RO,0.21
2023,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES211,RO,0.26
2017,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES211,RO,0.21
2020,SG_DMK_PSRVC,EU_DMK_UNI,ES212,RO,1.1
2019,SG_DMK_PSRVC,EU_DMK_UNI,ES212,RO,1.09
2022,SG_DMK_PSRVC,EU_DMK_POL_AUT,,RO,0.3
2015,SG_DMK_PSRVC,EU_DMK_UNI,ES212,RO,1.02
2013,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES211,RO,0.21
2010,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES211,RO,0.19
2011,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES211,RO,0.19
2012,SG_DMK_PSRVC,EU_DMK_POL_AUT,,RO,0.22
2010,SG_DMK_PSRVC,EU_DMK_POL_AUT,,RO,0.2
2016,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES211,RO,0.21
2015,SG_DMK_PSRVC,EU_DMK_UNI,ES211,RO,0.99
2023,SG_DMK_PSRVC,EU_DMK_POL_AUT,,RO,0.3
2017,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES212,RO,0.26
2012,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES212,RO,0.26
2018,SG_DMK_PSRVC,EU_DMK_UNI,ES212,RO,1.07
2014,SG_DMK_PSRVC,EU_DMK_UNI,ES213,RO,0.97
2022,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES212,RO,0.36
2018,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES212,RO,0.28
2016,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES212,RO,0.27
2015,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES212,RO,0.27
2011,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES212,RO,0.27
2010,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES212,RO,0.24
2013,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES212,RO,0.26
2020,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES212,RO,0.31
2023,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES212,RO,0.36
2010,SG_DMK_PSRVC,EU_DMK_UNI,ES213,RO,0.74
2016,SG_DMK_PSRVC,EU_DMK_POL_AUT,,RO,0.22
2011,SG_DMK_PSRVC,EU_DMK_UNI,ES213,RO,0.75
2021,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES212,RO,0.33
2013,SG_DMK_PSRVC,EU_DMK_UNI,ES213,RO,0.96
2017,SG_DMK_PSRVC,EU_DMK_UNI,ES213,RO,1.04
2018,SG_DMK_PSRVC,EU_DMK_UNI,ES211,RO,1.03
2015,SG_DMK_PSRVC,EU_DMK_UNI,ES213,RO,0.99
2019,SG_DMK_PSRVC,EU_DMK_POL_AUT,,RO,0.24
2011,SG_DMK_PSRVC,EU_DMK_UNI,,RO,0.78
2016,SG_DMK_PSRVC,EU_DMK_UNI,ES213,RO,0.99
2011,SG_DMK_PSRVC,EU_DMK_POL_AUT,,RO,0.22
2020,SG_DMK_PSRVC,EU_DMK_POL_AUT,,RO,0.26
2023,SG_DMK_PSRVC,EU_DMK_UNI,ES211,RO,1.06
2021,SG_DMK_PSRVC,EU_DMK_UNI,ES211,RO,1.04
2013,SG_DMK_PSRVC,EU_DMK_POL_AUT,,RO,0.22
2017,SG_DMK_PSRVC,EU_DMK_UNI,ES212,RO,1.04
2021,SG_DMK_PSRVC,EU_DMK_UNI,,RO,1.06
2012,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES211,RO,0.19
2014,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES211,RO,0.2
2018,SG_DMK_PSRVC,EU_DMK_UNI,ES213,RO,1.02
2011,SG_DMK_PSRVC,EU_DMK_UNI,ES212,RO,0.77
2019,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES213,RO,0.22
2022,SG_DMK_PSRVC,EU_DMK_UNI,ES211,RO,1.05
2014,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES213,RO,0.2
2017,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES213,RO,0.21
2021,SG_DMK_PSRVC,EU_DMK_POL_AUT,,RO,0.26
2013,SG_DMK_PSRVC,EU_DMK_UNI,ES211,RO,0.99
2021,SG_DMK_PSRVC,EU_DMK_UNI,ES213,RO,1.05
2019,SG_DMK_PSRVC,EU_DMK_UNI,,RO,1.04
2012,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES213,RO,0.2
2014,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES212,RO,0.27
2016,SG_DMK_PSRVC,EU_DMK_UNI,ES211,RO,1.03
2019,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES212,RO,0.3
2017,SG_DMK_PSRVC,EU_DMK_POL_AUT,,RO,0.22
2022,SG_DMK_PSRVC,EU_DMK_UNI,ES213,RO,1.06
2020,SG_DMK_PSRVC,EU_DMK_UNI,ES213,RO,1.04
2012,SG_DMK_PSRVC,EU_DMK_UNI,ES213,RO,0.95
2023,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES213,RO,0.27
2022,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES213,RO,0.27
2014,SG_DMK_PSRVC,EU_DMK_UNI,ES212,RO,1.01
2016,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES213,RO,0.2
2017,SG_DMK_PSRVC,EU_DMK_UNI,ES211,RO,1.03
2016,SG_DMK_PSRVC,EU_DMK_UNI,,RO,1.01
2022,SG_DMK_PSRVC,EU_DMK_UNI,ES212,RO,1.11
2010,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES213,RO,0.19
2019,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES211,RO,0.21
2012,SG_DMK_PSRVC,EU_DMK_UNI,ES212,RO,1.01
2015,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES213,RO,0.21
2011,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES213,RO,0.2
2013,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES213,RO,0.2
2018,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES213,RO,0.22
2020,SG_DMK_PSRVC,EU_DMK_UNI,,RO,1.05
2020,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES213,RO,0.24
2021,SG_DMK_PSRVC,EU_DMK_POL_AUT,ES213,RO,0.25
2017,SG_DMK_PSRVC,EU_DMK_UNI,,RO,1.04
2010,SG_DMK_PSRVC,EU_DMK_UNI,,RO,0.77
2012,SG_DMK_PSRVC,EU_DMK_UNI,ES211,RO,0.99
2014,SG_DMK_PSRVC,EU_DMK_UNI,,RO,0.99
2019,SG_DMK_PSRVC,EU_DMK_UNI,ES211,RO,1.02
2020,SG_DMK_PSRVC,EU_DMK_UNI,ES211,RO,1.02
2012,SG_DMK_PSRVC,EU_DMK_UNI,,RO,0.97
2010,SG_DMK_PSRVC,EU_DMK_UNI,ES211,RO,0.89
2013,SG_DMK_PSRVC,EU_DMK_UNI,,RO,0.98
2019,SG_DMK_PSRVC,EU_DMK_UNI,ES213,RO,1.03
2016,SG_DMK_PSRVC,EU_DMK_UNI,ES212,RO,1.04
2018,SG_DMK_PSRVC,EU_DMK_UNI,,RO,1.03
2022,SG_DMK_PSRVC,EU_DMK_UNI,,RO,1.07
2020,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES212,RO,1.6
2018,SG_DMK_PSRVC,EU_DMK_JUST_AUT,ES212,RO,1.6
2011,SG_DMK_PSRVC,EU_DMK_JUST_AUT,,RO,1.55
