Year,Serie,Sexo,Cobertura,Residencia,Discapacidad,Territorio,Comarca,Municipio,Unidad,GeoCode,Value
2017,RESI,,PLAZA,,PD,,,Olaberria,PLAZA,Olaberria,0.0
2018,RESI,,PLAZA,,PD,,,Olaberria,PLAZA,Olaberria,0.0
2019,RESI,,PLAZA,,PD,,,Olaberria,PLAZA,Olaberria,0.0
2010,RESI,,PLAZA,,,,,Olaberria,PLAZA,Olaberria,0.0
2011,RESI,,PLAZA,,,,,Olaberria,PLAZA,Olaberria,0.0
2013,RESI,,PLAZA,,,,,Olaberria,PLAZA,Olaberria,0.0
2014,RESI,,PLAZA,,,,,Olaberria,PLAZA,Olaberria,0.0
2015,RESI,,PLAZA,,,,,Olaberria,PLAZA,Olaberria,0.0
2016,RESI,,PLAZA,,,,,Olaberria,PLAZA,Olaberria,0.0
2017,RESI,,PLAZA,,,,,Olaberria,PLAZA,Olaberria,0.0
2018,RESI,,PLAZA,,,,,Olaberria,PLAZA,Olaberria,0.0
2019,RESI,,PLAZA,,,,,Olaberria,PLAZA,Olaberria,0.0
2010,RESI,,PLAZA,,PD,,,Oñati,PLAZA,Oñati,0.0
2011,RESI,,PLAZA,,PD,,,Oñati,PLAZA,Oñati,0.0
2013,RESI,,PLAZA,,PD,,,Oñati,PLAZA,Oñati,0.0
2014,RESI,,PLAZA,,PD,,,Oñati,PLAZA,Oñati,0.0
2015,RESI,,PLAZA,,PD,,,Oñati,PLAZA,Oñati,0.0
2016,RESI,,PLAZA,,PD,,,Oñati,PLAZA,Oñati,0.0
2017,RESI,,PLAZA,,PD,,,Oñati,PLAZA,Oñati,0.0
2018,RESI,,PLAZA,,PD,,,Oñati,PLAZA,Oñati,0.0
2019,RESI,,PLAZA,,PD,,,Oñati,PLAZA,Oñati,0.0
2010,RESI,,PLAZA,,,,,Oñati,PLAZA,Oñati,39.8
2011,RESI,,PLAZA,,,,,Oñati,PLAZA,Oñati,38.6
2013,RESI,,PLAZA,,,,,Oñati,PLAZA,Oñati,36.5
2014,RESI,,PLAZA,,,,,Oñati,PLAZA,Oñati,36.2
2015,RESI,,PLAZA,,,,,Oñati,PLAZA,Oñati,35.0
2016,RESI,,PLAZA,,,,,Oñati,PLAZA,Oñati,50.1
2017,RESI,,PLAZA,,,,,Oñati,PLAZA,Oñati,34.2
2018,RESI,,PLAZA,,,,,Oñati,PLAZA,Oñati,33.7
2019,RESI,,PLAZA,,,,,Oñati,PLAZA,Oñati,35.7
2010,RESI,,PLAZA,,PD,,ES2006,,PLAZA,ES2006,2.5
2011,RESI,,PLAZA,,PD,,ES2006,,PLAZA,ES2006,2.5
2013,RESI,,PLAZA,,PD,,ES2006,,PLAZA,ES2006,3.1
2014,RESI,,PLAZA,,PD,,ES2006,,PLAZA,ES2006,3.0
2015,RESI,,PLAZA,,PD,,ES2006,,PLAZA,ES2006,2.2
2016,RESI,,PLAZA,,PD,,ES2006,,PLAZA,ES2006,2.4
2017,RESI,,PLAZA,,PD,,ES2006,,PLAZA,ES2006,2.3
2018,RESI,,PLAZA,,PD,,ES2006,,PLAZA,ES2006,2.1
2019,RESI,,PLAZA,,PD,,ES2006,,PLAZA,ES2006,2.1
2010,RESI,,PLAZA,,,,ES2006,,PLAZA,ES2006,45.4
2011,RESI,,PLAZA,,,,ES2006,,PLAZA,ES2006,46.6
2013,RESI,,PLAZA,,,,ES2006,,PLAZA,ES2006,41.9
2014,RESI,,PLAZA,,,,ES2006,,PLAZA,ES2006,40.7
2015,RESI,,PLAZA,,,,ES2006,,PLAZA,ES2006,40.4
2016,RESI,,PLAZA,,,,ES2006,,PLAZA,ES2006,40.2
2017,RESI,,PLAZA,,,,ES2006,,PLAZA,ES2006,39.3
2018,RESI,,PLAZA,,,,ES2006,,PLAZA,ES2006,38.8
2019,RESI,,PLAZA,,,,ES2006,,PLAZA,ES2006,38.1
2010,RESI,,PLAZA,,PD,,,Orexa,PLAZA,Orexa,0.0
2011,RESI,,PLAZA,,PD,,,Orexa,PLAZA,Orexa,0.0
2013,RESI,,PLAZA,,PD,,,Orexa,PLAZA,Orexa,0.0
2014,RESI,,PLAZA,,PD,,,Orexa,PLAZA,Orexa,0.0
2015,RESI,,PLAZA,,PD,,,Orexa,PLAZA,Orexa,0.0
2016,RESI,,PLAZA,,PD,,,Orexa,PLAZA,Orexa,0.0
2017,RESI,,PLAZA,,PD,,,Orexa,PLAZA,Orexa,0.0
2018,RESI,,PLAZA,,PD,,,Orexa,PLAZA,Orexa,0.0
2019,RESI,,PLAZA,,PD,,,Orexa,PLAZA,Orexa,0.0
2010,RESI,,PLAZA,,,,,Orexa,PLAZA,Orexa,0.0
2011,RESI,,PLAZA,,,,,Orexa,PLAZA,Orexa,0.0
2013,RESI,,PLAZA,,,,,Orexa,PLAZA,Orexa,0.0
2014,RESI,,PLAZA,,,,,Orexa,PLAZA,Orexa,0.0
2015,RESI,,PLAZA,,,,,Orexa,PLAZA,Orexa,0.0
2016,RESI,,PLAZA,,,,,Orexa,PLAZA,Orexa,0.0
2017,RESI,,PLAZA,,,,,Orexa,PLAZA,Orexa,0.0
2018,RESI,,PLAZA,,,,,Orexa,PLAZA,Orexa,0.0
2019,RESI,,PLAZA,,,,,Orexa,PLAZA,Orexa,0.0
2010,RESI,,PLAZA,,PD,,,Orio,PLAZA,Orio,0.0
2011,RESI,,PLAZA,,PD,,,Orio,PLAZA,Orio,0.0
2013,RESI,,PLAZA,,PD,,,Orio,PLAZA,Orio,0.0
2014,RESI,,PLAZA,,PD,,,Orio,PLAZA,Orio,0.0
2015,RESI,,PLAZA,,PD,,,Orio,PLAZA,Orio,0.0
2016,RESI,,PLAZA,,PD,,,Orio,PLAZA,Orio,0.0
2017,RESI,,PLAZA,,PD,,,Orio,PLAZA,Orio,0.0
2018,RESI,,PLAZA,,PD,,,Orio,PLAZA,Orio,0.0
2019,RESI,,PLAZA,,PD,,,Orio,PLAZA,Orio,0.0
2010,RESI,,PLAZA,,,,,Orio,PLAZA,Orio,14.5
2011,RESI,,PLAZA,,,,,Orio,PLAZA,Orio,14.1
2013,RESI,,PLAZA,,,,,Orio,PLAZA,Orio,13.1
2014,RESI,,PLAZA,,,,,Orio,PLAZA,Orio,12.8
2015,RESI,,PLAZA,,,,,Orio,PLAZA,Orio,12.5
2016,RESI,,PLAZA,,,,,Orio,PLAZA,Orio,12.2
2017,RESI,,PLAZA,,,,,Orio,PLAZA,Orio,12.3
2018,RESI,,PLAZA,,,,,Orio,PLAZA,Orio,11.9
2019,RESI,,PLAZA,,,,,Orio,PLAZA,Orio,11.7
2010,RESI,,PLAZA,,PD,,,Ormaiztegi,PLAZA,Ormaiztegi,0.0
2011,RESI,,PLAZA,,PD,,,Ormaiztegi,PLAZA,Ormaiztegi,0.0
2013,RESI,,PLAZA,,PD,,,Ormaiztegi,PLAZA,Ormaiztegi,0.0
2014,RESI,,PLAZA,,PD,,,Ormaiztegi,PLAZA,Ormaiztegi,0.0
2015,RESI,,PLAZA,,PD,,,Ormaiztegi,PLAZA,Ormaiztegi,0.0
2016,RESI,,PLAZA,,PD,,,Ormaiztegi,PLAZA,Ormaiztegi,0.0
2017,RESI,,PLAZA,,PD,,,Ormaiztegi,PLAZA,Ormaiztegi,0.0
2018,RESI,,PLAZA,,PD,,,Ormaiztegi,PLAZA,Ormaiztegi,0.0
2019,RESI,,PLAZA,,PD,,,Ormaiztegi,PLAZA,Ormaiztegi,0.0
2010,RESI,,PLAZA,,,,,Ormaiztegi,PLAZA,Ormaiztegi,0.0
2011,RESI,,PLAZA,,,,,Ormaiztegi,PLAZA,Ormaiztegi,0.0
2013,RESI,,PLAZA,,,,,Ormaiztegi,PLAZA,Ormaiztegi,0.0
2014,RESI,,PLAZA,,,,,Ormaiztegi,PLAZA,Ormaiztegi,0.0
2015,RESI,,PLAZA,,,,,Ormaiztegi,PLAZA,Ormaiztegi,0.0
2016,RESI,,PLAZA,,,,,Ormaiztegi,PLAZA,Ormaiztegi,0.0
2017,RESI,,PLAZA,,,,,Ormaiztegi,PLAZA,Ormaiztegi,0.0
2018,RESI,,PLAZA,,,,,Ormaiztegi,PLAZA,Ormaiztegi,0.0
2019,RESI,,PLAZA,,,,,Ormaiztegi,PLAZA,Ormaiztegi,0.0
2010,RESI,,PLAZA,,PD,,,Oiartzun,PLAZA,Oiartzun,0.4
2011,RESI,,PLAZA,,PD,,,Oiartzun,PLAZA,Oiartzun,0.4
2013,RESI,,PLAZA,,PD,,,Oiartzun,PLAZA,Oiartzun,0.4
2014,RESI,,PLAZA,,PD,,,Oiartzun,PLAZA,Oiartzun,0.4
2015,RESI,,PLAZA,,PD,,,Oiartzun,PLAZA,Oiartzun,0.4
2016,RESI,,PLAZA,,PD,,,Oiartzun,PLAZA,Oiartzun,0.4
2017,RESI,,PLAZA,,PD,,,Oiartzun,PLAZA,Oiartzun,1.4
2018,RESI,,PLAZA,,PD,,,Oiartzun,PLAZA,Oiartzun,1.4
2019,RESI,,PLAZA,,PD,,,Oiartzun,PLAZA,Oiartzun,1.4
2010,RESI,,PLAZA,,,,,Oiartzun,PLAZA,Oiartzun,41.7
2011,RESI,,PLAZA,,,,,Oiartzun,PLAZA,Oiartzun,39.9
2013,RESI,,PLAZA,,,,,Oiartzun,PLAZA,Oiartzun,35.2
2014,RESI,,PLAZA,,,,,Oiartzun,PLAZA,Oiartzun,34.1
2015,RESI,,PLAZA,,,,,Oiartzun,PLAZA,Oiartzun,35.2
2016,RESI,,PLAZA,,,,,Oiartzun,PLAZA,Oiartzun,51.7
2017,RESI,,PLAZA,,,,,Oiartzun,PLAZA,Oiartzun,45.2
2018,RESI,,PLAZA,,,,,Oiartzun,PLAZA,Oiartzun,43.7
2019,RESI,,PLAZA,,,,,Oiartzun,PLAZA,Oiartzun,43.2
2010,RESI,,PLAZA,,PD,,,Pasaia,PLAZA,Pasaia,0.0
2011,RESI,,PLAZA,,PD,,,Pasaia,PLAZA,Pasaia,0.0
2013,RESI,,PLAZA,,PD,,,Pasaia,PLAZA,Pasaia,0.0
2014,RESI,,PLAZA,,PD,,,Pasaia,PLAZA,Pasaia,0.0
2015,RESI,,PLAZA,,PD,,,Pasaia,PLAZA,Pasaia,0.0
2016,RESI,,PLAZA,,PD,,,Pasaia,PLAZA,Pasaia,0.0
2017,RESI,,PLAZA,,PD,,,Pasaia,PLAZA,Pasaia,0.0
2018,RESI,,PLAZA,,PD,,,Pasaia,PLAZA,Pasaia,0.0
2019,RESI,,PLAZA,,PD,,,Pasaia,PLAZA,Pasaia,0.0
2010,RESI,,PLAZA,,,,,Pasaia,PLAZA,Pasaia,16.0
2011,RESI,,PLAZA,,,,,Pasaia,PLAZA,Pasaia,15.7
2013,RESI,,PLAZA,,,,,Pasaia,PLAZA,Pasaia,14.6
2014,RESI,,PLAZA,,,,,Pasaia,PLAZA,Pasaia,14.5
2015,RESI,,PLAZA,,,,,Pasaia,PLAZA,Pasaia,14.5
2016,RESI,,PLAZA,,,,,Pasaia,PLAZA,Pasaia,14.6
2017,RESI,,PLAZA,,,,,Pasaia,PLAZA,Pasaia,14.1
2018,RESI,,PLAZA,,,,,Pasaia,PLAZA,Pasaia,14.4
2019,RESI,,PLAZA,,,,,Pasaia,PLAZA,Pasaia,14.7
2010,RESI,,PLAZA,,PD,,,Soraluze/Placencia de las Armas,PLAZA,Soraluze/Placencia de las Armas,0.0
2011,RESI,,PLAZA,,PD,,,Soraluze/Placencia de las Armas,PLAZA,Soraluze/Placencia de las Armas,0.0
2013,RESI,,PLAZA,,PD,,,Soraluze/Placencia de las Armas,PLAZA,Soraluze/Placencia de las Armas,0.0
2014,RESI,,PLAZA,,PD,,,Soraluze/Placencia de las Armas,PLAZA,Soraluze/Placencia de las Armas,0.0
2015,RESI,,PLAZA,,PD,,,Soraluze/Placencia de las Armas,PLAZA,Soraluze/Placencia de las Armas,0.0
2016,RESI,,PLAZA,,PD,,,Soraluze/Placencia de las Armas,PLAZA,Soraluze/Placencia de las Armas,0.0
2017,RESI,,PLAZA,,PD,,,Soraluze/Placencia de las Armas,PLAZA,Soraluze/Placencia de las Armas,0.0
2018,RESI,,PLAZA,,PD,,,Soraluze/Placencia de las Armas,PLAZA,Soraluze/Placencia de las Armas,0.0
2019,RESI,,PLAZA,,PD,,,Soraluze/Placencia de las Armas,PLAZA,Soraluze/Placencia de las Armas,0.0
2010,RESI,,PLAZA,,,,,Soraluze/Placencia de las Armas,PLAZA,Soraluze/Placencia de las Armas,51.7
2011,RESI,,PLAZA,,,,,Soraluze/Placencia de las Armas,PLAZA,Soraluze/Placencia de las Armas,56.5
2013,RESI,,PLAZA,,,,,Soraluze/Placencia de las Armas,PLAZA,Soraluze/Placencia de las Armas,56.3
2014,RESI,,PLAZA,,,,,Soraluze/Placencia de las Armas,PLAZA,Soraluze/Placencia de las Armas,56.8
2015,RESI,,PLAZA,,,,,Soraluze/Placencia de las Armas,PLAZA,Soraluze/Placencia de las Armas,55.2
2016,RESI,,PLAZA,,,,,Soraluze/Placencia de las Armas,PLAZA,Soraluze/Placencia de las Armas,53.6
2017,RESI,,PLAZA,,,,,Soraluze/Placencia de las Armas,PLAZA,Soraluze/Placencia de las Armas,51.4
2018,RESI,,PLAZA,,,,,Soraluze/Placencia de las Armas,PLAZA,Soraluze/Placencia de las Armas,51.9
2019,RESI,,PLAZA,,,,,Soraluze/Placencia de las Armas,PLAZA,Soraluze/Placencia de las Armas,51.5
2010,RESI,,PLAZA,,PD,,,Errezil,PLAZA,Errezil,0.0
2011,RESI,,PLAZA,,PD,,,Errezil,PLAZA,Errezil,0.0
2013,RESI,,PLAZA,,PD,,,Errezil,PLAZA,Errezil,0.0
2014,RESI,,PLAZA,,PD,,,Errezil,PLAZA,Errezil,0.0
2015,RESI,,PLAZA,,PD,,,Errezil,PLAZA,Errezil,0.0
2016,RESI,,PLAZA,,PD,,,Errezil,PLAZA,Errezil,0.0
2017,RESI,,PLAZA,,PD,,,Errezil,PLAZA,Errezil,0.0
2018,RESI,,PLAZA,,PD,,,Errezil,PLAZA,Errezil,0.0
2019,RESI,,PLAZA,,PD,,,Errezil,PLAZA,Errezil,0.0
2010,RESI,,PLAZA,,,,,Errezil,PLAZA,Errezil,0.0
2011,RESI,,PLAZA,,,,,Errezil,PLAZA,Errezil,0.0
2013,RESI,,PLAZA,,,,,Errezil,PLAZA,Errezil,0.0
2014,RESI,,PLAZA,,,,,Errezil,PLAZA,Errezil,0.0
2015,RESI,,PLAZA,,,,,Errezil,PLAZA,Errezil,0.0
2016,RESI,,PLAZA,,,,,Errezil,PLAZA,Errezil,0.0
2017,RESI,,PLAZA,,,,,Errezil,PLAZA,Errezil,0.0
2018,RESI,,PLAZA,,,,,Errezil,PLAZA,Errezil,0.0
2019,RESI,,PLAZA,,,,,Errezil,PLAZA,Errezil,0.0
2010,RESI,,PLAZA,,PD,,,Errenteria,PLAZA,Errenteria,0.2
2011,RESI,,PLAZA,,PD,,,Errenteria,PLAZA,Errenteria,0.2
2013,RESI,,PLAZA,,PD,,,Errenteria,PLAZA,Errenteria,0.2
2014,RESI,,PLAZA,,PD,,,Errenteria,PLAZA,Errenteria,0.2
2015,RESI,,PLAZA,,PD,,,Errenteria,PLAZA,Errenteria,0.0
2016,RESI,,PLAZA,,PD,,,Errenteria,PLAZA,Errenteria,0.1
2017,RESI,,PLAZA,,PD,,,Errenteria,PLAZA,Errenteria,0.1
2018,RESI,,PLAZA,,PD,,,Errenteria,PLAZA,Errenteria,0.1
2019,RESI,,PLAZA,,PD,,,Errenteria,PLAZA,Errenteria,0.1
2010,RESI,,PLAZA,,,,,Errenteria,PLAZA,Errenteria,32.7
2011,RESI,,PLAZA,,,,,Errenteria,PLAZA,Errenteria,32.7
2013,RESI,,PLAZA,,,,,Errenteria,PLAZA,Errenteria,29.5
2014,RESI,,PLAZA,,,,,Errenteria,PLAZA,Errenteria,29.8
2015,RESI,,PLAZA,,,,,Errenteria,PLAZA,Errenteria,29.2
2016,RESI,,PLAZA,,,,,Errenteria,PLAZA,Errenteria,28.6
2017,RESI,,PLAZA,,,,,Errenteria,PLAZA,Errenteria,29.4
2018,RESI,,PLAZA,,,,,Errenteria,PLAZA,Errenteria,29.1
2019,RESI,,PLAZA,,,,,Errenteria,PLAZA,Errenteria,28.9
2010,RESI,,PLAZA,,PD,,,Leintz-Gatzaga,PLAZA,Leintz-Gatzaga,0.0
2011,RESI,,PLAZA,,PD,,,Leintz-Gatzaga,PLAZA,Leintz-Gatzaga,0.0
2013,RESI,,PLAZA,,PD,,,Leintz-Gatzaga,PLAZA,Leintz-Gatzaga,0.0
2014,RESI,,PLAZA,,PD,,,Leintz-Gatzaga,PLAZA,Leintz-Gatzaga,0.0
2015,RESI,,PLAZA,,PD,,,Leintz-Gatzaga,PLAZA,Leintz-Gatzaga,0.0
2016,RESI,,PLAZA,,PD,,,Leintz-Gatzaga,PLAZA,Leintz-Gatzaga,0.0
2017,RESI,,PLAZA,,PD,,,Leintz-Gatzaga,PLAZA,Leintz-Gatzaga,0.0
2018,RESI,,PLAZA,,PD,,,Leintz-Gatzaga,PLAZA,Leintz-Gatzaga,0.0
2019,RESI,,PLAZA,,PD,,,Leintz-Gatzaga,PLAZA,Leintz-Gatzaga,0.0
2010,RESI,,PLAZA,,,,,Leintz-Gatzaga,PLAZA,Leintz-Gatzaga,0.0
2011,RESI,,PLAZA,,,,,Leintz-Gatzaga,PLAZA,Leintz-Gatzaga,0.0
2013,RESI,,PLAZA,,,,,Leintz-Gatzaga,PLAZA,Leintz-Gatzaga,0.0
2014,RESI,,PLAZA,,,,,Leintz-Gatzaga,PLAZA,Leintz-Gatzaga,0.0
2015,RESI,,PLAZA,,,,,Leintz-Gatzaga,PLAZA,Leintz-Gatzaga,0.0
2016,RESI,,PLAZA,,,,,Leintz-Gatzaga,PLAZA,Leintz-Gatzaga,0.0
2017,RESI,,PLAZA,,,,,Leintz-Gatzaga,PLAZA,Leintz-Gatzaga,0.0
2018,RESI,,PLAZA,,,,,Leintz-Gatzaga,PLAZA,Leintz-Gatzaga,0.0
2019,RESI,,PLAZA,,,,,Leintz-Gatzaga,PLAZA,Leintz-Gatzaga,0.0
2010,RESI,,PLAZA,,PD,,,Donostia / San Sebastián,PLAZA,Donostia / San Sebastián,2.5
2011,RESI,,PLAZA,,PD,,,Donostia / San Sebastián,PLAZA,Donostia / San Sebastián,2.6
2013,RESI,,PLAZA,,PD,,,Donostia / San Sebastián,PLAZA,Donostia / San Sebastián,2.6
2014,RESI,,PLAZA,,PD,,,Donostia / San Sebastián,PLAZA,Donostia / San Sebastián,2.6
2015,RESI,,PLAZA,,PD,,,Donostia / San Sebastián,PLAZA,Donostia / San Sebastián,3.2
2016,RESI,,PLAZA,,PD,,,Donostia / San Sebastián,PLAZA,Donostia / San Sebastián,3.3
2017,RESI,,PLAZA,,PD,,,Donostia / San Sebastián,PLAZA,Donostia / San Sebastián,3.3
2018,RESI,,PLAZA,,PD,,,Donostia / San Sebastián,PLAZA,Donostia / San Sebastián,3.3
2019,RESI,,PLAZA,,PD,,,Donostia / San Sebastián,PLAZA,Donostia / San Sebastián,3.7
2010,RESI,,PLAZA,,,,,Donostia / San Sebastián,PLAZA,Donostia / San Sebastián,61.9
2011,RESI,,PLAZA,,,,,Donostia / San Sebastián,PLAZA,Donostia / San Sebastián,59.2
2013,RESI,,PLAZA,,,,,Donostia / San Sebastián,PLAZA,Donostia / San Sebastián,54.5
2014,RESI,,PLAZA,,,,,Donostia / San Sebastián,PLAZA,Donostia / San Sebastián,54.0
2015,RESI,,PLAZA,,,,,Donostia / San Sebastián,PLAZA,Donostia / San Sebastián,53.3
2016,RESI,,PLAZA,,,,,Donostia / San Sebastián,PLAZA,Donostia / San Sebastián,51.7
2017,RESI,,PLAZA,,,,,Donostia / San Sebastián,PLAZA,Donostia / San Sebastián,51.6
2018,RESI,,PLAZA,,,,,Donostia / San Sebastián,PLAZA,Donostia / San Sebastián,51.8
2019,RESI,,PLAZA,,,,,Donostia / San Sebastián,PLAZA,Donostia / San Sebastián,49.3
2010,RESI,,PLAZA,,PD,,ES2007,,PLAZA,ES2007,0.2
2011,RESI,,PLAZA,,PD,,ES2007,,PLAZA,ES2007,0.2
2013,RESI,,PLAZA,,PD,,ES2007,,PLAZA,ES2007,0.2
2014,RESI,,PLAZA,,PD,,ES2007,,PLAZA,ES2007,0.2
2015,RESI,,PLAZA,,PD,,ES2007,,PLAZA,ES2007,0.0
2016,RESI,,PLAZA,,PD,,ES2007,,PLAZA,ES2007,0.0
2017,RESI,,PLAZA,,PD,,ES2007,,PLAZA,ES2007,0.0
2018,RESI,,PLAZA,,PD,,ES2007,,PLAZA,ES2007,0.0
2019,RESI,,PLAZA,,PD,,ES2007,,PLAZA,ES2007,0.1
2010,RESI,,PLAZA,,,,ES2007,,PLAZA,ES2007,44.2
2011,RESI,,PLAZA,,,,ES2007,,PLAZA,ES2007,44.0
2013,RESI,,PLAZA,,,,ES2007,,PLAZA,ES2007,41.4
2014,RESI,,PLAZA,,,,ES2007,,PLAZA,ES2007,42.9
2015,RESI,,PLAZA,,,,ES2007,,PLAZA,ES2007,42.1
2016,RESI,,PLAZA,,,,ES2007,,PLAZA,ES2007,41.6
2017,RESI,,PLAZA,,,,ES2007,,PLAZA,ES2007,40.7
2018,RESI,,PLAZA,,,,ES2007,,PLAZA,ES2007,39.8
2019,RESI,,PLAZA,,,,ES2007,,PLAZA,ES2007,39.1
2010,RESI,,PLAZA,,PD,,,Segura,PLAZA,Segura,0.0
2011,RESI,,PLAZA,,PD,,,Segura,PLAZA,Segura,0.0
2013,RESI,,PLAZA,,PD,,,Segura,PLAZA,Segura,0.0
2014,RESI,,PLAZA,,PD,,,Segura,PLAZA,Segura,0.0
2015,RESI,,PLAZA,,PD,,,Segura,PLAZA,Segura,0.0
2016,RESI,,PLAZA,,PD,,,Segura,PLAZA,Segura,0.0
2017,RESI,,PLAZA,,PD,,,Segura,PLAZA,Segura,0.0
2018,RESI,,PLAZA,,PD,,,Segura,PLAZA,Segura,0.0
2019,RESI,,PLAZA,,PD,,,Segura,PLAZA,Segura,0.0
2010,RESI,,PLAZA,,,,,Segura,PLAZA,Segura,188.4
2011,RESI,,PLAZA,,,,,Segura,PLAZA,Segura,194.0
2013,RESI,,PLAZA,,,,,Segura,PLAZA,Segura,189.1
2014,RESI,,PLAZA,,,,,Segura,PLAZA,Segura,187.7
2015,RESI,,PLAZA,,,,,Segura,PLAZA,Segura,185.7
2016,RESI,,PLAZA,,,,,Segura,PLAZA,Segura,178.1
2017,RESI,,PLAZA,,,,,Segura,PLAZA,Segura,181.2
2018,RESI,,PLAZA,,,,,Segura,PLAZA,Segura,180.6
2019,RESI,,PLAZA,,,,,Segura,PLAZA,Segura,176.3
2010,RESI,,PLAZA,,PD,,,Tolosa,PLAZA,Tolosa,0.8
2011,RESI,,PLAZA,,PD,,,Tolosa,PLAZA,Tolosa,0.8
2013,RESI,,PLAZA,,PD,,,Tolosa,PLAZA,Tolosa,2.7
2014,RESI,,PLAZA,,PD,,,Tolosa,PLAZA,Tolosa,2.5
2015,RESI,,PLAZA,,PD,,,Tolosa,PLAZA,Tolosa,1.7
2016,RESI,,PLAZA,,PD,,,Tolosa,PLAZA,Tolosa,2.1
2017,RESI,,PLAZA,,PD,,,Tolosa,PLAZA,Tolosa,2.0
2018,RESI,,PLAZA,,PD,,,Tolosa,PLAZA,Tolosa,2.0
2019,RESI,,PLAZA,,PD,,,Tolosa,PLAZA,Tolosa,2.0
2010,RESI,,PLAZA,,,,,Tolosa,PLAZA,Tolosa,66.0
2011,RESI,,PLAZA,,,,,Tolosa,PLAZA,Tolosa,71.4
2013,RESI,,PLAZA,,,,,Tolosa,PLAZA,Tolosa,62.0
2014,RESI,,PLAZA,,,,,Tolosa,PLAZA,Tolosa,60.7
2015,RESI,,PLAZA,,,,,Tolosa,PLAZA,Tolosa,60.9
2016,RESI,,PLAZA,,,,,Tolosa,PLAZA,Tolosa,60.6
2017,RESI,,PLAZA,,,,,Tolosa,PLAZA,Tolosa,59.8
2018,RESI,,PLAZA,,,,,Tolosa,PLAZA,Tolosa,58.8
2019,RESI,,PLAZA,,,,,Tolosa,PLAZA,Tolosa,58.0
2010,RESI,,PLAZA,,PD,,,Urnieta,PLAZA,Urnieta,2.3
2011,RESI,,PLAZA,,PD,,,Urnieta,PLAZA,Urnieta,2.3
2013,RESI,,PLAZA,,PD,,,Urnieta,PLAZA,Urnieta,2.3
2014,RESI,,PLAZA,,PD,,,Urnieta,PLAZA,Urnieta,2.3
2015,RESI,,PLAZA,,PD,,,Urnieta,PLAZA,Urnieta,2.3
2016,RESI,,PLAZA,,PD,,,Urnieta,PLAZA,Urnieta,2.3
2017,RESI,,PLAZA,,PD,,,Urnieta,PLAZA,Urnieta,2.3
2018,RESI,,PLAZA,,PD,,,Urnieta,PLAZA,Urnieta,2.3
2019,RESI,,PLAZA,,PD,,,Urnieta,PLAZA,Urnieta,2.3
2010,RESI,,PLAZA,,,,,Urnieta,PLAZA,Urnieta,10.5
2011,RESI,,PLAZA,,,,,Urnieta,PLAZA,Urnieta,10.0
2013,RESI,,PLAZA,,,,,Urnieta,PLAZA,Urnieta,9.2
2014,RESI,,PLAZA,,,,,Urnieta,PLAZA,Urnieta,8.8
2015,RESI,,PLAZA,,,,,Urnieta,PLAZA,Urnieta,0.0
2016,RESI,,PLAZA,,,,,Urnieta,PLAZA,Urnieta,8.2
2017,RESI,,PLAZA,,,,,Urnieta,PLAZA,Urnieta,8.0
2018,RESI,,PLAZA,,,,,Urnieta,PLAZA,Urnieta,7.9
2019,RESI,,PLAZA,,,,,Urnieta,PLAZA,Urnieta,7.7
2010,RESI,,PLAZA,,PD,,,Usurbil,PLAZA,Usurbil,0.0
2011,RESI,,PLAZA,,PD,,,Usurbil,PLAZA,Usurbil,0.0
2013,RESI,,PLAZA,,PD,,,Usurbil,PLAZA,Usurbil,0.0
2014,RESI,,PLAZA,,PD,,,Usurbil,PLAZA,Usurbil,0.0
2015,RESI,,PLAZA,,PD,,,Usurbil,PLAZA,Usurbil,0.0
2016,RESI,,PLAZA,,PD,,,Usurbil,PLAZA,Usurbil,0.0
2017,RESI,,PLAZA,,PD,,,Usurbil,PLAZA,Usurbil,0.0
2018,RESI,,PLAZA,,PD,,,Usurbil,PLAZA,Usurbil,0.0
2019,RESI,,PLAZA,,PD,,,Usurbil,PLAZA,Usurbil,0.0
2010,RESI,,PLAZA,,,,,Usurbil,PLAZA,Usurbil,0.0
2011,RESI,,PLAZA,,,,,Usurbil,PLAZA,Usurbil,0.0
2013,RESI,,PLAZA,,,,,Usurbil,PLAZA,Usurbil,0.0
2014,RESI,,PLAZA,,,,,Usurbil,PLAZA,Usurbil,0.0
2015,RESI,,PLAZA,,,,,Usurbil,PLAZA,Usurbil,0.0
2016,RESI,,PLAZA,,,,,Usurbil,PLAZA,Usurbil,0.0
2017,RESI,,PLAZA,,,,,Usurbil,PLAZA,Usurbil,0.0
2018,RESI,,PLAZA,,,,,Usurbil,PLAZA,Usurbil,0.0
2019,RESI,,PLAZA,,,,,Usurbil,PLAZA,Usurbil,0.0
2010,RESI,,PLAZA,,PD,,,Bergara,PLAZA,Bergara,0.7
2011,RESI,,PLAZA,,PD,,,Bergara,PLAZA,Bergara,0.7
2013,RESI,,PLAZA,,PD,,,Bergara,PLAZA,Bergara,0.7
2014,RESI,,PLAZA,,PD,,,Bergara,PLAZA,Bergara,0.7
2015,RESI,,PLAZA,,PD,,,Bergara,PLAZA,Bergara,0.7
2016,RESI,,PLAZA,,PD,,,Bergara,PLAZA,Bergara,0.7
2017,RESI,,PLAZA,,PD,,,Bergara,PLAZA,Bergara,0.7
