Year,Series,Operación de tratamiento de residuos,Territorio histórico,Units,Value
2020,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,,%,38.3
2014,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,,%,32.0
2012,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,,%,31.6
2012,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,,Kg per cápita,158.6
2017,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,,Kg per cápita,179.3
2010,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,,Kg per cápita,145.0
2021,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,,%,36.9
2021,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,,Kg per cápita,190.0
2015,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,,Kg per cápita,163.0
2015,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,,%,32.5
2011,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,,Kg per cápita,137.4
2013,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,,Kg per cápita,191.0
2019,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,,%,38.2
2017,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,,%,34.5
2019,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,,Kg per cápita,195.9
2020,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,,Kg per cápita,188.6
2022,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,,Kg per cápita,190.7
2018,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,,%,35.9
2013,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,,%,38.4
2018,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,,Kg per cápita,192.0
2014,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,,Kg per cápita,163.4
2018,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Araba/Álava,Kg per cápita,130.4
2012,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Araba/Álava,%,20.4
2015,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Araba/Álava,Kg per cápita,100.9
2011,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Araba/Álava,%,20.8
