Year,Series,Operación de tratamiento de residuos,Territorio histórico,Units,Value
2018,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Gipuzkoa,Kg per cápita,233.9
2022,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Gipuzkoa,%,7.0
2021,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Gipuzkoa,Kg per cápita,34.1
2016,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Gipuzkoa,Kg per cápita,254.0
2014,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Gipuzkoa,Kg per cápita,283.1
2012,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Gipuzkoa,Kg per cápita,342.6
2014,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Gipuzkoa,%,52.5
2017,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Gipuzkoa,Kg per cápita,244.5
2017,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Gipuzkoa,%,48.8
2022,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Gipuzkoa,Kg per cápita,32.0
2010,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Gipuzkoa,Kg per cápita,312.7
2013,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Gipuzkoa,Kg per cápita,263.0
2019,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Gipuzkoa,Kg per cápita,173.4
2012,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Gipuzkoa,%,71.2
2011,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Gipuzkoa,Kg per cápita,304.5
2010,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Gipuzkoa,%,64.7
2018,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Gipuzkoa,%,44.8
2013,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Gipuzkoa,%,52.7
2015,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Gipuzkoa,Kg per cápita,253.2
