Year,Series,Territorio histórico,Comarca,Municipio,Units,GeoCode,Value
2018,Consumo de agua por habitante y día,,,Elantxobe,Litros per cápita diario,Elantxobe,173.0
2018,Consumo de agua por habitante y día,,,Elburgo/Burgelu,Litros per cápita diario,Elburgo/Burgelu,154.8
2016,Consumo de agua por habitante y día,,,Elburgo/Burgelu,Litros per cápita diario,Elburgo/Burgelu,238.5
2011,Consumo de agua por habitante y día,,,Elburgo/Burgelu,Litros per cápita diario,Elburgo/Burgelu,148.9
2014,Consumo de agua por habitante y día,,,Elburgo/Burgelu,Litros per cápita diario,Elburgo/Burgelu,211.4
2017,Consumo de agua por habitante y día,,,Elburgo/Burgelu,Litros per cápita diario,Elburgo/Burgelu,219.9
2015,Consumo de agua por habitante y día,,,Elburgo/Burgelu,Litros per cápita diario,Elburgo/Burgelu,254.4
2019,Consumo de agua por habitante y día,,,Elburgo/Burgelu,Litros per cápita diario,Elburgo/Burgelu,195.5
2012,Consumo de agua por habitante y día,,,Elburgo/Burgelu,Litros per cápita diario,Elburgo/Burgelu,247.2
2018,Consumo de agua por habitante y día,,,Elciego,Litros per cápita diario,Elciego,339.8
2019,Consumo de agua por habitante y día,,,Elciego,Litros per cápita diario,Elciego,247.2
2012,Consumo de agua por habitante y día,,,Elciego,Litros per cápita diario,Elciego,337.0
2016,Consumo de agua por habitante y día,,,Elciego,Litros per cápita diario,Elciego,289.6
2011,Consumo de agua por habitante y día,,,Elciego,Litros per cápita diario,Elciego,311.6
2014,Consumo de agua por habitante y día,,,Elciego,Litros per cápita diario,Elciego,297.4
2015,Consumo de agua por habitante y día,,,Elciego,Litros per cápita diario,Elciego,271.2
2017,Consumo de agua por habitante y día,,,Elciego,Litros per cápita diario,Elciego,319.4
2012,Consumo de agua por habitante y día,,,Elduain,Litros per cápita diario,Elduain,162.7
2018,Consumo de agua por habitante y día,,,Elduain,Litros per cápita diario,Elduain,151.0
2016,Consumo de agua por habitante y día,,,Elduain,Litros per cápita diario,Elduain,153.4
2015,Consumo de agua por habitante y día,,,Elduain,Litros per cápita diario,Elduain,142.2
