Year,Series,Territorio histórico,Comarca,Municipio,Units,GeoCode,Value
2016,Consumo de agua por habitante y día,,,Bermeo,Litros per cápita diario,Bermeo,175.3
2011,Consumo de agua por habitante y día,,,Bermeo,Litros per cápita diario,Bermeo,106.2
2012,Consumo de agua por habitante y día,,,Bermeo,Litros per cápita diario,Bermeo,120.3
2018,Consumo de agua por habitante y día,,,Bernedo,Litros per cápita diario,Bernedo,444.9
2017,Consumo de agua por habitante y día,,,Bernedo,Litros per cápita diario,Bernedo,437.7
2015,Consumo de agua por habitante y día,,,Bernedo,Litros per cápita diario,Bernedo,582.0
2011,Consumo de agua por habitante y día,,,Bernedo,Litros per cápita diario,Bernedo,46.7
2016,Consumo de agua por habitante y día,,,Bernedo,Litros per cápita diario,Bernedo,615.2
2014,Consumo de agua por habitante y día,,,Bernedo,Litros per cápita diario,Bernedo,54.0
2019,Consumo de agua por habitante y día,,,Bernedo,Litros per cápita diario,Bernedo,460.3
2012,Consumo de agua por habitante y día,,,Bernedo,Litros per cápita diario,Bernedo,71.1
2018,Consumo de agua por habitante y día,,,Berriatua,Litros per cápita diario,Berriatua,168.6
2012,Consumo de agua por habitante y día,,,Berriatua,Litros per cápita diario,Berriatua,182.0
2017,Consumo de agua por habitante y día,,,Berriatua,Litros per cápita diario,Berriatua,170.3
2014,Consumo de agua por habitante y día,,,Berriatua,Litros per cápita diario,Berriatua,178.1
2015,Consumo de agua por habitante y día,,,Berriatua,Litros per cápita diario,Berriatua,180.3
2011,Consumo de agua por habitante y día,,,Berriatua,Litros per cápita diario,Berriatua,183.8
2016,Consumo de agua por habitante y día,,,Berriatua,Litros per cápita diario,Berriatua,175.7
2019,Consumo de agua por habitante y día,,,Berriatua,Litros per cápita diario,Berriatua,171.1
2015,Consumo de agua por habitante y día,,,Berriz,Litros per cápita diario,Berriz,126.6
2011,Consumo de agua por habitante y día,,,Berriz,Litros per cápita diario,Berriz,94.5
2012,Consumo de agua por habitante y día,,,Berriz,Litros per cápita diario,Berriz,94.8
2017,Consumo de agua por habitante y día,,,Berriz,Litros per cápita diario,Berriz,154.7
2016,Consumo de agua por habitante y día,,,Berriz,Litros per cápita diario,Berriz,138.2
2014,Consumo de agua por habitante y día,,,Berriz,Litros per cápita diario,Berriz,96.6
2019,Consumo de agua por habitante y día,,,Berriz,Litros per cápita diario,Berriz,159.9
2018,Consumo de agua por habitante y día,,,Berriz,Litros per cápita diario,Berriz,163.4
2016,Consumo de agua por habitante y día,,,Berrobi,Litros per cápita diario,Berrobi,147.8
2012,Consumo de agua por habitante y día,,,Berrobi,Litros per cápita diario,Berrobi,156.7
2011,Consumo de agua por habitante y día,,,Berrobi,Litros per cápita diario,Berrobi,158.1
2018,Consumo de agua por habitante y día,,,Berrobi,Litros per cápita diario,Berrobi,141.3
2017,Consumo de agua por habitante y día,,,Berrobi,Litros per cápita diario,Berrobi,142.5
2014,Consumo de agua por habitante y día,,,Berrobi,Litros per cápita diario,Berrobi,153.9
2015,Consumo de agua por habitante y día,,,Berrobi,Litros per cápita diario,Berrobi,138.2
2019,Consumo de agua por habitante y día,,,Berrobi,Litros per cápita diario,Berrobi,142.5
2018,Consumo de agua por habitante y día,,,Bidania-Goiatz,Litros per cápita diario,Bidania-Goiatz,211.6
2014,Consumo de agua por habitante y día,,,Bidania-Goiatz,Litros per cápita diario,Bidania-Goiatz,211.9
2012,Consumo de agua por habitante y día,,,Bidania-Goiatz,Litros per cápita diario,Bidania-Goiatz,195.9
2016,Consumo de agua por habitante y día,,,Bidania-Goiatz,Litros per cápita diario,Bidania-Goiatz,221.1
2011,Consumo de agua por habitante y día,,,Bidania-Goiatz,Litros per cápita diario,Bidania-Goiatz,191.7
2015,Consumo de agua por habitante y día,,,Bidania-Goiatz,Litros per cápita diario,Bidania-Goiatz,216.5
2019,Consumo de agua por habitante y día,,,Bidania-Goiatz,Litros per cápita diario,Bidania-Goiatz,189.6
2017,Consumo de agua por habitante y día,,,Bidania-Goiatz,Litros per cápita diario,Bidania-Goiatz,199.4
2012,Consumo de agua por habitante y día,,,Bilbao,Litros per cápita diario,Bilbao,181.2
2019,Consumo de agua por habitante y día,,,Bilbao,Litros per cápita diario,Bilbao,177.2
2011,Consumo de agua por habitante y día,,,Bilbao,Litros per cápita diario,Bilbao,183.8
2016,Consumo de agua por habitante y día,,,Bilbao,Litros per cápita diario,Bilbao,177.4
2018,Consumo de agua por habitante y día,,,Bilbao,Litros per cápita diario,Bilbao,175.6
2017,Consumo de agua por habitante y día,,,Bilbao,Litros per cápita diario,Bilbao,175.0
2014,Consumo de agua por habitante y día,,,Bilbao,Litros per cápita diario,Bilbao,178.5
2015,Consumo de agua por habitante y día,,,Bilbao,Litros per cápita diario,Bilbao,177.8
2019,Consumo de agua por habitante y día,,,Busturia,Litros per cápita diario,Busturia,161.6
2017,Consumo de agua por habitante y día,,,Busturia,Litros per cápita diario,Busturia,171.9
2011,Consumo de agua por habitante y día,,,Busturia,Litros per cápita diario,Busturia,170.6
2016,Consumo de agua por habitante y día,,,Busturia,Litros per cápita diario,Busturia,174.4
2012,Consumo de agua por habitante y día,,,Busturia,Litros per cápita diario,Busturia,118.9
2014,Consumo de agua por habitante y día,,,Busturia,Litros per cápita diario,Busturia,122.6
2018,Consumo de agua por habitante y día,,,Busturia,Litros per cápita diario,Busturia,169.3
2015,Consumo de agua por habitante y día,,,Busturia,Litros per cápita diario,Busturia,172.4
2015,Consumo de agua por habitante y día,,,Campezo/Kanpezu,Litros per cápita diario,Campezo/Kanpezu,241.4
2016,Consumo de agua por habitante y día,,,Campezo/Kanpezu,Litros per cápita diario,Campezo/Kanpezu,243.9
2019,Consumo de agua por habitante y día,,,Campezo/Kanpezu,Litros per cápita diario,Campezo/Kanpezu,215.4
2011,Consumo de agua por habitante y día,,,Campezo/Kanpezu,Litros per cápita diario,Campezo/Kanpezu,249.6
2012,Consumo de agua por habitante y día,,,Campezo/Kanpezu,Litros per cápita diario,Campezo/Kanpezu,238.7
2018,Consumo de agua por habitante y día,,,Campezo/Kanpezu,Litros per cápita diario,Campezo/Kanpezu,217.4
2017,Consumo de agua por habitante y día,,,Campezo/Kanpezu,Litros per cápita diario,Campezo/Kanpezu,250.1
2014,Consumo de agua por habitante y día,,,Campezo/Kanpezu,Litros per cápita diario,Campezo/Kanpezu,281.6
2015,Consumo de agua por habitante y día,,,Deba,Litros per cápita diario,Deba,144.2
2012,Consumo de agua por habitante y día,,,Deba,Litros per cápita diario,Deba,156.8
2016,Consumo de agua por habitante y día,,,Deba,Litros per cápita diario,Deba,155.5
2017,Consumo de agua por habitante y día,,,Deba,Litros per cápita diario,Deba,153.8
2018,Consumo de agua por habitante y día,,,Deba,Litros per cápita diario,Deba,152.8
2011,Consumo de agua por habitante y día,,,Deba,Litros per cápita diario,Deba,158.1
2014,Consumo de agua por habitante y día,,,Deba,Litros per cápita diario,Deba,156.0
2019,Consumo de agua por habitante y día,,,Deba,Litros per cápita diario,Deba,152.9
2014,Consumo de agua por habitante y día,,,Derio,Litros per cápita diario,Derio,173.8
2018,Consumo de agua por habitante y día,,,Derio,Litros per cápita diario,Derio,167.8
2011,Consumo de agua por habitante y día,,,Derio,Litros per cápita diario,Derio,183.8
2019,Consumo de agua por habitante y día,,,Derio,Litros per cápita diario,Derio,167.7
2015,Consumo de agua por habitante y día,,,Derio,Litros per cápita diario,Derio,170.4
2016,Consumo de agua por habitante y día,,,Derio,Litros per cápita diario,Derio,166.8
2017,Consumo de agua por habitante y día,,,Derio,Litros per cápita diario,Derio,168.8
2012,Consumo de agua por habitante y día,,,Derio,Litros per cápita diario,Derio,188.7
2014,Consumo de agua por habitante y día,,,Dima,Litros per cápita diario,Dima,175.2
2015,Consumo de agua por habitante y día,,,Dima,Litros per cápita diario,Dima,172.5
2018,Consumo de agua por habitante y día,,,Dima,Litros per cápita diario,Dima,176.3
2019,Consumo de agua por habitante y día,,,Dima,Litros per cápita diario,Dima,179.7
2011,Consumo de agua por habitante y día,,,Dima,Litros per cápita diario,Dima,183.8
2016,Consumo de agua por habitante y día,,,Dima,Litros per cápita diario,Dima,175.9
2017,Consumo de agua por habitante y día,,,Dima,Litros per cápita diario,Dima,174.9
2012,Consumo de agua por habitante y día,,,Dima,Litros per cápita diario,Dima,188.6
2014,Consumo de agua por habitante y día,,,Donostia / San Sebastián,Litros per cápita diario,Donostia / San Sebastián,198.1
2018,Consumo de agua por habitante y día,,,Donostia / San Sebastián,Litros per cápita diario,Donostia / San Sebastián,189.8
2016,Consumo de agua por habitante y día,,,Donostia / San Sebastián,Litros per cápita diario,Donostia / San Sebastián,190.8
2019,Consumo de agua por habitante y día,,,Donostia / San Sebastián,Litros per cápita diario,Donostia / San Sebastián,193.4
2011,Consumo de agua por habitante y día,,,Donostia / San Sebastián,Litros per cápita diario,Donostia / San Sebastián,198.0
2015,Consumo de agua por habitante y día,,,Donostia / San Sebastián,Litros per cápita diario,Donostia / San Sebastián,192.6
2017,Consumo de agua por habitante y día,,,Donostia / San Sebastián,Litros per cápita diario,Donostia / San Sebastián,197.1
2012,Consumo de agua por habitante y día,,,Donostia / San Sebastián,Litros per cápita diario,Donostia / San Sebastián,194.1
2018,Consumo de agua por habitante y día,,,Durango,Litros per cápita diario,Durango,172.8
2017,Consumo de agua por habitante y día,,,Durango,Litros per cápita diario,Durango,173.3
2011,Consumo de agua por habitante y día,,,Durango,Litros per cápita diario,Durango,183.8
2016,Consumo de agua por habitante y día,,,Durango,Litros per cápita diario,Durango,175.0
2012,Consumo de agua por habitante y día,,,Durango,Litros per cápita diario,Durango,182.9
2014,Consumo de agua por habitante y día,,,Durango,Litros per cápita diario,Durango,176.6
2015,Consumo de agua por habitante y día,,,Durango,Litros per cápita diario,Durango,174.7
2019,Consumo de agua por habitante y día,,,Durango,Litros per cápita diario,Durango,173.9
2019,Consumo de agua por habitante y día,,,Ea,Litros per cápita diario,Ea,155.9
2017,Consumo de agua por habitante y día,,,Ea,Litros per cápita diario,Ea,171.9
2015,Consumo de agua por habitante y día,,,Ea,Litros per cápita diario,Ea,171.0
2012,Consumo de agua por habitante y día,,,Ea,Litros per cápita diario,Ea,118.2
2014,Consumo de agua por habitante y día,,,Ea,Litros per cápita diario,Ea,120.5
2011,Consumo de agua por habitante y día,,,Ea,Litros per cápita diario,Ea,172.3
2016,Consumo de agua por habitante y día,,,Ea,Litros per cápita diario,Ea,172.7
2018,Consumo de agua por habitante y día,,,Ea,Litros per cápita diario,Ea,166.0
2012,Consumo de agua por habitante y día,,,Eibar,Litros per cápita diario,Eibar,156.7
2016,Consumo de agua por habitante y día,,,Eibar,Litros per cápita diario,Eibar,155.3
2014,Consumo de agua por habitante y día,,,Eibar,Litros per cápita diario,Eibar,156.6
2011,Consumo de agua por habitante y día,,,Eibar,Litros per cápita diario,Eibar,158.1
2015,Consumo de agua por habitante y día,,,Eibar,Litros per cápita diario,Eibar,145.2
2018,Consumo de agua por habitante y día,,,Eibar,Litros per cápita diario,Eibar,153.0
2019,Consumo de agua por habitante y día,,,Eibar,Litros per cápita diario,Eibar,152.7
2017,Consumo de agua por habitante y día,,,Eibar,Litros per cápita diario,Eibar,154.0
2012,Consumo de agua por habitante y día,,,Elantxobe,Litros per cápita diario,Elantxobe,117.5
2014,Consumo de agua por habitante y día,,,Elantxobe,Litros per cápita diario,Elantxobe,121.1
2011,Consumo de agua por habitante y día,,,Elantxobe,Litros per cápita diario,Elantxobe,134.5
2017,Consumo de agua por habitante y día,,,Elantxobe,Litros per cápita diario,Elantxobe,175.2
2019,Consumo de agua por habitante y día,,,Elantxobe,Litros per cápita diario,Elantxobe,161.2
2015,Consumo de agua por habitante y día,,,Elantxobe,Litros per cápita diario,Elantxobe,173.2
2016,Consumo de agua por habitante y día,,,Elantxobe,Litros per cápita diario,Elantxobe,174.2
