Year,Series,Producto,Territorio,Units,Value
2010,Tasa de variación interanual del índice de precios de los alimentos,Alimentos,Gipuzkoa,Porcentaje,-0.9
2022,Tasa de variación interanual del índice de precios de los alimentos,Alimentos,Gipuzkoa,Porcentaje,11.2
2013,Tasa de variación interanual del índice de precios de los alimentos,Alimentos,Gipuzkoa,Porcentaje,2.8
2019,Tasa de variación interanual del índice de precios de los alimentos,Alimentos,Gipuzkoa,Porcentaje,1.0
2014,Tasa de variación interanual del índice de precios de los alimentos,Alimentos,Gipuzkoa,Porcentaje,-0.6
2016,Tasa de variación interanual del índice de precios de los alimentos,Alimentos,Gipuzkoa,Porcentaje,1.5
2021,Tasa de variación interanual del índice de precios de los alimentos,Alimentos,Gipuzkoa,Porcentaje,1.7
2018,Tasa de variación interanual del índice de precios de los alimentos,Alimentos,Gipuzkoa,Porcentaje,1.9
2011,Tasa de variación interanual del índice de precios de los alimentos,Alimentos,Gipuzkoa,Porcentaje,1.5
2017,Tasa de variación interanual del índice de precios de los alimentos,Alimentos,Gipuzkoa,Porcentaje,1.0
2015,Tasa de variación interanual del índice de precios de los alimentos,Alimentos,Gipuzkoa,Porcentaje,1.7
2010,Tasa de variación interanual del índice de precios de los alimentos,Pan y cereales,,Porcentaje,-0.5
2013,Tasa de variación interanual del índice de precios de los alimentos,Pan y cereales,,Porcentaje,1.3
2011,Tasa de variación interanual del índice de precios de los alimentos,Pan y cereales,,Porcentaje,3.0
2016,Tasa de variación interanual del índice de precios de los alimentos,Pan y cereales,,Porcentaje,0.4
2020,Tasa de variación interanual del índice de precios de los alimentos,Pan y cereales,,Porcentaje,1.5
2018,Tasa de variación interanual del índice de precios de los alimentos,Pan y cereales,,Porcentaje,1.4
2017,Tasa de variación interanual del índice de precios de los alimentos,Pan y cereales,,Porcentaje,-1.7
2015,Tasa de variación interanual del índice de precios de los alimentos,Pan y cereales,,Porcentaje,-0.3
2021,Tasa de variación interanual del índice de precios de los alimentos,Pan y cereales,,Porcentaje,0.1
2022,Tasa de variación interanual del índice de precios de los alimentos,Pan y cereales,,Porcentaje,13.9
2012,Tasa de variación interanual del índice de precios de los alimentos,Pan y cereales,,Porcentaje,2.1
2014,Tasa de variación interanual del índice de precios de los alimentos,Pan y cereales,,Porcentaje,-1.2
2019,Tasa de variación interanual del índice de precios de los alimentos,Pan y cereales,,Porcentaje,1.6
2023,Tasa de variación interanual del índice de precios de los alimentos,Pan y cereales,,Porcentaje,11.0
