Year,Sexua,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2018,,,,ES48002,PER_100000_POP,ES48002,0.0
2015,,,,ES48002,PER_100000_POP,ES48002,0.0
2023,,,,ES48002,PER_100000_POP,ES48002,0.0
2010,,,,ES48002,PER_100000_POP,ES48002,0.0
2022,,,,ES48002,PER_100000_POP,ES48002,0.0
2017,,,,Aduna,PER_100000_POP,Aduna,0.0
2019,,,,Aduna,PER_100000_POP,Aduna,0.0
2011,,,,Aduna,PER_100000_POP,Aduna,0.0
2018,,,,Aduna,PER_100000_POP,Aduna,0.0
2020,,,,Aduna,PER_100000_POP,Aduna,0.0
2012,,,,Aduna,PER_100000_POP,Aduna,0.0
2014,,,,Aduna,PER_100000_POP,Aduna,0.0
2023,,,,Aduna,PER_100000_POP,Aduna,0.0
2010,,,,Aduna,PER_100000_POP,Aduna,0.0
2013,,,,Aduna,PER_100000_POP,Aduna,0.0
2021,,,,Aduna,PER_100000_POP,Aduna,0.0
2022,,,,Aduna,PER_100000_POP,Aduna,0.0
2016,,,,Aduna,PER_100000_POP,Aduna,0.0
2015,,,,Aduna,PER_100000_POP,Aduna,0.0
2022,,,,Agurain / Salvatierra,PER_100000_POP,Agurain / Salvatierra,0.0
2020,,,,Agurain / Salvatierra,PER_100000_POP,Agurain / Salvatierra,0.0
2016,,,,Agurain / Salvatierra,PER_100000_POP,Agurain / Salvatierra,0.0
2021,,,,Agurain / Salvatierra,PER_100000_POP,Agurain / Salvatierra,0.0
2015,,,,Agurain / Salvatierra,PER_100000_POP,Agurain / Salvatierra,0.0
2011,,,,Agurain / Salvatierra,PER_100000_POP,Agurain / Salvatierra,0.0
2014,,,,Agurain / Salvatierra,PER_100000_POP,Agurain / Salvatierra,0.0
2019,,,,Agurain / Salvatierra,PER_100000_POP,Agurain / Salvatierra,0.0
2013,,,,Agurain / Salvatierra,PER_100000_POP,Agurain / Salvatierra,0.0
2023,,,,Agurain / Salvatierra,PER_100000_POP,Agurain / Salvatierra,0.0
2012,,,,Agurain / Salvatierra,PER_100000_POP,Agurain / Salvatierra,0.0
2017,,,,Agurain / Salvatierra,PER_100000_POP,Agurain / Salvatierra,0.0
2018,,,,Agurain / Salvatierra,PER_100000_POP,Agurain / Salvatierra,0.0
2010,,,,Agurain / Salvatierra,PER_100000_POP,Agurain / Salvatierra,0.0
2022,,,,Aia,PER_100000_POP,Aia,0.0
2013,,,,Aia,PER_100000_POP,Aia,0.0
2016,,,,Aia,PER_100000_POP,Aia,0.0
2021,,,,Aia,PER_100000_POP,Aia,0.0
2010,,,,Aia,PER_100000_POP,Aia,0.0
2018,,,,Aia,PER_100000_POP,Aia,0.0
2019,,,,Aia,PER_100000_POP,Aia,0.0
2020,,,,Aia,PER_100000_POP,Aia,0.0
2023,,,,Aia,PER_100000_POP,Aia,0.0
2017,,,,Aia,PER_100000_POP,Aia,0.0
2015,,,,Aia,PER_100000_POP,Aia,0.0
2011,,,,Aia,PER_100000_POP,Aia,0.0
2014,,,,Aia,PER_100000_POP,Aia,0.0
2012,,,,Aia,PER_100000_POP,Aia,0.0
2018,,,,Aizarnazabal,PER_100000_POP,Aizarnazabal,0.0
2022,,,,Aizarnazabal,PER_100000_POP,Aizarnazabal,0.0
2011,,,,Aizarnazabal,PER_100000_POP,Aizarnazabal,0.0
2010,,,,Aizarnazabal,PER_100000_POP,Aizarnazabal,0.0
2012,,,,Aizarnazabal,PER_100000_POP,Aizarnazabal,0.0
2014,,,,Aizarnazabal,PER_100000_POP,Aizarnazabal,0.0
2020,,,,Aizarnazabal,PER_100000_POP,Aizarnazabal,0.0
2023,,,,Aizarnazabal,PER_100000_POP,Aizarnazabal,0.0
2015,,,,Aizarnazabal,PER_100000_POP,Aizarnazabal,0.0
2016,,,,Aizarnazabal,PER_100000_POP,Aizarnazabal,0.0
2017,,,,Aizarnazabal,PER_100000_POP,Aizarnazabal,0.0
2013,,,,Aizarnazabal,PER_100000_POP,Aizarnazabal,0.0
2021,,,,Aizarnazabal,PER_100000_POP,Aizarnazabal,0.0
2019,,,,Aizarnazabal,PER_100000_POP,Aizarnazabal,0.0
2015,,,,ES48911,PER_100000_POP,ES48911,0.0
2012,,,,ES48911,PER_100000_POP,ES48911,0.0
2014,,,,ES48911,PER_100000_POP,ES48911,0.0
2017,,,,ES48911,PER_100000_POP,ES48911,0.0
2013,,,,ES48911,PER_100000_POP,ES48911,0.0
2010,,,,ES48911,PER_100000_POP,ES48911,0.0
2011,,,,ES48911,PER_100000_POP,ES48911,0.0
2021,,,,ES48911,PER_100000_POP,ES48911,0.0
2020,,,,ES48911,PER_100000_POP,ES48911,0.0
2022,,,,ES48911,PER_100000_POP,ES48911,0.0
2016,,,,ES48911,PER_100000_POP,ES48911,0.0
2019,,,,ES48911,PER_100000_POP,ES48911,0.0
2018,,,,ES48911,PER_100000_POP,ES48911,0.0
2023,,,,ES48911,PER_100000_POP,ES48911,0.0
2014,,,,Albiztur,PER_100000_POP,Albiztur,0.0
2022,,,,Albiztur,PER_100000_POP,Albiztur,0.0
2020,,,,Albiztur,PER_100000_POP,Albiztur,0.0
2010,,,,Albiztur,PER_100000_POP,Albiztur,0.0
2021,,,,Albiztur,PER_100000_POP,Albiztur,0.0
2019,,,,Albiztur,PER_100000_POP,Albiztur,0.0
2011,,,,Albiztur,PER_100000_POP,Albiztur,0.0
2012,,,,Albiztur,PER_100000_POP,Albiztur,0.0
2018,,,,Albiztur,PER_100000_POP,Albiztur,0.0
2023,,,,Albiztur,PER_100000_POP,Albiztur,0.0
2013,,,,Albiztur,PER_100000_POP,Albiztur,0.0
2016,,,,Albiztur,PER_100000_POP,Albiztur,0.0
2017,,,,Albiztur,PER_100000_POP,Albiztur,0.0
2015,,,,Albiztur,PER_100000_POP,Albiztur,0.0
2017,,,,Alegia,PER_100000_POP,Alegia,0.0
2011,,,,Alegia,PER_100000_POP,Alegia,0.0
2020,,,,Alegia,PER_100000_POP,Alegia,0.0
2010,,,,Alegia,PER_100000_POP,Alegia,0.0
2021,,,,Alegia,PER_100000_POP,Alegia,0.0
2016,,,,Alegia,PER_100000_POP,Alegia,0.0
2013,,,,Alegia,PER_100000_POP,Alegia,0.0
2018,,,,Alegia,PER_100000_POP,Alegia,0.0
2019,,,,Alegia,PER_100000_POP,Alegia,0.0
2023,,,,Alegia,PER_100000_POP,Alegia,0.0
2014,,,,Alegia,PER_100000_POP,Alegia,0.0
2015,,,,Alegia,PER_100000_POP,Alegia,0.0
2012,,,,Alegia,PER_100000_POP,Alegia,0.0
2022,,,,Alegia,PER_100000_POP,Alegia,0.0
2013,,,,Alegría-Dulantzi,PER_100000_POP,Alegría-Dulantzi,0.0
2010,,,,Alegría-Dulantzi,PER_100000_POP,Alegría-Dulantzi,0.0
2019,,,,Alegría-Dulantzi,PER_100000_POP,Alegría-Dulantzi,0.0
2018,,,,Alegría-Dulantzi,PER_100000_POP,Alegría-Dulantzi,0.0
2021,,,,Alegría-Dulantzi,PER_100000_POP,Alegría-Dulantzi,0.0
2017,,,,Alegría-Dulantzi,PER_100000_POP,Alegría-Dulantzi,0.0
2014,,,,Alegría-Dulantzi,PER_100000_POP,Alegría-Dulantzi,0.0
2012,,,,Alegría-Dulantzi,PER_100000_POP,Alegría-Dulantzi,0.0
2015,,,,Alegría-Dulantzi,PER_100000_POP,Alegría-Dulantzi,0.0
2022,,,,Alegría-Dulantzi,PER_100000_POP,Alegría-Dulantzi,0.0
2023,,,,Alegría-Dulantzi,PER_100000_POP,Alegría-Dulantzi,0.0
2011,,,,Alegría-Dulantzi,PER_100000_POP,Alegría-Dulantzi,0.0
2020,,,,Alegría-Dulantzi,PER_100000_POP,Alegría-Dulantzi,0.0
2016,,,,Alegría-Dulantzi,PER_100000_POP,Alegría-Dulantzi,0.0
2010,,,,Alkiza,PER_100000_POP,Alkiza,0.0
2018,,,,Alkiza,PER_100000_POP,Alkiza,0.0
2015,,,,Alkiza,PER_100000_POP,Alkiza,0.0
2017,,,,Alkiza,PER_100000_POP,Alkiza,0.0
2016,,,,Alkiza,PER_100000_POP,Alkiza,0.0
2021,,,,Alkiza,PER_100000_POP,Alkiza,0.0
2014,,,,Alkiza,PER_100000_POP,Alkiza,0.0
2020,,,,Alkiza,PER_100000_POP,Alkiza,0.0
2011,,,,Alkiza,PER_100000_POP,Alkiza,0.0
2013,,,,Alkiza,PER_100000_POP,Alkiza,0.0
2023,,,,Alkiza,PER_100000_POP,Alkiza,0.0
2019,,,,Alkiza,PER_100000_POP,Alkiza,0.0
2012,,,,Alkiza,PER_100000_POP,Alkiza,0.0
2022,,,,Alkiza,PER_100000_POP,Alkiza,0.0
2020,,,,ES48912,PER_100000_POP,ES48912,0.0
2015,,,,ES48912,PER_100000_POP,ES48912,0.0
2023,,,,ES48912,PER_100000_POP,ES48912,0.0
2017,,,,ES48912,PER_100000_POP,ES48912,0.0
2014,,,,ES48912,PER_100000_POP,ES48912,0.0
2011,,,,ES48912,PER_100000_POP,ES48912,0.0
2019,,,,ES48912,PER_100000_POP,ES48912,0.0
2010,,,,ES48912,PER_100000_POP,ES48912,0.0
2022,,,,ES48912,PER_100000_POP,ES48912,0.0
2016,,,,ES48912,PER_100000_POP,ES48912,0.0
2013,,,,ES48912,PER_100000_POP,ES48912,0.0
2021,,,,ES48912,PER_100000_POP,ES48912,0.0
2012,,,,ES48912,PER_100000_POP,ES48912,0.0
2018,,,,ES48912,PER_100000_POP,ES48912,0.0
2016,,,,ES20906,PER_100000_POP,ES20906,0.0
2019,,,,ES20906,PER_100000_POP,ES20906,0.0
2021,,,,ES20906,PER_100000_POP,ES20906,0.0
2011,,,,ES20906,PER_100000_POP,ES20906,0.0
2022,,,,ES20906,PER_100000_POP,ES20906,0.0
2017,,,,ES20906,PER_100000_POP,ES20906,0.0
2014,,,,ES20906,PER_100000_POP,ES20906,0.0
2015,,,,ES20906,PER_100000_POP,ES20906,0.0
2018,,,,ES20906,PER_100000_POP,ES20906,0.0
2023,,,,ES20906,PER_100000_POP,ES20906,0.0
2012,,,,ES20906,PER_100000_POP,ES20906,0.0
2020,,,,ES20906,PER_100000_POP,ES20906,0.0
2010,,,,ES20906,PER_100000_POP,ES20906,0.0
2013,,,,ES20906,PER_100000_POP,ES20906,0.0
2016,,,,Altzo,PER_100000_POP,Altzo,0.0
2015,,,,Altzo,PER_100000_POP,Altzo,0.0
2013,,,,Altzo,PER_100000_POP,Altzo,0.0
2021,,,,Altzo,PER_100000_POP,Altzo,0.0
2022,,,,Altzo,PER_100000_POP,Altzo,0.0
2017,,,,Altzo,PER_100000_POP,Altzo,0.0
2019,,,,Altzo,PER_100000_POP,Altzo,0.0
2018,,,,Altzo,PER_100000_POP,Altzo,0.0
2011,,,,Altzo,PER_100000_POP,Altzo,0.0
2010,,,,Altzo,PER_100000_POP,Altzo,0.0
2023,,,,Altzo,PER_100000_POP,Altzo,0.0
2014,,,,Altzo,PER_100000_POP,Altzo,0.0
2020,,,,Altzo,PER_100000_POP,Altzo,0.0
2012,,,,Altzo,PER_100000_POP,Altzo,0.0
2014,,,,Amezketa,PER_100000_POP,Amezketa,0.0
2018,,,,Amezketa,PER_100000_POP,Amezketa,0.0
2023,,,,Amezketa,PER_100000_POP,Amezketa,0.0
2015,,,,Amezketa,PER_100000_POP,Amezketa,0.0
2013,,,,Amezketa,PER_100000_POP,Amezketa,0.0
2019,,,,Amezketa,PER_100000_POP,Amezketa,0.0
2010,,,,Amezketa,PER_100000_POP,Amezketa,0.0
2021,,,,Amezketa,PER_100000_POP,Amezketa,0.0
2017,,,,Amezketa,PER_100000_POP,Amezketa,0.0
2016,,,,Amezketa,PER_100000_POP,Amezketa,0.0
2020,,,,Amezketa,PER_100000_POP,Amezketa,0.0
2011,,,,Amezketa,PER_100000_POP,Amezketa,0.0
2022,,,,Amezketa,PER_100000_POP,Amezketa,0.0
2012,,,,Amezketa,PER_100000_POP,Amezketa,0.0
2010,,,,ES48003,PER_100000_POP,ES48003,0.0
2023,,,,ES48003,PER_100000_POP,ES48003,0.0
2011,,,,ES48003,PER_100000_POP,ES48003,0.0
2015,,,,ES48003,PER_100000_POP,ES48003,0.0
2021,,,,ES48003,PER_100000_POP,ES48003,0.0
2018,,,,ES48003,PER_100000_POP,ES48003,0.0
2017,,,,ES48003,PER_100000_POP,ES48003,0.0
2012,,,,ES48003,PER_100000_POP,ES48003,0.0
2022,,,,ES48003,PER_100000_POP,ES48003,0.0
2016,,,,ES48003,PER_100000_POP,ES48003,0.0
2013,,,,ES48003,PER_100000_POP,ES48003,0.0
2020,,,,ES48003,PER_100000_POP,ES48003,0.0
2014,,,,ES48003,PER_100000_POP,ES48003,0.0
2019,,,,ES48003,PER_100000_POP,ES48003,0.0
2011,,,,ES48004,PER_100000_POP,ES48004,0.0
2019,,,,ES48004,PER_100000_POP,ES48004,0.0
2018,,,,ES48004,PER_100000_POP,ES48004,0.0
2015,,,,ES48004,PER_100000_POP,ES48004,0.0
2023,,,,ES48004,PER_100000_POP,ES48004,0.0
2017,,,,ES48004,PER_100000_POP,ES48004,0.0
2020,,,,ES48004,PER_100000_POP,ES48004,0.0
2012,,,,ES48004,PER_100000_POP,ES48004,0.0
2021,,,,ES48004,PER_100000_POP,ES48004,0.0
2014,,,,ES48004,PER_100000_POP,ES48004,0.0
2013,,,,ES48004,PER_100000_POP,ES48004,0.0
2010,,,,ES48004,PER_100000_POP,ES48004,0.0
2022,,,,ES48004,PER_100000_POP,ES48004,0.0
2016,,,,ES48004,PER_100000_POP,ES48004,0.0
2017,,,,Amurrio,PER_100000_POP,Amurrio,0.0
2020,,,,Amurrio,PER_100000_POP,Amurrio,0.0
2011,,,,Amurrio,PER_100000_POP,Amurrio,0.0
2013,,,,Amurrio,PER_100000_POP,Amurrio,0.0
2015,,,,Amurrio,PER_100000_POP,Amurrio,0.0
2016,,,,Amurrio,PER_100000_POP,Amurrio,0.0
2012,,,,Amurrio,PER_100000_POP,Amurrio,0.0
2021,,,,Amurrio,PER_100000_POP,Amurrio,0.0
2018,,,,Amurrio,PER_100000_POP,Amurrio,0.0
2019,,,,Amurrio,PER_100000_POP,Amurrio,0.0
2014,,,,Amurrio,PER_100000_POP,Amurrio,0.0
2023,,,,Amurrio,PER_100000_POP,Amurrio,0.0
2010,,,,Amurrio,PER_100000_POP,Amurrio,0.0
2022,,,,Amurrio,PER_100000_POP,Amurrio,0.0
2018,,,,Andoain,PER_100000_POP,Andoain,0.0
2014,,,,Andoain,PER_100000_POP,Andoain,0.0
2022,,,,Andoain,PER_100000_POP,Andoain,0.0
2010,,,,Andoain,PER_100000_POP,Andoain,0.0
2013,,,,Andoain,PER_100000_POP,Andoain,0.0
2015,,,,Andoain,PER_100000_POP,Andoain,0.0
2023,,,,Andoain,PER_100000_POP,Andoain,0.0
2016,,,,Andoain,PER_100000_POP,Andoain,0.0
2021,,,,Andoain,PER_100000_POP,Andoain,0.0
2019,,,,Andoain,PER_100000_POP,Andoain,0.0
2017,,,,Andoain,PER_100000_POP,Andoain,0.0
2020,,,,Andoain,PER_100000_POP,Andoain,0.0
2012,,,,Andoain,PER_100000_POP,Andoain,0.0
2011,,,,Andoain,PER_100000_POP,Andoain,0.0
2020,,,,Anoeta,PER_100000_POP,Anoeta,0.0
2016,,,,Anoeta,PER_100000_POP,Anoeta,0.0
2018,,,,Anoeta,PER_100000_POP,Anoeta,0.0
2013,,,,Anoeta,PER_100000_POP,Anoeta,0.0
2022,,,,Anoeta,PER_100000_POP,Anoeta,0.0
2023,,,,Anoeta,PER_100000_POP,Anoeta,0.0
2010,,,,Anoeta,PER_100000_POP,Anoeta,0.0
2014,,,,Anoeta,PER_100000_POP,Anoeta,0.0
2015,,,,Anoeta,PER_100000_POP,Anoeta,0.0
2011,,,,Anoeta,PER_100000_POP,Anoeta,0.0
2021,,,,Anoeta,PER_100000_POP,Anoeta,0.0
2017,,,,Anoeta,PER_100000_POP,Anoeta,0.0
2019,,,,Anoeta,PER_100000_POP,Anoeta,0.0
2012,,,,Anoeta,PER_100000_POP,Anoeta,0.0
2010,,,,Antzuola,PER_100000_POP,Antzuola,0.0
2022,,,,Antzuola,PER_100000_POP,Antzuola,0.0
2015,,,,Antzuola,PER_100000_POP,Antzuola,0.0
2020,,,,Antzuola,PER_100000_POP,Antzuola,0.0
2023,,,,Antzuola,PER_100000_POP,Antzuola,0.0
2013,,,,Antzuola,PER_100000_POP,Antzuola,0.0
2014,,,,Antzuola,PER_100000_POP,Antzuola,0.0
2017,,,,Antzuola,PER_100000_POP,Antzuola,0.0
2018,,,,Antzuola,PER_100000_POP,Antzuola,0.0
2011,,,,Antzuola,PER_100000_POP,Antzuola,0.0
2021,,,,Antzuola,PER_100000_POP,Antzuola,0.0
2012,,,,Antzuola,PER_100000_POP,Antzuola,0.0
2019,,,,Antzuola,PER_100000_POP,Antzuola,0.0
2016,,,,Antzuola,PER_100000_POP,Antzuola,0.0
2015,,,,Añana,PER_100000_POP,Añana,0.0
2013,,,,Añana,PER_100000_POP,Añana,0.0
2021,,,,Añana,PER_100000_POP,Añana,0.0
2020,,,,Añana,PER_100000_POP,Añana,0.0
2012,,,,Añana,PER_100000_POP,Añana,0.0
2014,,,,Añana,PER_100000_POP,Añana,0.0
2022,,,,Añana,PER_100000_POP,Añana,0.0
2018,,,,Añana,PER_100000_POP,Añana,0.0
2017,,,,Añana,PER_100000_POP,Añana,0.0
2019,,,,Añana,PER_100000_POP,Añana,0.0
2023,,,,Añana,PER_100000_POP,Añana,0.0
2011,,,,Añana,PER_100000_POP,Añana,0.0
2016,,,,Añana,PER_100000_POP,Añana,0.0
2010,,,,Añana,PER_100000_POP,Añana,0.0
2023,,,,ES48005,PER_100000_POP,ES48005,0.0
2011,,,,ES48005,PER_100000_POP,ES48005,0.0
2017,,,,ES48005,PER_100000_POP,ES48005,0.0
2012,,,,ES48005,PER_100000_POP,ES48005,0.0
2010,,,,ES48005,PER_100000_POP,ES48005,0.0
2021,,,,ES48005,PER_100000_POP,ES48005,0.0
2020,,,,ES48005,PER_100000_POP,ES48005,0.0
2013,,,,ES48005,PER_100000_POP,ES48005,0.0
2014,,,,ES48005,PER_100000_POP,ES48005,0.0
2022,,,,ES48005,PER_100000_POP,ES48005,0.0
2019,,,,ES48005,PER_100000_POP,ES48005,0.0
2015,,,,ES48005,PER_100000_POP,ES48005,0.0
2018,,,,ES48005,PER_100000_POP,ES48005,0.0
2016,,,,ES48005,PER_100000_POP,ES48005,0.0
2023,,,,Arama,PER_100000_POP,Arama,0.0
2016,,,,Arama,PER_100000_POP,Arama,0.0
2020,,,,Arama,PER_100000_POP,Arama,0.0
2022,,,,Arama,PER_100000_POP,Arama,0.0
2018,,,,Arama,PER_100000_POP,Arama,0.0
2015,,,,Arama,PER_100000_POP,Arama,0.0
2012,,,,Arama,PER_100000_POP,Arama,0.0
2017,,,,Arama,PER_100000_POP,Arama,0.0
2011,,,,Arama,PER_100000_POP,Arama,0.0
2021,,,,Arama,PER_100000_POP,Arama,0.0
2014,,,,Arama,PER_100000_POP,Arama,0.0
2019,,,,Arama,PER_100000_POP,Arama,0.0
2010,,,,Arama,PER_100000_POP,Arama,0.0
2013,,,,Arama,PER_100000_POP,Arama,0.0
2011,,,,Aramaio,PER_100000_POP,Aramaio,0.0
2015,,,,Aramaio,PER_100000_POP,Aramaio,0.0
2022,,,,Aramaio,PER_100000_POP,Aramaio,0.0
2012,,,,Aramaio,PER_100000_POP,Aramaio,0.0
2010,,,,Aramaio,PER_100000_POP,Aramaio,0.0
2019,,,,Aramaio,PER_100000_POP,Aramaio,0.0
2014,,,,Aramaio,PER_100000_POP,Aramaio,0.0
2020,,,,Aramaio,PER_100000_POP,Aramaio,0.0
2018,,,,Aramaio,PER_100000_POP,Aramaio,0.0
2013,,,,Aramaio,PER_100000_POP,Aramaio,0.0
2023,,,,Aramaio,PER_100000_POP,Aramaio,0.0
2016,,,,Aramaio,PER_100000_POP,Aramaio,0.0
2021,,,,Aramaio,PER_100000_POP,Aramaio,0.0
2017,,,,Aramaio,PER_100000_POP,Aramaio,0.0
2019,,,,ES48006,PER_100000_POP,ES48006,0.0
2022,,,,ES48006,PER_100000_POP,ES48006,0.0
2018,,,,ES48006,PER_100000_POP,ES48006,0.0
2011,,,,ES48006,PER_100000_POP,ES48006,0.0
2015,,,,ES48006,PER_100000_POP,ES48006,0.0
2020,,,,ES48006,PER_100000_POP,ES48006,0.0
2014,,,,ES48006,PER_100000_POP,ES48006,0.0
2016,,,,ES48006,PER_100000_POP,ES48006,0.0
2017,,,,ES48006,PER_100000_POP,ES48006,0.0
2021,,,,ES48006,PER_100000_POP,ES48006,0.0
2023,,,,ES48006,PER_100000_POP,ES48006,0.0
2010,,,,ES48006,PER_100000_POP,ES48006,0.0
2012,,,,ES48006,PER_100000_POP,ES48006,0.0
2013,,,,ES48006,PER_100000_POP,ES48006,0.0
2017,,,,ES48093,PER_100000_POP,ES48093,0.0
2022,,,,ES48093,PER_100000_POP,ES48093,0.0
2012,,,,ES48093,PER_100000_POP,ES48093,0.0
2015,,,,ES48093,PER_100000_POP,ES48093,0.0
2011,,,,ES48093,PER_100000_POP,ES48093,0.0
2014,,,,ES48093,PER_100000_POP,ES48093,0.0
2021,,,,ES48093,PER_100000_POP,ES48093,0.0
2016,,,,ES48093,PER_100000_POP,ES48093,0.0
2013,,,,ES48093,PER_100000_POP,ES48093,0.0
2020,,,,ES48093,PER_100000_POP,ES48093,0.0
2023,,,,ES48093,PER_100000_POP,ES48093,0.0
2019,,,,ES48093,PER_100000_POP,ES48093,0.0
2010,,,,ES48093,PER_100000_POP,ES48093,0.0
2018,,,,ES48093,PER_100000_POP,ES48093,0.0
2016,,,,Aretxabaleta,PER_100000_POP,Aretxabaleta,0.0
2010,,,,Aretxabaleta,PER_100000_POP,Aretxabaleta,0.0
2018,,,,Aretxabaleta,PER_100000_POP,Aretxabaleta,0.0
2022,,,,Aretxabaleta,PER_100000_POP,Aretxabaleta,0.0
2019,,,,Aretxabaleta,PER_100000_POP,Aretxabaleta,0.0
2017,,,,Aretxabaleta,PER_100000_POP,Aretxabaleta,0.0
2020,,,,Aretxabaleta,PER_100000_POP,Aretxabaleta,0.0
2021,,,,Aretxabaleta,PER_100000_POP,Aretxabaleta,0.0
2023,,,,Aretxabaleta,PER_100000_POP,Aretxabaleta,0.0
2012,,,,Aretxabaleta,PER_100000_POP,Aretxabaleta,0.0
2014,,,,Aretxabaleta,PER_100000_POP,Aretxabaleta,0.0
2015,,,,Aretxabaleta,PER_100000_POP,Aretxabaleta,0.0
2011,,,,Aretxabaleta,PER_100000_POP,Aretxabaleta,0.0
2013,,,,Aretxabaleta,PER_100000_POP,Aretxabaleta,0.0
2021,,,,Armiñón,PER_100000_POP,Armiñón,0.0
2011,,,,Armiñón,PER_100000_POP,Armiñón,0.0
2015,,,,Armiñón,PER_100000_POP,Armiñón,0.0
2013,,,,Armiñón,PER_100000_POP,Armiñón,0.0
2012,,,,Armiñón,PER_100000_POP,Armiñón,0.0
2017,,,,Armiñón,PER_100000_POP,Armiñón,0.0
2022,,,,Armiñón,PER_100000_POP,Armiñón,0.0
2018,,,,Armiñón,PER_100000_POP,Armiñón,0.0
2014,,,,Armiñón,PER_100000_POP,Armiñón,0.0
2023,,,,Armiñón,PER_100000_POP,Armiñón,0.0
2020,,,,Armiñón,PER_100000_POP,Armiñón,0.0
2019,,,,Armiñón,PER_100000_POP,Armiñón,0.0
2010,,,,Armiñón,PER_100000_POP,Armiñón,0.0
2016,,,,Armiñón,PER_100000_POP,Armiñón,0.0
2016,,,,Arraia-Maeztu,PER_100000_POP,Arraia-Maeztu,0.0
2017,,,,Arraia-Maeztu,PER_100000_POP,Arraia-Maeztu,0.0
2019,,,,Arraia-Maeztu,PER_100000_POP,Arraia-Maeztu,0.0
2011,,,,Arraia-Maeztu,PER_100000_POP,Arraia-Maeztu,0.0
2020,,,,Arraia-Maeztu,PER_100000_POP,Arraia-Maeztu,0.0
2015,,,,Arraia-Maeztu,PER_100000_POP,Arraia-Maeztu,0.0
2021,,,,Arraia-Maeztu,PER_100000_POP,Arraia-Maeztu,0.0
2012,,,,Arraia-Maeztu,PER_100000_POP,Arraia-Maeztu,0.0
2023,,,,Arraia-Maeztu,PER_100000_POP,Arraia-Maeztu,0.0
2018,,,,Arraia-Maeztu,PER_100000_POP,Arraia-Maeztu,0.0
2013,,,,Arraia-Maeztu,PER_100000_POP,Arraia-Maeztu,0.0
2010,,,,Arraia-Maeztu,PER_100000_POP,Arraia-Maeztu,0.0
2014,,,,Arraia-Maeztu,PER_100000_POP,Arraia-Maeztu,0.0
