Year,Series,Hondakinen tratamendua,Lurralde historikoa,Units,Value
2010,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",Gipuzkoa,Porcentaje,1.2
2017,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",Gipuzkoa,Porcentaje,0.3
2014,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",Gipuzkoa,Porcentaje,2.4
2015,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",Gipuzkoa,Porcentaje,1.5
2012,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",Gipuzkoa,Porcentaje,0.2
2013,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",Gipuzkoa,Porcentaje,0.2
2016,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",Gipuzkoa,Porcentaje,2.0
2011,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",Gipuzkoa,Porcentaje,0.2
2019,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",Gipuzkoa,Porcentaje,0.5
2020,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",Gipuzkoa,Porcentaje,1.2
2018,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta","Errausketa, energia berreskurapenik gabe",Gipuzkoa,Porcentaje,0.2
