Year,Series,Hondakinen tratamendua,Lurralde historikoa,Units,Value
2016,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,,Porcentaje,66.1
2018,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,,Porcentaje,64.7
2014,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,,Porcentaje,66.6
2019,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,,Porcentaje,65.0
2013,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,,Porcentaje,68.7
2011,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,,Porcentaje,66.7
2017,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,Araba / Álava,Porcentaje,54.7
2018,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,Araba / Álava,Porcentaje,50.6
2011,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,Araba / Álava,Porcentaje,51.3
2010,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,Araba / Álava,Porcentaje,34.5
2014,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,Araba / Álava,Porcentaje,54.9
2020,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,Araba / Álava,Porcentaje,63.1
2015,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,Araba / Álava,Porcentaje,60.1
2012,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,Araba / Álava,Porcentaje,50.2
2016,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,Araba / Álava,Porcentaje,54.8
2019,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,Araba / Álava,Porcentaje,59.2
2013,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,Araba / Álava,Porcentaje,43.6
2013,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,Bizkaia,Porcentaje,75.7
2018,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,Bizkaia,Porcentaje,71.3
2017,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,Bizkaia,Porcentaje,69.4
2020,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,Bizkaia,Porcentaje,62.5
2011,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,Bizkaia,Porcentaje,69.9
2014,"Tratatutako hondakin arriskutsuen proportzioa, tratamendu motaren arabera banakatuta",Birziklatzea,Bizkaia,Porcentaje,71.0
