Year,Province,County,Municipality,Unidad,GeoCode,Value
2023,,,Aduna,Euros,Aduna,1368.6
2022,,,Aizarnazabal,Euros,Aizarnazabal,1360.9
2023,,,Aizarnazabal,Euros,Aizarnazabal,1483.2
2022,,,Albiztur,Euros,Albiztur,1215.5
2023,,,Albiztur,Euros,Albiztur,1349.4
2022,,,Alegia,Euros,Alegia,1193.9
2023,,,Alegia,Euros,Alegia,1317.0
2022,,,Alkiza,Euros,Alkiza,1113.9
2023,,,Alkiza,Euros,Alkiza,1194.8
2022,,,Altzo,Euros,Altzo,1315.6
2023,,,Altzo,Euros,Altzo,1522.8
2022,,,Amezketa,Euros,Amezketa,1414.6
2023,,,Amezketa,Euros,Amezketa,1529.8
2022,,,Andoain,Euros,Andoain,1371.5
2023,,,Andoain,Euros,Andoain,1497.2
2022,,Bidasoa Beherea / Bajo Bidasoa,,Euros,Bidasoa Beherea / Bajo Bidasoa,1257.8
2023,,Bidasoa Beherea / Bajo Bidasoa,,Euros,Bidasoa Beherea / Bajo Bidasoa,1380.0
2022,,,Anoeta,Euros,Anoeta,1348.9
2023,,,Anoeta,Euros,Anoeta,1467.9
2022,,,Antzuola,Euros,Antzuola,1350.4
2023,,,Antzuola,Euros,Antzuola,1483.3
2022,,,Arama,Euros,Arama,1360.3
2023,,,Arama,Euros,Arama,1491.7
2022,,,Aretxabaleta,Euros,Aretxabaleta,1084.9
2023,,,Aretxabaleta,Euros,Aretxabaleta,1201.3
2022,,,Asteasu,Euros,Asteasu,1183.4
2023,,,Asteasu,Euros,Asteasu,1300.1
2022,,,Ataun,Euros,Ataun,1297.4
2023,,,Ataun,Euros,Ataun,1428.7
2022,,,Aia,Euros,Aia,1100.9
2023,,,Aia,Euros,Aia,1227.4
2022,,,Azkoitia,Euros,Azkoitia,1352.3
2023,,,Azkoitia,Euros,Azkoitia,1496.1
2022,,,Azpeitia,Euros,Azpeitia,1336.1
2023,,,Azpeitia,Euros,Azpeitia,1460.2
2022,,,Beasain,Euros,Beasain,1478.1
2023,,,Beasain,Euros,Beasain,1618.1
2022,,Debabarrena / Bajo Deba,,Euros,Debabarrena / Bajo Deba,1323.6
2023,,Debabarrena / Bajo Deba,,Euros,Debabarrena / Bajo Deba,1455.5
2022,,,Beizama,Euros,Beizama,1041.0
2023,,,Beizama,Euros,Beizama,1117.6
2022,,,Belauntza,Euros,Belauntza,1247.4
2023,,,Belauntza,Euros,Belauntza,1387.0
2022,,,Berastegi,Euros,Berastegi,1342.5
2023,,,Berastegi,Euros,Berastegi,1469.2
2022,,,Berrobi,Euros,Berrobi,1235.4
2023,,,Berrobi,Euros,Berrobi,1369.6
2022,,,Bidania-Goiatz,Euros,Bidania-Goiatz,1158.0
2023,,,Bidania-Goiatz,Euros,Bidania-Goiatz,1284.5
2022,,,Zegama,Euros,Zegama,1187.8
2023,,,Zegama,Euros,Zegama,1327.3
2022,,,Zerain,Euros,Zerain,1223.5
2023,,,Zerain,Euros,Zerain,1374.8
2022,,,Zestoa,Euros,Zestoa,1281.3
2023,,,Zestoa,Euros,Zestoa,1399.2
2022,,,Zizurkil,Euros,Zizurkil,1336.6
2023,,,Zizurkil,Euros,Zizurkil,1474.6
2022,,,Deba,Euros,Deba,1278.5
2023,,,Deba,Euros,Deba,1408.6
2022,,Debagoiena / Alto Deba,,Euros,Debagoiena / Alto Deba,1221.7
2023,,Debagoiena / Alto Deba,,Euros,Debagoiena / Alto Deba,1342.0
2022,,,Eibar,Euros,Eibar,1348.0
2023,,,Eibar,Euros,Eibar,1485.8
2022,,,Elduain,Euros,Elduain,1358.9
2023,,,Elduain,Euros,Elduain,1452.5
2022,,,Elgoibar,Euros,Elgoibar,1371.0
2023,,,Elgoibar,Euros,Elgoibar,1498.2
2022,,,Elgeta,Euros,Elgeta,1371.5
2023,,,Elgeta,Euros,Elgeta,1505.0
2022,,,Eskoriatza,Euros,Eskoriatza,1084.2
2023,,,Eskoriatza,Euros,Eskoriatza,1182.9
2022,,,Ezkio-Itsaso,Euros,Ezkio-Itsaso,1281.4
2023,,,Ezkio-Itsaso,Euros,Ezkio-Itsaso,1408.8
2022,,,Hondarribia,Euros,Hondarribia,1350.7
2023,,,Hondarribia,Euros,Hondarribia,1482.5
2022,,,Gaintza,Euros,Gaintza,1454.7
2023,,,Gaintza,Euros,Gaintza,1627.9
2022,,,Gabiria,Euros,Gabiria,1266.7
2023,,,Gabiria,Euros,Gabiria,1381.5
2022,,,Getaria,Euros,Getaria,1165.1
2023,,,Getaria,Euros,Getaria,1278.8
2022,,Donostialdea,,Euros,Donostialdea,1351.0
2023,,Donostialdea,,Euros,Donostialdea,1483.7
2022,,,Hernani,Euros,Hernani,1274.0
2023,,,Hernani,Euros,Hernani,1405.5
2022,,,Hernialde,Euros,Hernialde,1455.7
2023,,,Hernialde,Euros,Hernialde,1496.2
2022,,,Ibarra,Euros,Ibarra,1344.8
2023,,,Ibarra,Euros,Ibarra,1479.2
2022,,,Idiazabal,Euros,Idiazabal,1329.9
2023,,,Idiazabal,Euros,Idiazabal,1454.1
2022,,,Ikaztegieta,Euros,Ikaztegieta,1320.8
2023,,,Ikaztegieta,Euros,Ikaztegieta,1418.1
2022,,,Irun,Euros,Irun,1232.6
2023,,,Irun,Euros,Irun,1351.9
2022,,,Irura,Euros,Irura,1321.0
2023,,,Irura,Euros,Irura,1425.4
2022,,,Itsasondo,Euros,Itsasondo,1286.3
2023,,,Itsasondo,Euros,Itsasondo,1392.4
2022,,,Larraul,Euros,Larraul,1145.5
2023,,,Larraul,Euros,Larraul,1283.8
2022,,,Lazkao,Euros,Lazkao,1453.6
2023,,,Lazkao,Euros,Lazkao,1580.3
2022,,Goierri,,Euros,Goierri,1426.6
2023,,Goierri,,Euros,Goierri,1565.3
2022,,,Leaburu,Euros,Leaburu,1313.0
2023,,,Leaburu,Euros,Leaburu,1453.9
2022,,,Legazpi,Euros,Legazpi,1470.5
2023,,,Legazpi,Euros,Legazpi,1621.7
2022,,,Legorreta,Euros,Legorreta,1371.1
2023,,,Legorreta,Euros,Legorreta,1487.5
2022,,,Lezo,Euros,Lezo,1257.1
2023,,,Lezo,Euros,Lezo,1380.9
2022,,,Lizartza,Euros,Lizartza,1289.7
2023,,,Lizartza,Euros,Lizartza,1451.0
2022,,,Arrasate/Mondragón,Euros,Arrasate/Mondragón,1158.9
2023,,,Arrasate/Mondragón,Euros,Arrasate/Mondragón,1271.1
2022,,,Mutriku,Euros,Mutriku,1174.8
2023,,,Mutriku,Euros,Mutriku,1301.5
2022,,,Mutiloa,Euros,Mutiloa,1108.7
2023,,,Mutiloa,Euros,Mutiloa,1240.0
2022,,,Olaberria,Euros,Olaberria,1533.3
2023,,,Olaberria,Euros,Olaberria,1675.5
2022,,,Oñati,Euros,Oñati,1273.1
2023,,,Oñati,Euros,Oñati,1403.8
2022,,Tolosaldea,,Euros,Tolosaldea,1335.3
2023,,Tolosaldea,,Euros,Tolosaldea,1465.2
2022,,,Orexa,Euros,Orexa,1464.2
2023,,,Orexa,Euros,Orexa,1692.6
2022,,,Orio,Euros,Orio,1235.4
2023,,,Orio,Euros,Orio,1367.5
2022,,,Ormaiztegi,Euros,Ormaiztegi,1337.7
2023,,,Ormaiztegi,Euros,Ormaiztegi,1461.5
2022,,,Oiartzun,Euros,Oiartzun,1272.6
2023,,,Oiartzun,Euros,Oiartzun,1397.1
2022,,,Pasaia,Euros,Pasaia,1175.1
2023,,,Pasaia,Euros,Pasaia,1288.0
2022,,,Soraluze/Placencia de las Armas,Euros,Soraluze/Placencia de las Armas,1287.2
2023,,,Soraluze/Placencia de las Armas,Euros,Soraluze/Placencia de las Armas,1405.3
2022,,,Errezil,Euros,Errezil,1008.9
2023,,,Errezil,Euros,Errezil,1085.5
2022,,,Errenteria,Euros,Errenteria,1241.8
2023,,,Errenteria,Euros,Errenteria,1360.9
2022,,,Leintz-Gatzaga,Euros,Leintz-Gatzaga,1197.8
2023,,,Leintz-Gatzaga,Euros,Leintz-Gatzaga,1338.5
2022,,,Donostia / San Sebastián,Euros,Donostia / San Sebastián,1399.3
2023,,,Donostia / San Sebastián,Euros,Donostia / San Sebastián,1538.5
2022,,Urola Kosta,,Euros,Urola Kosta,1335.3
2023,,Urola Kosta,,Euros,Urola Kosta,1467.1
2022,,,Segura,Euros,Segura,1315.6
2023,,,Segura,Euros,Segura,1439.6
2022,,,Tolosa,Euros,Tolosa,1370.9
