Year,Sex,Province,Units,Value
2023,F,Bizkaia,PT,96.7
2021,F,Bizkaia,PT,94.5
2019,F,Bizkaia,PT,88.2
2015,F,Bizkaia,PT,76.7
2010,F,Bizkaia,PT,52.4
2013,F,Bizkaia,PT,69.6
2012,F,Bizkaia,PT,59.1
2011,F,Bizkaia,PT,57.9
2009,F,Bizkaia,PT,54.4
2008,F,Bizkaia,PT,51.7
2017,F,Bizkaia,PT,83.1
2016,F,Bizkaia,PT,83.1
2014,F,Bizkaia,PT,75.3
2018,F,Bizkaia,PT,85.5
2022,F,Bizkaia,PT,94.9
2023,F,Gipuzkoa,PT,97.2
2020,F,Gipuzkoa,PT,92.7
2019,F,Gipuzkoa,PT,89.1
2017,F,Gipuzkoa,PT,84.3
2016,F,Gipuzkoa,PT,82.5
2015,F,Gipuzkoa,PT,78.1
2014,F,Gipuzkoa,PT,72.7
2013,F,Gipuzkoa,PT,70.1
2012,F,Gipuzkoa,PT,63.8
2011,F,Gipuzkoa,PT,64.9
2010,F,Gipuzkoa,PT,59.0
2009,F,Gipuzkoa,PT,56.2
2008,F,Gipuzkoa,PT,53.4
2022,F,Gipuzkoa,PT,95.9
2018,F,Gipuzkoa,PT,87.5
2021,F,Gipuzkoa,PT,94.4
2019,M,,PT,89.6
2012,M,,PT,67.5
2023,M,,PT,95.7
2020,M,,PT,91.3
2018,M,,PT,89.2
2010,M,,PT,61.2
2017,M,,PT,84.5
2008,M,,PT,58.3
2016,M,,PT,84.6
2009,M,,PT,60.5
2014,M,,PT,78.4
2015,M,,PT,83.1
2011,M,,PT,66.5
2022,M,,PT,93.8
2013,M,,PT,77.4
2021,M,,PT,93.4
2022,M,Araba/Álava,PT,95.0
2014,M,Araba/Álava,PT,77.8
2021,M,Araba/Álava,PT,93.0
2023,M,Araba/Álava,PT,95.5
2010,M,Araba/Álava,PT,62.9
2013,M,Araba/Álava,PT,77.9
2009,M,Araba/Álava,PT,58.4
2017,M,Araba/Álava,PT,85.9
2012,M,Araba/Álava,PT,66.5
2016,M,Araba/Álava,PT,86.0
2008,M,Araba/Álava,PT,57.5
2018,M,Araba/Álava,PT,92.2
2011,M,Araba/Álava,PT,62.1
2019,M,Araba/Álava,PT,89.2
2015,M,Araba/Álava,PT,84.2
2020,M,Araba/Álava,PT,89.8
2023,M,Bizkaia,PT,96.3
2022,M,Bizkaia,PT,94.1
2021,M,Bizkaia,PT,93.6
2020,M,Bizkaia,PT,91.2
2019,M,Bizkaia,PT,91.3
2018,M,Bizkaia,PT,89.6
2014,M,Bizkaia,PT,79.1
2017,M,Bizkaia,PT,83.9
2016,M,Bizkaia,PT,85.0
2015,M,Bizkaia,PT,83.8
2013,M,Bizkaia,PT,78.5
2012,M,Bizkaia,PT,65.3
2011,M,Bizkaia,PT,67.3
2010,M,Bizkaia,PT,58.1
2009,M,Bizkaia,PT,61.2
2008,M,Bizkaia,PT,58.8
2014,M,Gipuzkoa,PT,77.5
2009,M,Gipuzkoa,PT,60.1
2013,M,Gipuzkoa,PT,75.4
2012,M,Gipuzkoa,PT,71.6
2011,M,Gipuzkoa,PT,67.2
2010,M,Gipuzkoa,PT,65.4
2023,M,Gipuzkoa,PT,94.8
2022,M,Gipuzkoa,PT,92.9
2021,M,Gipuzkoa,PT,93.2
2020,M,Gipuzkoa,PT,92.3
2019,M,Gipuzkoa,PT,87.2
2018,M,Gipuzkoa,PT,87.3
2008,M,Gipuzkoa,PT,57.9
2017,M,Gipuzkoa,PT,84.8
2016,M,Gipuzkoa,PT,83.4
2015,M,Gipuzkoa,PT,81.5
