Year,Province,Sex,Units,Value
2015,Bizkaia,M,"Per 1,000 live births",1.43
2014,Bizkaia,M,"Per 1,000 live births",1.41
2013,Bizkaia,M,"Per 1,000 live births",1.0
2012,Bizkaia,M,"Per 1,000 live births",1.5
2011,Bizkaia,M,"Per 1,000 live births",0.93
2010,Bizkaia,M,"Per 1,000 live births",2.4
2023,Bizkaia,M,"Per 1,000 live births",1.76
2015,Gipuzkoa,M,"Per 1,000 live births",2.19
2014,Gipuzkoa,M,"Per 1,000 live births",2.16
2013,Gipuzkoa,M,"Per 1,000 live births",3.11
2012,Gipuzkoa,M,"Per 1,000 live births",1.37
2011,Gipuzkoa,M,"Per 1,000 live births",0.28
2017,Gipuzkoa,M,"Per 1,000 live births",1.38
2010,Gipuzkoa,M,"Per 1,000 live births",0.55
2023,Gipuzkoa,M,"Per 1,000 live births",0.86
2022,Gipuzkoa,M,"Per 1,000 live births",2.11
2021,Gipuzkoa,M,"Per 1,000 live births",1.57
2020,Gipuzkoa,M,"Per 1,000 live births",1.93
2019,Gipuzkoa,M,"Per 1,000 live births",1.92
2018,Gipuzkoa,M,"Per 1,000 live births",1.41
2016,Gipuzkoa,M,"Per 1,000 live births",1.3
