Year,Sex,Age,Residence,People with and without disabilities,Province,County,Municipality,Units,GeoCode,Value
2010,Female,16 years and over,,,,,Muskiz,%,Muskiz,9.4
2018,Female,16 years and over,,,,,Muskiz,%,Muskiz,14.6
2022,Female,16 years and over,,,,,Muskiz,%,Muskiz,13.1
2016,Female,16 years and over,,,,,Muskiz,%,Muskiz,19.0
2023,Female,16 years and over,,,,,Mutiloa,%,Mutiloa,3.5
2016,Female,16 years and over,,,,,Mutiloa,%,Mutiloa,8.2
2010,Female,16 years and over,,,,,Mutiloa,%,Mutiloa,6.0
2015,Female,16 years and over,,,,,Mutiloa,%,Mutiloa,12.0
2019,Female,16 years and over,,,,,Mutiloa,%,Mutiloa,4.2
2022,Female,16 years and over,,,,,Mutiloa,%,Mutiloa,11.3
2018,Female,16 years and over,,,,,Mutiloa,%,Mutiloa,4.4
2020,Female,16 years and over,,,,,Mutiloa,%,Mutiloa,5.8
2021,Female,16 years and over,,,,,Mutiloa,%,Mutiloa,6.7
2023,Female,16 years and over,,,,,Mutriku,%,Mutriku,8.7
2019,Female,16 years and over,,,,,Mutriku,%,Mutriku,12.5
2018,Female,16 years and over,,,,,Mutriku,%,Mutriku,11.8
2015,Female,16 years and over,,,,,Mutriku,%,Mutriku,14.9
2022,Female,16 years and over,,,,,Mutriku,%,Mutriku,9.5
2020,Female,16 years and over,,,,,Mutriku,%,Mutriku,12.7
2016,Female,16 years and over,,,,,Mutriku,%,Mutriku,15.4
2010,Female,16 years and over,,,,,Mutriku,%,Mutriku,9.2
2021,Female,16 years and over,,,,,Mutriku,%,Mutriku,14.2
2016,Female,16 years and over,,,,,Muxika,%,Muxika,12.9
2020,Female,16 years and over,,,,,Muxika,%,Muxika,6.2
2022,Female,16 years and over,,,,,Muxika,%,Muxika,6.6
2018,Female,16 years and over,,,,,Muxika,%,Muxika,10.7
2019,Female,16 years and over,,,,,Muxika,%,Muxika,9.3
2021,Female,16 years and over,,,,,Muxika,%,Muxika,6.5
2015,Female,16 years and over,,,,,Muxika,%,Muxika,12.3
2010,Female,16 years and over,,,,,Muxika,%,Muxika,7.9
2023,Female,16 years and over,,,,,Muxika,%,Muxika,5.1
2010,Female,16 years and over,,,,,Nabarniz,%,Nabarniz,5.9
2015,Female,16 years and over,,,,,Nabarniz,%,Nabarniz,6.6
2022,Female,16 years and over,,,,,Nabarniz,%,Nabarniz,9.9
2020,Female,16 years and over,,,,,Nabarniz,%,Nabarniz,9.2
2019,Female,16 years and over,,,,,Nabarniz,%,Nabarniz,9.9
2018,Female,16 years and over,,,,,Nabarniz,%,Nabarniz,6.0
2016,Female,16 years and over,,,,,Nabarniz,%,Nabarniz,8.3
2023,Female,16 years and over,,,,,Nabarniz,%,Nabarniz,11.6
2021,Female,16 years and over,,,,,Nabarniz,%,Nabarniz,6.0
2023,Female,16 years and over,,,,,Navaridas,%,Navaridas,10.6
2021,Female,16 years and over,,,,,Navaridas,%,Navaridas,7.1
2015,Female,16 years and over,,,,,Navaridas,%,Navaridas,15.8
2018,Female,16 years and over,,,,,Navaridas,%,Navaridas,7.3
2019,Female,16 years and over,,,,,Navaridas,%,Navaridas,13.9
2022,Female,16 years and over,,,,,Navaridas,%,Navaridas,6.5
2010,Female,16 years and over,,,,,Navaridas,%,Navaridas,3.3
2020,Female,16 years and over,,,,,Navaridas,%,Navaridas,6.3
2016,Female,16 years and over,,,,,Navaridas,%,Navaridas,8.3
2019,Female,16 years and over,,,,,Oiartzun,%,Oiartzun,7.7
2023,Female,16 years and over,,,,,Oiartzun,%,Oiartzun,5.9
2022,Female,16 years and over,,,,,Oiartzun,%,Oiartzun,7.1
2010,Female,16 years and over,,,,,Oiartzun,%,Oiartzun,7.1
2020,Female,16 years and over,,,,,Oiartzun,%,Oiartzun,7.1
2016,Female,16 years and over,,,,,Oiartzun,%,Oiartzun,11.2
2015,Female,16 years and over,,,,,Oiartzun,%,Oiartzun,11.2
2018,Female,16 years and over,,,,,Oiartzun,%,Oiartzun,8.5
2021,Female,16 years and over,,,,,Oiartzun,%,Oiartzun,7.9
2015,Female,16 years and over,,,,,Okondo,%,Okondo,14.8
2021,Female,16 years and over,,,,,Okondo,%,Okondo,11.2
2010,Female,16 years and over,,,,,Okondo,%,Okondo,9.9
2023,Female,16 years and over,,,,,Okondo,%,Okondo,10.7
2022,Female,16 years and over,,,,,Okondo,%,Okondo,9.2
2020,Female,16 years and over,,,,,Okondo,%,Okondo,16.0
2016,Female,16 years and over,,,,,Okondo,%,Okondo,19.4
2018,Female,16 years and over,,,,,Okondo,%,Okondo,16.2
2019,Female,16 years and over,,,,,Okondo,%,Okondo,13.5
2018,Female,16 years and over,,,,,Olaberria,%,Olaberria,12.8
2010,Female,16 years and over,,,,,Olaberria,%,Olaberria,7.3
2015,Female,16 years and over,,,,,Olaberria,%,Olaberria,15.8
2020,Female,16 years and over,,,,,Olaberria,%,Olaberria,12.4
2022,Female,16 years and over,,,,,Olaberria,%,Olaberria,10.9
2019,Female,16 years and over,,,,,Olaberria,%,Olaberria,13.3
2023,Female,16 years and over,,,,,Olaberria,%,Olaberria,7.4
2016,Female,16 years and over,,,,,Olaberria,%,Olaberria,17.1
2021,Female,16 years and over,,,,,Olaberria,%,Olaberria,9.1
2021,Female,16 years and over,,,,,Ondarroa,%,Ondarroa,15.9
2020,Female,16 years and over,,,,,Ondarroa,%,Ondarroa,12.8
2019,Female,16 years and over,,,,,Ondarroa,%,Ondarroa,14.6
2022,Female,16 years and over,,,,,Ondarroa,%,Ondarroa,10.8
2018,Female,16 years and over,,,,,Ondarroa,%,Ondarroa,16.0
2015,Female,16 years and over,,,,,Ondarroa,%,Ondarroa,20.8
2023,Female,16 years and over,,,,,Ondarroa,%,Ondarroa,9.1
2016,Female,16 years and over,,,,,Ondarroa,%,Ondarroa,17.3
2010,Female,16 years and over,,,,,Ondarroa,%,Ondarroa,10.0
2019,Female,16 years and over,,,,,Oñati,%,Oñati,6.6
2021,Female,16 years and over,,,,,Oñati,%,Oñati,7.0
2020,Female,16 years and over,,,,,Oñati,%,Oñati,6.2
2018,Female,16 years and over,,,,,Oñati,%,Oñati,6.2
2016,Female,16 years and over,,,,,Oñati,%,Oñati,9.4
2015,Female,16 years and over,,,,,Oñati,%,Oñati,8.8
2023,Female,16 years and over,,,,,Oñati,%,Oñati,5.9
2010,Female,16 years and over,,,,,Oñati,%,Oñati,5.5
2022,Female,16 years and over,,,,,Oñati,%,Oñati,6.2
2022,Female,16 years and over,,,,,Ordizia,%,Ordizia,10.7
2019,Female,16 years and over,,,,,Ordizia,%,Ordizia,10.5
2010,Female,16 years and over,,,,,Ordizia,%,Ordizia,8.8
2018,Female,16 years and over,,,,,Ordizia,%,Ordizia,12.6
2015,Female,16 years and over,,,,,Ordizia,%,Ordizia,14.3
2020,Female,16 years and over,,,,,Ordizia,%,Ordizia,9.8
2023,Female,16 years and over,,,,,Ordizia,%,Ordizia,9.8
2021,Female,16 years and over,,,,,Ordizia,%,Ordizia,10.5
2016,Female,16 years and over,,,,,Ordizia,%,Ordizia,15.1
2022,Female,16 years and over,,,,,Orendain,%,Orendain,6.5
2018,Female,16 years and over,,,,,Orendain,%,Orendain,4.1
2021,Female,16 years and over,,,,,Orendain,%,Orendain,3.7
2015,Female,16 years and over,,,,,Orendain,%,Orendain,7.0
2010,Female,16 years and over,,,,,Orendain,%,Orendain,5.7
2016,Female,16 years and over,,,,,Orendain,%,Orendain,8.5
2020,Female,16 years and over,,,,,Orendain,%,Orendain,2.0
2019,Female,16 years and over,,,,,Orendain,%,Orendain,4.2
2023,Female,16 years and over,,,,,Orendain,%,Orendain,6.3
2018,Female,16 years and over,,,,,Orexa,%,Orexa,0.0
2020,Female,16 years and over,,,,,Orexa,%,Orexa,8.3
2019,Female,16 years and over,,,,,Orexa,%,Orexa,8.3
2015,Female,16 years and over,,,,,Orexa,%,Orexa,4.0
2010,Female,16 years and over,,,,,Orexa,%,Orexa,4.0
2016,Female,16 years and over,,,,,Orexa,%,Orexa,0.0
2021,Female,16 years and over,,,,,Orexa,%,Orexa,4.8
2023,Female,16 years and over,,,,,Orexa,%,Orexa,4.5
2022,Female,16 years and over,,,,,Orexa,%,Orexa,9.1
2020,Female,16 years and over,,,,,Orio,%,Orio,11.0
2022,Female,16 years and over,,,,,Orio,%,Orio,8.4
2018,Female,16 years and over,,,,,Orio,%,Orio,10.4
2010,Female,16 years and over,,,,,Orio,%,Orio,6.6
2023,Female,16 years and over,,,,,Orio,%,Orio,6.8
2015,Female,16 years and over,,,,,Orio,%,Orio,14.4
2019,Female,16 years and over,,,,,Orio,%,Orio,9.3
2021,Female,16 years and over,,,,,Orio,%,Orio,11.2
2016,Female,16 years and over,,,,,Orio,%,Orio,13.9
2023,Female,16 years and over,,,,,Ormaiztegi,%,Ormaiztegi,10.1
2010,Female,16 years and over,,,,,Ormaiztegi,%,Ormaiztegi,8.8
2015,Female,16 years and over,,,,,Ormaiztegi,%,Ormaiztegi,11.0
2018,Female,16 years and over,,,,,Ormaiztegi,%,Ormaiztegi,12.6
2022,Female,16 years and over,,,,,Ormaiztegi,%,Ormaiztegi,8.8
2021,Female,16 years and over,,,,,Ormaiztegi,%,Ormaiztegi,8.9
2016,Female,16 years and over,,,,,Ormaiztegi,%,Ormaiztegi,14.2
2019,Female,16 years and over,,,,,Ormaiztegi,%,Ormaiztegi,10.2
2020,Female,16 years and over,,,,,Ormaiztegi,%,Ormaiztegi,8.4
2016,Female,16 years and over,,,,,Orozko,%,Orozko,13.9
2022,Female,16 years and over,,,,,Orozko,%,Orozko,11.2
2019,Female,16 years and over,,,,,Orozko,%,Orozko,9.8
2021,Female,16 years and over,,,,,Orozko,%,Orozko,10.8
2023,Female,16 years and over,,,,,Orozko,%,Orozko,10.3
2018,Female,16 years and over,,,,,Orozko,%,Orozko,9.7
2010,Female,16 years and over,,,,,Orozko,%,Orozko,6.6
2020,Female,16 years and over,,,,,Orozko,%,Orozko,10.9
2015,Female,16 years and over,,,,,Orozko,%,Orozko,13.8
2021,Female,16 years and over,,,,,Ortuella,%,Ortuella,18.1
2022,Female,16 years and over,,,,,Ortuella,%,Ortuella,15.8
2018,Female,16 years and over,,,,,Ortuella,%,Ortuella,16.7
2015,Female,16 years and over,,,,,Ortuella,%,Ortuella,20.0
2016,Female,16 years and over,,,,,Ortuella,%,Ortuella,22.0
2020,Female,16 years and over,,,,,Ortuella,%,Ortuella,14.6
2023,Female,16 years and over,,,,,Ortuella,%,Ortuella,14.7
2019,Female,16 years and over,,,,,Ortuella,%,Ortuella,16.2
2010,Female,16 years and over,,,,,Ortuella,%,Ortuella,8.8
2016,Female,16 years and over,,,,,Otxandio,%,Otxandio,12.9
2021,Female,16 years and over,,,,,Otxandio,%,Otxandio,9.2
2015,Female,16 years and over,,,,,Otxandio,%,Otxandio,12.4
2022,Female,16 years and over,,,,,Otxandio,%,Otxandio,10.7
2020,Female,16 years and over,,,,,Otxandio,%,Otxandio,8.5
2023,Female,16 years and over,,,,,Otxandio,%,Otxandio,10.4
2018,Female,16 years and over,,,,,Otxandio,%,Otxandio,9.1
2010,Female,16 years and over,,,,,Otxandio,%,Otxandio,5.6
2019,Female,16 years and over,,,,,Otxandio,%,Otxandio,8.0
2023,Female,16 years and over,,,,,Oyón-Oion,%,Oyón-Oion,16.4
2022,Female,16 years and over,,,,,Oyón-Oion,%,Oyón-Oion,18.0
2019,Female,16 years and over,,,,,Oyón-Oion,%,Oyón-Oion,24.7
2016,Female,16 years and over,,,,,Oyón-Oion,%,Oyón-Oion,29.1
2021,Female,16 years and over,,,,,Oyón-Oion,%,Oyón-Oion,19.5
2018,Female,16 years and over,,,,,Oyón-Oion,%,Oyón-Oion,24.6
2010,Female,16 years and over,,,,,Oyón-Oion,%,Oyón-Oion,18.1
2020,Female,16 years and over,,,,,Oyón-Oion,%,Oyón-Oion,21.2
2015,Female,16 years and over,,,,,Oyón-Oion,%,Oyón-Oion,25.0
2015,Female,16 years and over,,,,,Pasaia,%,Pasaia,15.4
2021,Female,16 years and over,,,,,Pasaia,%,Pasaia,12.3
2016,Female,16 years and over,,,,,Pasaia,%,Pasaia,15.7
2023,Female,16 years and over,,,,,Pasaia,%,Pasaia,9.4
2010,Female,16 years and over,,,,,Pasaia,%,Pasaia,9.0
2019,Female,16 years and over,,,,,Pasaia,%,Pasaia,11.7
2020,Female,16 years and over,,,,,Pasaia,%,Pasaia,10.7
2022,Female,16 years and over,,,,,Pasaia,%,Pasaia,10.2
2018,Female,16 years and over,,,,,Pasaia,%,Pasaia,13.3
2016,Female,16 years and over,,,,,Peñacerrada-Urizaharra,%,Peñacerrada-Urizaharra,6.8
2019,Female,16 years and over,,,,,Peñacerrada-Urizaharra,%,Peñacerrada-Urizaharra,6.3
2018,Female,16 years and over,,,,,Peñacerrada-Urizaharra,%,Peñacerrada-Urizaharra,11.8
2021,Female,16 years and over,,,,,Peñacerrada-Urizaharra,%,Peñacerrada-Urizaharra,4.2
2023,Female,16 years and over,,,,,Peñacerrada-Urizaharra,%,Peñacerrada-Urizaharra,8.7
2022,Female,16 years and over,,,,,Peñacerrada-Urizaharra,%,Peñacerrada-Urizaharra,2.8
2010,Female,16 years and over,,,,,Peñacerrada-Urizaharra,%,Peñacerrada-Urizaharra,10.7
2020,Female,16 years and over,,,,,Peñacerrada-Urizaharra,%,Peñacerrada-Urizaharra,4.7
2015,Female,16 years and over,,,,,Peñacerrada-Urizaharra,%,Peñacerrada-Urizaharra,8.6
2010,Female,16 years and over,,,,,Plentzia,%,Plentzia,10.1
2020,Female,16 years and over,,,,,Plentzia,%,Plentzia,11.6
2015,Female,16 years and over,,,,,Plentzia,%,Plentzia,16.2
2016,Female,16 years and over,,,,,Plentzia,%,Plentzia,16.4
2018,Female,16 years and over,,,,,Plentzia,%,Plentzia,13.6
2022,Female,16 years and over,,,,,Plentzia,%,Plentzia,10.3
2021,Female,16 years and over,,,,,Plentzia,%,Plentzia,12.0
2023,Female,16 years and over,,,,,Plentzia,%,Plentzia,7.5
2019,Female,16 years and over,,,,,Plentzia,%,Plentzia,11.5
2019,Female,16 years and over,,,,,Portugalete,%,Portugalete,14.3
2022,Female,16 years and over,,,,,Portugalete,%,Portugalete,13.4
2015,Female,16 years and over,,,,,Portugalete,%,Portugalete,16.4
2010,Female,16 years and over,,,,,Portugalete,%,Portugalete,9.9
2023,Female,16 years and over,,,,,Portugalete,%,Portugalete,12.2
2018,Female,16 years and over,,,,,Portugalete,%,Portugalete,15.2
2021,Female,16 years and over,,,,,Portugalete,%,Portugalete,14.7
2020,Female,16 years and over,,,,,Portugalete,%,Portugalete,13.4
2016,Female,16 years and over,,,,,Portugalete,%,Portugalete,18.0
2023,Female,16 years and over,,,,,Ribera Baja/Erriberabeitia,%,Ribera Baja/Erriberabeitia,11.5
2016,Female,16 years and over,,,,,Ribera Baja/Erriberabeitia,%,Ribera Baja/Erriberabeitia,18.1
2019,Female,16 years and over,,,,,Ribera Baja/Erriberabeitia,%,Ribera Baja/Erriberabeitia,16.7
2021,Female,16 years and over,,,,,Ribera Baja/Erriberabeitia,%,Ribera Baja/Erriberabeitia,13.3
2020,Female,16 years and over,,,,,Ribera Baja/Erriberabeitia,%,Ribera Baja/Erriberabeitia,11.5
2018,Female,16 years and over,,,,,Ribera Baja/Erriberabeitia,%,Ribera Baja/Erriberabeitia,19.9
2015,Female,16 years and over,,,,,Ribera Baja/Erriberabeitia,%,Ribera Baja/Erriberabeitia,16.9
2010,Female,16 years and over,,,,,Ribera Baja/Erriberabeitia,%,Ribera Baja/Erriberabeitia,14.5
2022,Female,16 years and over,,,,,Ribera Baja/Erriberabeitia,%,Ribera Baja/Erriberabeitia,10.9
2022,Female,16 years and over,,,,,Samaniego,%,Samaniego,3.8
2021,Female,16 years and over,,,,,Samaniego,%,Samaniego,5.5
2023,Female,16 years and over,,,,,Samaniego,%,Samaniego,10.0
2018,Female,16 years and over,,,,,Samaniego,%,Samaniego,2.2
2010,Female,16 years and over,,,,,Samaniego,%,Samaniego,4.8
2019,Female,16 years and over,,,,,Samaniego,%,Samaniego,2.5
2016,Female,16 years and over,,,,,Samaniego,%,Samaniego,6.9
2020,Female,16 years and over,,,,,Samaniego,%,Samaniego,4.7
2015,Female,16 years and over,,,,,Samaniego,%,Samaniego,5.4
2018,Female,16 years and over,,,,,San Millán/Donemiliaga,%,San Millán/Donemiliaga,10.1
2023,Female,16 years and over,,,,,San Millán/Donemiliaga,%,San Millán/Donemiliaga,4.8
2016,Female,16 years and over,,,,,San Millán/Donemiliaga,%,San Millán/Donemiliaga,11.9
2020,Female,16 years and over,,,,,San Millán/Donemiliaga,%,San Millán/Donemiliaga,8.4
2021,Female,16 years and over,,,,,San Millán/Donemiliaga,%,San Millán/Donemiliaga,5.0
2010,Female,16 years and over,,,,,San Millán/Donemiliaga,%,San Millán/Donemiliaga,4.6
2015,Female,16 years and over,,,,,San Millán/Donemiliaga,%,San Millán/Donemiliaga,11.5
2022,Female,16 years and over,,,,,San Millán/Donemiliaga,%,San Millán/Donemiliaga,5.6
2019,Female,16 years and over,,,,,San Millán/Donemiliaga,%,San Millán/Donemiliaga,7.1
2020,Female,16 years and over,,,,,Santurtzi,%,Santurtzi,15.3
2010,Female,16 years and over,,,,,Santurtzi,%,Santurtzi,10.3
2019,Female,16 years and over,,,,,Santurtzi,%,Santurtzi,16.2
2018,Female,16 years and over,,,,,Santurtzi,%,Santurtzi,17.4
2022,Female,16 years and over,,,,,Santurtzi,%,Santurtzi,15.5
2015,Female,16 years and over,,,,,Santurtzi,%,Santurtzi,18.2
2016,Female,16 years and over,,,,,Santurtzi,%,Santurtzi,20.4
2021,Female,16 years and over,,,,,Santurtzi,%,Santurtzi,16.9
2023,Female,16 years and over,,,,,Santurtzi,%,Santurtzi,13.5
2021,Female,16 years and over,,,,,Segura,%,Segura,5.8
2015,Female,16 years and over,,,,,Segura,%,Segura,8.8
2020,Female,16 years and over,,,,,Segura,%,Segura,8.0
2022,Female,16 years and over,,,,,Segura,%,Segura,4.3
2018,Female,16 years and over,,,,,Segura,%,Segura,7.5
2010,Female,16 years and over,,,,,Segura,%,Segura,8.5
2016,Female,16 years and over,,,,,Segura,%,Segura,9.5
2023,Female,16 years and over,,,,,Segura,%,Segura,5.0
2019,Female,16 years and over,,,,,Segura,%,Segura,7.2
2022,Female,16 years and over,,,,,Sestao,%,Sestao,16.2
2021,Female,16 years and over,,,,,Sestao,%,Sestao,17.8
2016,Female,16 years and over,,,,,Sestao,%,Sestao,23.9
2015,Female,16 years and over,,,,,Sestao,%,Sestao,20.4
2020,Female,16 years and over,,,,,Sestao,%,Sestao,16.0
2018,Female,16 years and over,,,,,Sestao,%,Sestao,19.4
2019,Female,16 years and over,,,,,Sestao,%,Sestao,18.4
2010,Female,16 years and over,,,,,Sestao,%,Sestao,11.2
2023,Female,16 years and over,,,,,Sestao,%,Sestao,13.8
2021,Female,16 years and over,,,,,Sondika,%,Sondika,10.7
2016,Female,16 years and over,,,,,Sondika,%,Sondika,14.1
2010,Female,16 years and over,,,,,Sondika,%,Sondika,7.6
2018,Female,16 years and over,,,,,Sondika,%,Sondika,9.4
2020,Female,16 years and over,,,,,Sondika,%,Sondika,8.1
2019,Female,16 years and over,,,,,Sondika,%,Sondika,9.9
2015,Female,16 years and over,,,,,Sondika,%,Sondika,13.9
2023,Female,16 years and over,,,,,Sondika,%,Sondika,7.9
2022,Female,16 years and over,,,,,Sondika,%,Sondika,10.0
2018,Female,16 years and over,,,,,Sopela,%,Sopela,11.3
2021,Female,16 years and over,,,,,Sopela,%,Sopela,11.6
2016,Female,16 years and over,,,,,Sopela,%,Sopela,13.8
2022,Female,16 years and over,,,,,Sopela,%,Sopela,9.8
2023,Female,16 years and over,,,,,Sopela,%,Sopela,7.9
2020,Female,16 years and over,,,,,Sopela,%,Sopela,9.5
2019,Female,16 years and over,,,,,Sopela,%,Sopela,10.5
2010,Female,16 years and over,,,,,Sopela,%,Sopela,9.6
2015,Female,16 years and over,,,,,Sopela,%,Sopela,15.2
2019,Female,16 years and over,,,,,Sopuerta,%,Sopuerta,11.5
2018,Female,16 years and over,,,,,Sopuerta,%,Sopuerta,12.7
2015,Female,16 years and over,,,,,Sopuerta,%,Sopuerta,19.1
2023,Female,16 years and over,,,,,Sopuerta,%,Sopuerta,10.0
2022,Female,16 years and over,,,,,Sopuerta,%,Sopuerta,10.2
2020,Female,16 years and over,,,,,Sopuerta,%,Sopuerta,9.5
2010,Female,16 years and over,,,,,Sopuerta,%,Sopuerta,10.8
2016,Female,16 years and over,,,,,Sopuerta,%,Sopuerta,15.9
2021,Female,16 years and over,,,,,Sopuerta,%,Sopuerta,12.5
2018,Female,16 years and over,,,,,Soraluze-Placencia de las Armas,%,Soraluze-Placencia de las Armas,16.6
2021,Female,16 years and over,,,,,Soraluze-Placencia de las Armas,%,Soraluze-Placencia de las Armas,14.5
2023,Female,16 years and over,,,,,Soraluze-Placencia de las Armas,%,Soraluze-Placencia de las Armas,13.6
2010,Female,16 years and over,,,,,Soraluze-Placencia de las Armas,%,Soraluze-Placencia de las Armas,8.9
2019,Female,16 years and over,,,,,Soraluze-Placencia de las Armas,%,Soraluze-Placencia de las Armas,14.6
2015,Female,16 years and over,,,,,Soraluze-Placencia de las Armas,%,Soraluze-Placencia de las Armas,17.3
2020,Female,16 years and over,,,,,Soraluze-Placencia de las Armas,%,Soraluze-Placencia de las Armas,14.1
2022,Female,16 years and over,,,,,Soraluze-Placencia de las Armas,%,Soraluze-Placencia de las Armas,16.0
2016,Female,16 years and over,,,,,Soraluze-Placencia de las Armas,%,Soraluze-Placencia de las Armas,20.2
2015,Female,16 years and over,,,,,Sukarrieta,%,Sukarrieta,14.0
2019,Female,16 years and over,,,,,Sukarrieta,%,Sukarrieta,17.1
2022,Female,16 years and over,,,,,Sukarrieta,%,Sukarrieta,15.8
2021,Female,16 years and over,,,,,Sukarrieta,%,Sukarrieta,10.3
2016,Female,16 years and over,,,,,Sukarrieta,%,Sukarrieta,12.5
2010,Female,16 years and over,,,,,Sukarrieta,%,Sukarrieta,7.0
2023,Female,16 years and over,,,,,Sukarrieta,%,Sukarrieta,11.9
2018,Female,16 years and over,,,,,Sukarrieta,%,Sukarrieta,10.1
2020,Female,16 years and over,,,,,Sukarrieta,%,Sukarrieta,11.8
2015,Female,16 years and over,,,,,Tolosa,%,Tolosa,13.3
2018,Female,16 years and over,,,,,Tolosa,%,Tolosa,10.8
2021,Female,16 years and over,,,,,Tolosa,%,Tolosa,9.0
2016,Female,16 years and over,,,,,Tolosa,%,Tolosa,13.0
2020,Female,16 years and over,,,,,Tolosa,%,Tolosa,8.3
2023,Female,16 years and over,,,,,Tolosa,%,Tolosa,7.6
2022,Female,16 years and over,,,,,Tolosa,%,Tolosa,7.8
2010,Female,16 years and over,,,,,Tolosa,%,Tolosa,7.4
2019,Female,16 years and over,,,,,Tolosa,%,Tolosa,9.3
2016,Female,16 years and over,,,,,Trucios-Turtzioz,%,Trucios-Turtzioz,28.1
2021,Female,16 years and over,,,,,Trucios-Turtzioz,%,Trucios-Turtzioz,18.0
2015,Female,16 years and over,,,,,Trucios-Turtzioz,%,Trucios-Turtzioz,16.4
2020,Female,16 years and over,,,,,Trucios-Turtzioz,%,Trucios-Turtzioz,12.6
2018,Female,16 years and over,,,,,Trucios-Turtzioz,%,Trucios-Turtzioz,24.0
2010,Female,16 years and over,,,,,Trucios-Turtzioz,%,Trucios-Turtzioz,8.9
2022,Female,16 years and over,,,,,Trucios-Turtzioz,%,Trucios-Turtzioz,9.5
2019,Female,16 years and over,,,,,Trucios-Turtzioz,%,Trucios-Turtzioz,16.3
2023,Female,16 years and over,,,,,Trucios-Turtzioz,%,Trucios-Turtzioz,9.6
2018,Female,16 years and over,,,,,Ubide,%,Ubide,8.3
2021,Female,16 years and over,,,,,Ubide,%,Ubide,17.9
2015,Female,16 years and over,,,,,Ubide,%,Ubide,15.0
2023,Female,16 years and over,,,,,Ubide,%,Ubide,6.5
2016,Female,16 years and over,,,,,Ubide,%,Ubide,10.0
2010,Female,16 years and over,,,,,Ubide,%,Ubide,7.3
2020,Female,16 years and over,,,,,Ubide,%,Ubide,10.8
2022,Female,16 years and over,,,,,Ubide,%,Ubide,5.1
2019,Female,16 years and over,,,,,Ubide,%,Ubide,8.1
2023,Female,16 years and over,,,,,Ugao-Miraballes,%,Ugao-Miraballes,10.8
2010,Female,16 years and over,,,,,Ugao-Miraballes,%,Ugao-Miraballes,8.3
2020,Female,16 years and over,,,,,Ugao-Miraballes,%,Ugao-Miraballes,10.8
2021,Female,16 years and over,,,,,Ugao-Miraballes,%,Ugao-Miraballes,11.2
2018,Female,16 years and over,,,,,Ugao-Miraballes,%,Ugao-Miraballes,13.3
2022,Female,16 years and over,,,,,Ugao-Miraballes,%,Ugao-Miraballes,12.5
2016,Female,16 years and over,,,,,Ugao-Miraballes,%,Ugao-Miraballes,17.4
2019,Female,16 years and over,,,,,Ugao-Miraballes,%,Ugao-Miraballes,11.8
2015,Female,16 years and over,,,,,Ugao-Miraballes,%,Ugao-Miraballes,14.2
2015,Female,16 years and over,,,,,Urduliz,%,Urduliz,14.2
2020,Female,16 years and over,,,,,Urduliz,%,Urduliz,9.3
2010,Female,16 years and over,,,,,Urduliz,%,Urduliz,8.5
2023,Female,16 years and over,,,,,Urduliz,%,Urduliz,7.1
2016,Female,16 years and over,,,,,Urduliz,%,Urduliz,12.5
2022,Female,16 years and over,,,,,Urduliz,%,Urduliz,8.3
2018,Female,16 years and over,,,,,Urduliz,%,Urduliz,11.5
2019,Female,16 years and over,,,,,Urduliz,%,Urduliz,8.8
2021,Female,16 years and over,,,,,Urduliz,%,Urduliz,9.6
2022,Female,16 years and over,,,,,Urduña/Orduña,%,Urduña/Orduña,13.5
2018,Female,16 years and over,,,,,Urduña/Orduña,%,Urduña/Orduña,18.0
2015,Female,16 years and over,,,,,Urduña/Orduña,%,Urduña/Orduña,19.0
2021,Female,16 years and over,,,,,Urduña/Orduña,%,Urduña/Orduña,15.9
2023,Female,16 years and over,,,,,Urduña/Orduña,%,Urduña/Orduña,13.5
2020,Female,16 years and over,,,,,Urduña/Orduña,%,Urduña/Orduña,14.3
2010,Female,16 years and over,,,,,Urduña/Orduña,%,Urduña/Orduña,7.5
2016,Female,16 years and over,,,,,Urduña/Orduña,%,Urduña/Orduña,22.4
2019,Female,16 years and over,,,,,Urduña/Orduña,%,Urduña/Orduña,15.6
2022,Female,16 years and over,,,,,Urkabustaiz,%,Urkabustaiz,10.0
2023,Female,16 years and over,,,,,Urkabustaiz,%,Urkabustaiz,11.1
2020,Female,16 years and over,,,,,Urkabustaiz,%,Urkabustaiz,10.3
2010,Female,16 years and over,,,,,Urkabustaiz,%,Urkabustaiz,4.9
2019,Female,16 years and over,,,,,Urkabustaiz,%,Urkabustaiz,11.1
2015,Female,16 years and over,,,,,Urkabustaiz,%,Urkabustaiz,12.1
2021,Female,16 years and over,,,,,Urkabustaiz,%,Urkabustaiz,10.7
2016,Female,16 years and over,,,,,Urkabustaiz,%,Urkabustaiz,11.6
2018,Female,16 years and over,,,,,Urkabustaiz,%,Urkabustaiz,9.0
2018,Female,16 years and over,,,,,Urnieta,%,Urnieta,9.9
2010,Female,16 years and over,,,,,Urnieta,%,Urnieta,8.4
2022,Female,16 years and over,,,,,Urnieta,%,Urnieta,9.1
2020,Female,16 years and over,,,,,Urnieta,%,Urnieta,8.0
2023,Female,16 years and over,,,,,Urnieta,%,Urnieta,8.2
2015,Female,16 years and over,,,,,Urnieta,%,Urnieta,14.1
2019,Female,16 years and over,,,,,Urnieta,%,Urnieta,9.2
2021,Female,16 years and over,,,,,Urnieta,%,Urnieta,10.9
