Year,Sex,Age,Residence,People with and without disabilities,Province,County,Municipality,Units,GeoCode,Value
2022,,16 years and over,,,,,Sopela,%,Sopela,8.9
2018,,16 years and over,,,,,Sopela,%,Sopela,10.4
2015,,16 years and over,,,,,Sopela,%,Sopela,14.8
2021,,16 years and over,,,,,Sopela,%,Sopela,10.9
2016,,16 years and over,,,,,Sopela,%,Sopela,13.2
2023,,16 years and over,,,,,Sopela,%,Sopela,7.2
2019,,16 years and over,,,,,Sopela,%,Sopela,9.5
2015,,16 years and over,,,,,Sopuerta,%,Sopuerta,17.6
2023,,16 years and over,,,,,Sopuerta,%,Sopuerta,7.5
2018,,16 years and over,,,,,Sopuerta,%,Sopuerta,11.6
2021,,16 years and over,,,,,Sopuerta,%,Sopuerta,11.1
2019,,16 years and over,,,,,Sopuerta,%,Sopuerta,10.2
2022,,16 years and over,,,,,Sopuerta,%,Sopuerta,9.0
2016,,16 years and over,,,,,Sopuerta,%,Sopuerta,15.0
2020,,16 years and over,,,,,Sopuerta,%,Sopuerta,8.4
2010,,16 years and over,,,,,Sopuerta,%,Sopuerta,10.3
2018,,16 years and over,,,,,Soraluze-Placencia de las Armas,%,Soraluze-Placencia de las Armas,14.4
2022,,16 years and over,,,,,Soraluze-Placencia de las Armas,%,Soraluze-Placencia de las Armas,12.1
2016,,16 years and over,,,,,Soraluze-Placencia de las Armas,%,Soraluze-Placencia de las Armas,18.0
2023,,16 years and over,,,,,Soraluze-Placencia de las Armas,%,Soraluze-Placencia de las Armas,10.8
2010,,16 years and over,,,,,Soraluze-Placencia de las Armas,%,Soraluze-Placencia de las Armas,9.6
2015,,16 years and over,,,,,Soraluze-Placencia de las Armas,%,Soraluze-Placencia de las Armas,17.7
2020,,16 years and over,,,,,Soraluze-Placencia de las Armas,%,Soraluze-Placencia de las Armas,12.2
2019,,16 years and over,,,,,Soraluze-Placencia de las Armas,%,Soraluze-Placencia de las Armas,12.8
2021,,16 years and over,,,,,Soraluze-Placencia de las Armas,%,Soraluze-Placencia de las Armas,13.0
2021,,16 years and over,,,,,Sukarrieta,%,Sukarrieta,10.7
2016,,16 years and over,,,,,Sukarrieta,%,Sukarrieta,16.3
2010,,16 years and over,,,,,Sukarrieta,%,Sukarrieta,9.0
2015,,16 years and over,,,,,Sukarrieta,%,Sukarrieta,15.2
2022,,16 years and over,,,,,Sukarrieta,%,Sukarrieta,13.7
2019,,16 years and over,,,,,Sukarrieta,%,Sukarrieta,14.7
2018,,16 years and over,,,,,Sukarrieta,%,Sukarrieta,12.4
2020,,16 years and over,,,,,Sukarrieta,%,Sukarrieta,11.8
2023,,16 years and over,,,,,Sukarrieta,%,Sukarrieta,11.4
2018,,16 years and over,,,,,Tolosa,%,Tolosa,9.4
2016,,16 years and over,,,,,Tolosa,%,Tolosa,12.2
2023,,16 years and over,,,,,Tolosa,%,Tolosa,6.8
2015,,16 years and over,,,,,Tolosa,%,Tolosa,13.5
2020,,16 years and over,,,,,Tolosa,%,Tolosa,7.3
2010,,16 years and over,,,,,Tolosa,%,Tolosa,7.5
2019,,16 years and over,,,,,Tolosa,%,Tolosa,7.9
2022,,16 years and over,,,,,Tolosa,%,Tolosa,7.2
2021,,16 years and over,,,,,Tolosa,%,Tolosa,8.0
2019,,16 years and over,,,,,Trucios-Turtzioz,%,Trucios-Turtzioz,15.0
