Year,Territorio,Comarca,Municipio,Units,GeoCode,Value
2015,,,ES01032,PT,ES01032,17.7
2016,,,ES01032,PT,ES01032,17.3
2017,,,ES01032,PT,ES01032,17.4
2018,,,ES01032,PT,ES01032,18.9
2019,,,ES01032,PT,ES01032,16.3
2020,,,ES01032,PT,ES01032,12.9
2014,,,ES01033,PT,ES01033,1.8
2015,,,ES01033,PT,ES01033,2.5
2016,,,ES01033,PT,ES01033,3.0
2017,,,ES01033,PT,ES01033,3.7
2018,,,ES01033,PT,ES01033,4.8
2019,,,ES01033,PT,ES01033,5.6
2020,,,ES01033,PT,ES01033,5.8
2014,,,ES01034,PT,ES01034,23.4
2015,,,ES01034,PT,ES01034,29.8
2016,,,ES01034,PT,ES01034,32.1
2017,,,ES01034,PT,ES01034,29.1
2018,,,ES01034,PT,ES01034,48.6
2019,,,ES01034,PT,ES01034,44.3
2020,,,ES01034,PT,ES01034,37.5
2014,,,ES01036,PT,ES01036,0.3
2015,,,ES01036,PT,ES01036,0.3
2016,,,ES01036,PT,ES01036,0.3
2017,,,ES01036,PT,ES01036,0.3
2018,,,ES01036,PT,ES01036,0.3
2019,,,ES01036,PT,ES01036,0.2
2020,,,ES01036,PT,ES01036,0.2
2014,,,ES01037,PT,ES01037,12.6
2015,,,ES01037,PT,ES01037,11.0
2016,,,ES01037,PT,ES01037,12.7
2017,,,ES01037,PT,ES01037,13.4
2018,,,ES01037,PT,ES01037,13.4
2019,,,ES01037,PT,ES01037,12.2
2020,,,ES01037,PT,ES01037,12.0
2014,,,ES01039,PT,ES01039,34.0
2015,,,ES01039,PT,ES01039,31.2
2016,,,ES01039,PT,ES01039,38.6
2017,,,ES01039,PT,ES01039,36.7
2018,,,ES01039,PT,ES01039,39.4
2019,,,ES01039,PT,ES01039,34.7
2020,,,ES01039,PT,ES01039,26.0
2014,,ES0104,,PT,ES0104,8.9
2015,,ES0104,,PT,ES0104,11.4
2016,,ES0104,,PT,ES0104,12.6
2017,,ES0104,,PT,ES0104,12.6
2018,,ES0104,,PT,ES0104,14.8
2019,,ES0104,,PT,ES0104,12.7
2020,,ES0104,,PT,ES0104,11.2
2014,,,ES01041,PT,ES01041,27.9
2015,,,ES01041,PT,ES01041,36.1
2016,,,ES01041,PT,ES01041,40.4
2017,,,ES01041,PT,ES01041,38.1
2018,,,ES01041,PT,ES01041,43.2
2019,,,ES01041,PT,ES01041,39.5
2020,,,ES01041,PT,ES01041,37.6
2014,,,ES01042,PT,ES01042,5.7
2015,,,ES01042,PT,ES01042,4.8
2016,,,ES01042,PT,ES01042,5.5
2017,,,ES01042,PT,ES01042,5.7
2018,,,ES01042,PT,ES01042,5.2
2019,,,ES01042,PT,ES01042,4.1
2020,,,ES01042,PT,ES01042,4.4
2014,,,ES01043,PT,ES01043,3.6
2015,,,ES01043,PT,ES01043,4.9
2016,,,ES01043,PT,ES01043,5.9
2017,,,ES01043,PT,ES01043,7.0
2018,,,ES01043,PT,ES01043,9.0
2019,,,ES01043,PT,ES01043,8.6
2020,,,ES01043,PT,ES01043,6.7
2014,,,ES01044,PT,ES01044,29.7
2015,,,ES01044,PT,ES01044,28.7
2016,,,ES01044,PT,ES01044,31.5
2017,,,ES01044,PT,ES01044,30.2
2018,,,ES01044,PT,ES01044,31.7
2019,,,ES01044,PT,ES01044,33.2
2020,,,ES01044,PT,ES01044,34.2
2014,,,ES01046,PT,ES01046,28.5
2015,,,ES01046,PT,ES01046,22.5
2016,,,ES01046,PT,ES01046,25.1
2017,,,ES01046,PT,ES01046,23.0
2018,,,ES01046,PT,ES01046,25.8
2019,,,ES01046,PT,ES01046,26.9
2020,,,ES01046,PT,ES01046,27.1
2014,,,ES01047,PT,ES01047,1.3
2015,,,ES01047,PT,ES01047,1.3
2016,,,ES01047,PT,ES01047,1.5
2017,,,ES01047,PT,ES01047,1.7
2018,,,ES01047,PT,ES01047,1.8
2019,,,ES01047,PT,ES01047,1.6
2020,,,ES01047,PT,ES01047,1.5
2014,,,ES01049,PT,ES01049,13.6
2015,,,ES01049,PT,ES01049,16.8
2016,,,ES01049,PT,ES01049,15.8
2017,,,ES01049,PT,ES01049,14.3
2018,,,ES01049,PT,ES01049,11.8
2019,,,ES01049,PT,ES01049,14.7
2020,,,ES01049,PT,ES01049,13.6
2014,,ES0105,,PT,ES0105,4.3
2015,,ES0105,,PT,ES0105,3.1
2016,,ES0105,,PT,ES0105,2.8
2017,,ES0105,,PT,ES0105,2.7
2018,,ES0105,,PT,ES0105,2.6
2019,,ES0105,,PT,ES0105,2.0
2020,,ES0105,,PT,ES0105,2.1
2014,,,ES01051,PT,ES01051,2.8
2015,,,ES01051,PT,ES01051,2.7
2016,,,ES01051,PT,ES01051,2.2
2017,,,ES01051,PT,ES01051,1.7
2018,,,ES01051,PT,ES01051,1.6
2019,,,ES01051,PT,ES01051,1.5
2020,,,ES01051,PT,ES01051,1.5
2014,,,ES01052,PT,ES01052,13.9
2015,,,ES01052,PT,ES01052,19.5
2016,,,ES01052,PT,ES01052,23.0
2017,,,ES01052,PT,ES01052,21.1
2018,,,ES01052,PT,ES01052,23.3
2019,,,ES01052,PT,ES01052,19.6
2020,,,ES01052,PT,ES01052,14.2
2014,,,ES01053,PT,ES01053,22.3
2015,,,ES01053,PT,ES01053,23.0
2016,,,ES01053,PT,ES01053,23.9
2017,,,ES01053,PT,ES01053,22.8
2018,,,ES01053,PT,ES01053,23.9
2019,,,ES01053,PT,ES01053,20.4
2020,,,ES01053,PT,ES01053,19.9
2014,,,ES01054,PT,ES01054,9.6
2015,,,ES01054,PT,ES01054,6.9
2016,,,ES01054,PT,ES01054,6.0
2017,,,ES01054,PT,ES01054,6.3
2018,,,ES01054,PT,ES01054,6.9
2019,,,ES01054,PT,ES01054,4.6
2020,,,ES01054,PT,ES01054,4.2
2014,,,ES01055,PT,ES01055,22.8
2015,,,ES01055,PT,ES01055,19.8
2016,,,ES01055,PT,ES01055,19.2
2017,,,ES01055,PT,ES01055,18.9
2018,,,ES01055,PT,ES01055,19.8
2019,,,ES01055,PT,ES01055,20.5
2020,,,ES01055,PT,ES01055,19.3
2014,,,ES01056,PT,ES01056,34.9
2015,,,ES01056,PT,ES01056,32.3
2016,,,ES01056,PT,ES01056,30.9
2017,,,ES01056,PT,ES01056,29.5
2018,,,ES01056,PT,ES01056,30.6
2019,,,ES01056,PT,ES01056,23.9
2020,,,ES01056,PT,ES01056,24.6
2014,,,ES01057,PT,ES01057,11.3
2015,,,ES01057,PT,ES01057,15.4
2016,,,ES01057,PT,ES01057,15.5
2017,,,ES01057,PT,ES01057,13.8
2018,,,ES01057,PT,ES01057,16.2
