Year,Sexua,Adina,Egoitza,Desgaitasunik ez duten pertsonak,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2019,F,16 urte eta gehiago,,,,,Ezkio-Itsaso,PT,Ezkio-Itsaso,2.1
2021,F,16 urte eta gehiago,,,,,Ezkio-Itsaso,PT,Ezkio-Itsaso,6.9
2010,F,16 urte eta gehiago,,,,,Ezkio-Itsaso,PT,Ezkio-Itsaso,7.1
2020,F,16 urte eta gehiago,,,,,Ezkio-Itsaso,PT,Ezkio-Itsaso,3.4
2019,F,16 urte eta gehiago,,,,,ES48906,PT,ES48906,12.3
2016,F,16 urte eta gehiago,,,,,ES48906,PT,ES48906,13.8
2018,F,16 urte eta gehiago,,,,,ES48906,PT,ES48906,13.2
2020,F,16 urte eta gehiago,,,,,ES48906,PT,ES48906,11.3
2015,F,16 urte eta gehiago,,,,,ES48906,PT,ES48906,14.8
2010,F,16 urte eta gehiago,,,,,ES48906,PT,ES48906,6.3
2021,F,16 urte eta gehiago,,,,,ES48906,PT,ES48906,10.2
2015,F,16 urte eta gehiago,,,,,ES48035,PT,ES48035,11.3
2020,F,16 urte eta gehiago,,,,,ES48035,PT,ES48035,8.5
2010,F,16 urte eta gehiago,,,,,ES48035,PT,ES48035,5.5
2019,F,16 urte eta gehiago,,,,,ES48035,PT,ES48035,12.3
2018,F,16 urte eta gehiago,,,,,ES48035,PT,ES48035,8.0
2016,F,16 urte eta gehiago,,,,,ES48035,PT,ES48035,12.1
2021,F,16 urte eta gehiago,,,,,ES48035,PT,ES48035,7.6
2019,F,16 urte eta gehiago,,,,,Gabiria,PT,Gabiria,4.8
2020,F,16 urte eta gehiago,,,,,Gabiria,PT,Gabiria,8.3
2018,F,16 urte eta gehiago,,,,,Gabiria,PT,Gabiria,5.1
2016,F,16 urte eta gehiago,,,,,Gabiria,PT,Gabiria,6.1
2015,F,16 urte eta gehiago,,,,,Gabiria,PT,Gabiria,6.2
2010,F,16 urte eta gehiago,,,,,Gabiria,PT,Gabiria,8.6
2021,F,16 urte eta gehiago,,,,,Gabiria,PT,Gabiria,5.4
2015,F,16 urte eta gehiago,,,,,Gaintza,PT,Gaintza,8.7
2019,F,16 urte eta gehiago,,,,,Gaintza,PT,Gaintza,4.2
2020,F,16 urte eta gehiago,,,,,Gaintza,PT,Gaintza,4.8
2018,F,16 urte eta gehiago,,,,,Gaintza,PT,Gaintza,0.0
2021,F,16 urte eta gehiago,,,,,Gaintza,PT,Gaintza,3.6
2016,F,16 urte eta gehiago,,,,,Gaintza,PT,Gaintza,0.0
2010,F,16 urte eta gehiago,,,,,Gaintza,PT,Gaintza,12.5
2019,F,16 urte eta gehiago,,,,,ES48036,PT,ES48036,11.2
2015,F,16 urte eta gehiago,,,,,ES48036,PT,ES48036,15.2
2010,F,16 urte eta gehiago,,,,,ES48036,PT,ES48036,8.2
2021,F,16 urte eta gehiago,,,,,ES48036,PT,ES48036,11.8
2020,F,16 urte eta gehiago,,,,,ES48036,PT,ES48036,9.7
2016,F,16 urte eta gehiago,,,,,ES48036,PT,ES48036,15.1
2018,F,16 urte eta gehiago,,,,,ES48036,PT,ES48036,12.5
2021,F,16 urte eta gehiago,,,,,ES48037,PT,ES48037,10.3
2020,F,16 urte eta gehiago,,,,,ES48037,PT,ES48037,14.0
2018,F,16 urte eta gehiago,,,,,ES48037,PT,ES48037,12.4
2015,F,16 urte eta gehiago,,,,,ES48037,PT,ES48037,14.6
2016,F,16 urte eta gehiago,,,,,ES48037,PT,ES48037,16.2
2019,F,16 urte eta gehiago,,,,,ES48037,PT,ES48037,16.6
2010,F,16 urte eta gehiago,,,,,ES48037,PT,ES48037,5.8
2020,F,16 urte eta gehiago,,,,,ES48038,PT,ES48038,5.0
2016,F,16 urte eta gehiago,,,,,ES48038,PT,ES48038,15.0
2021,F,16 urte eta gehiago,,,,,ES48038,PT,ES48038,8.8
2018,F,16 urte eta gehiago,,,,,ES48038,PT,ES48038,8.4
2010,F,16 urte eta gehiago,,,,,ES48038,PT,ES48038,9.4
2019,F,16 urte eta gehiago,,,,,ES48038,PT,ES48038,8.0
2015,F,16 urte eta gehiago,,,,,ES48038,PT,ES48038,13.5
2020,F,16 urte eta gehiago,,,,,ES48039,PT,ES48039,7.5
2018,F,16 urte eta gehiago,,,,,ES48039,PT,ES48039,7.5
2019,F,16 urte eta gehiago,,,,,ES48039,PT,ES48039,3.8
2010,F,16 urte eta gehiago,,,,,ES48039,PT,ES48039,7.4
2015,F,16 urte eta gehiago,,,,,ES48039,PT,ES48039,15.1
2016,F,16 urte eta gehiago,,,,,ES48039,PT,ES48039,14.3
2021,F,16 urte eta gehiago,,,,,ES48039,PT,ES48039,2.9
2020,F,16 urte eta gehiago,,,,,ES48040,PT,ES48040,7.7
2018,F,16 urte eta gehiago,,,,,ES48040,PT,ES48040,9.0
2015,F,16 urte eta gehiago,,,,,ES48040,PT,ES48040,11.2
2021,F,16 urte eta gehiago,,,,,ES48040,PT,ES48040,8.9
2016,F,16 urte eta gehiago,,,,,ES48040,PT,ES48040,12.6
2010,F,16 urte eta gehiago,,,,,ES48040,PT,ES48040,6.9
2019,F,16 urte eta gehiago,,,,,ES48040,PT,ES48040,8.9
2019,F,16 urte eta gehiago,,,,,ES48041,PT,ES48041,8.7
2021,F,16 urte eta gehiago,,,,,ES48041,PT,ES48041,4.5
2018,F,16 urte eta gehiago,,,,,ES48041,PT,ES48041,8.6
2010,F,16 urte eta gehiago,,,,,ES48041,PT,ES48041,6.1
2016,F,16 urte eta gehiago,,,,,ES48041,PT,ES48041,9.8
2015,F,16 urte eta gehiago,,,,,ES48041,PT,ES48041,11.9
2020,F,16 urte eta gehiago,,,,,ES48041,PT,ES48041,7.5
2019,F,16 urte eta gehiago,,,,,ES20907,PT,ES20907,6.3
2020,F,16 urte eta gehiago,,,,,ES20907,PT,ES20907,3.2
2016,F,16 urte eta gehiago,,,,,ES20907,PT,ES20907,17.6
2018,F,16 urte eta gehiago,,,,,ES20907,PT,ES20907,6.5
2015,F,16 urte eta gehiago,,,,,ES20907,PT,ES20907,5.6
2010,F,16 urte eta gehiago,,,,,ES20907,PT,ES20907,6.7
2021,F,16 urte eta gehiago,,,,,ES20907,PT,ES20907,8.8
2015,F,16 urte eta gehiago,,,,,ES48046,PT,ES48046,16.2
2018,F,16 urte eta gehiago,,,,,ES48046,PT,ES48046,11.8
2019,F,16 urte eta gehiago,,,,,ES48046,PT,ES48046,10.8
2021,F,16 urte eta gehiago,,,,,ES48046,PT,ES48046,11.6
2010,F,16 urte eta gehiago,,,,,ES48046,PT,ES48046,8.7
2016,F,16 urte eta gehiago,,,,,ES48046,PT,ES48046,15.2
2020,F,16 urte eta gehiago,,,,,ES48046,PT,ES48046,11.1
2020,F,16 urte eta gehiago,,,,,Getaria,PT,Getaria,8.9
2015,F,16 urte eta gehiago,,,,,Getaria,PT,Getaria,10.6
2019,F,16 urte eta gehiago,,,,,Getaria,PT,Getaria,8.8
2021,F,16 urte eta gehiago,,,,,Getaria,PT,Getaria,10.0
2018,F,16 urte eta gehiago,,,,,Getaria,PT,Getaria,9.8
2010,F,16 urte eta gehiago,,,,,Getaria,PT,Getaria,9.7
2016,F,16 urte eta gehiago,,,,,Getaria,PT,Getaria,12.7
2010,F,16 urte eta gehiago,,,,,ES48044,PT,ES48044,9.3
2020,F,16 urte eta gehiago,,,,,ES48044,PT,ES48044,8.9
2021,F,16 urte eta gehiago,,,,,ES48044,PT,ES48044,10.6
2018,F,16 urte eta gehiago,,,,,ES48044,PT,ES48044,10.9
2016,F,16 urte eta gehiago,,,,,ES48044,PT,ES48044,14.1
2015,F,16 urte eta gehiago,,,,,ES48044,PT,ES48044,14.3
2019,F,16 urte eta gehiago,,,,,ES48044,PT,ES48044,10.2
2019,F,16 urte eta gehiago,,,,,ES48047,PT,ES48047,14.9
2016,F,16 urte eta gehiago,,,,,ES48047,PT,ES48047,8.9
2020,F,16 urte eta gehiago,,,,,ES48047,PT,ES48047,15.6
2021,F,16 urte eta gehiago,,,,,ES48047,PT,ES48047,6.7
2015,F,16 urte eta gehiago,,,,,ES48047,PT,ES48047,13.7
2010,F,16 urte eta gehiago,,,,,ES48047,PT,ES48047,2.2
2018,F,16 urte eta gehiago,,,,,ES48047,PT,ES48047,10.6
2015,F,16 urte eta gehiago,,,,,ES48042,PT,ES48042,13.1
2019,F,16 urte eta gehiago,,,,,ES48042,PT,ES48042,10.8
2018,F,16 urte eta gehiago,,,,,ES48042,PT,ES48042,10.2
2016,F,16 urte eta gehiago,,,,,ES48042,PT,ES48042,13.7
2020,F,16 urte eta gehiago,,,,,ES48042,PT,ES48042,10.4
2010,F,16 urte eta gehiago,,,,,ES48042,PT,ES48042,7.7
2021,F,16 urte eta gehiago,,,,,ES48042,PT,ES48042,7.9
2010,F,16 urte eta gehiago,,,,,ES48043,PT,ES48043,9.4
2015,F,16 urte eta gehiago,,,,,ES48043,PT,ES48043,15.1
2020,F,16 urte eta gehiago,,,,,ES48043,PT,ES48043,9.7
2021,F,16 urte eta gehiago,,,,,ES48043,PT,ES48043,10.5
2016,F,16 urte eta gehiago,,,,,ES48043,PT,ES48043,16.7
2018,F,16 urte eta gehiago,,,,,ES48043,PT,ES48043,13.7
2019,F,16 urte eta gehiago,,,,,ES48043,PT,ES48043,11.9
2010,F,16 urte eta gehiago,,,,,ES48045,PT,ES48045,8.9
2018,F,16 urte eta gehiago,,,,,ES48045,PT,ES48045,17.1
2016,F,16 urte eta gehiago,,,,,ES48045,PT,ES48045,20.2
2021,F,16 urte eta gehiago,,,,,ES48045,PT,ES48045,12.3
2019,F,16 urte eta gehiago,,,,,ES48045,PT,ES48045,14.8
2015,F,16 urte eta gehiago,,,,,ES48045,PT,ES48045,17.3
2020,F,16 urte eta gehiago,,,,,ES48045,PT,ES48045,12.7
2019,F,16 urte eta gehiago,,,,,Harana / Valle de Arana,PT,Harana / Valle de Arana,5.7
2016,F,16 urte eta gehiago,,,,,Harana / Valle de Arana,PT,Harana / Valle de Arana,8.3
2010,F,16 urte eta gehiago,,,,,Harana / Valle de Arana,PT,Harana / Valle de Arana,14.6
2015,F,16 urte eta gehiago,,,,,Harana / Valle de Arana,PT,Harana / Valle de Arana,2.6
2021,F,16 urte eta gehiago,,,,,Harana / Valle de Arana,PT,Harana / Valle de Arana,5.1
2020,F,16 urte eta gehiago,,,,,Harana / Valle de Arana,PT,Harana / Valle de Arana,10.8
2018,F,16 urte eta gehiago,,,,,Harana / Valle de Arana,PT,Harana / Valle de Arana,2.6
2018,F,16 urte eta gehiago,,,,,Hernani,PT,Hernani,9.8
2019,F,16 urte eta gehiago,,,,,Hernani,PT,Hernani,9.4
2021,F,16 urte eta gehiago,,,,,Hernani,PT,Hernani,10.1
2010,F,16 urte eta gehiago,,,,,Hernani,PT,Hernani,7.6
2015,F,16 urte eta gehiago,,,,,Hernani,PT,Hernani,13.7
2016,F,16 urte eta gehiago,,,,,Hernani,PT,Hernani,13.0
2020,F,16 urte eta gehiago,,,,,Hernani,PT,Hernani,8.2
2018,F,16 urte eta gehiago,,,,,Hernialde,PT,Hernialde,7.3
2020,F,16 urte eta gehiago,,,,,Hernialde,PT,Hernialde,8.5
2021,F,16 urte eta gehiago,,,,,Hernialde,PT,Hernialde,11.1
2010,F,16 urte eta gehiago,,,,,Hernialde,PT,Hernialde,7.1
2019,F,16 urte eta gehiago,,,,,Hernialde,PT,Hernialde,7.8
2015,F,16 urte eta gehiago,,,,,Hernialde,PT,Hernialde,8.6
2016,F,16 urte eta gehiago,,,,,Hernialde,PT,Hernialde,12.0
2019,F,16 urte eta gehiago,,,,,Hondarribia,PT,Hondarribia,9.9
2010,F,16 urte eta gehiago,,,,,Hondarribia,PT,Hondarribia,8.6
2018,F,16 urte eta gehiago,,,,,Hondarribia,PT,Hondarribia,10.9
2020,F,16 urte eta gehiago,,,,,Hondarribia,PT,Hondarribia,8.9
2016,F,16 urte eta gehiago,,,,,Hondarribia,PT,Hondarribia,14.4
2021,F,16 urte eta gehiago,,,,,Hondarribia,PT,Hondarribia,10.2
2015,F,16 urte eta gehiago,,,,,Hondarribia,PT,Hondarribia,14.2
2015,F,16 urte eta gehiago,,,,,Ibarra,PT,Ibarra,15.8
2019,F,16 urte eta gehiago,,,,,Ibarra,PT,Ibarra,13.1
2018,F,16 urte eta gehiago,,,,,Ibarra,PT,Ibarra,14.0
2016,F,16 urte eta gehiago,,,,,Ibarra,PT,Ibarra,16.4
2021,F,16 urte eta gehiago,,,,,Ibarra,PT,Ibarra,12.2
2020,F,16 urte eta gehiago,,,,,Ibarra,PT,Ibarra,9.6
2010,F,16 urte eta gehiago,,,,,Ibarra,PT,Ibarra,8.3
2015,F,16 urte eta gehiago,,,,,ES48048,PT,ES48048,14.5
2021,F,16 urte eta gehiago,,,,,ES48048,PT,ES48048,10.7
2018,F,16 urte eta gehiago,,,,,ES48048,PT,ES48048,10.3
2020,F,16 urte eta gehiago,,,,,ES48048,PT,ES48048,10.9
2016,F,16 urte eta gehiago,,,,,ES48048,PT,ES48048,12.7
2010,F,16 urte eta gehiago,,,,,ES48048,PT,ES48048,8.3
2019,F,16 urte eta gehiago,,,,,ES48048,PT,ES48048,12.7
2018,F,16 urte eta gehiago,,,,,Idiazabal,PT,Idiazabal,10.5
2016,F,16 urte eta gehiago,,,,,Idiazabal,PT,Idiazabal,13.5
2019,F,16 urte eta gehiago,,,,,Idiazabal,PT,Idiazabal,7.2
2015,F,16 urte eta gehiago,,,,,Idiazabal,PT,Idiazabal,13.8
2010,F,16 urte eta gehiago,,,,,Idiazabal,PT,Idiazabal,6.3
2021,F,16 urte eta gehiago,,,,,Idiazabal,PT,Idiazabal,7.8
2020,F,16 urte eta gehiago,,,,,Idiazabal,PT,Idiazabal,6.3
2015,F,16 urte eta gehiago,,,,,ES48094,PT,ES48094,17.1
2021,F,16 urte eta gehiago,,,,,ES48094,PT,ES48094,12.5
2019,F,16 urte eta gehiago,,,,,ES48094,PT,ES48094,14.0
2020,F,16 urte eta gehiago,,,,,ES48094,PT,ES48094,11.4
2018,F,16 urte eta gehiago,,,,,ES48094,PT,ES48094,15.1
2010,F,16 urte eta gehiago,,,,,ES48094,PT,ES48094,9.8
2016,F,16 urte eta gehiago,,,,,ES48094,PT,ES48094,15.6
2020,F,16 urte eta gehiago,,,,,Ikaztegieta,PT,Ikaztegieta,12.6
2021,F,16 urte eta gehiago,,,,,Ikaztegieta,PT,Ikaztegieta,18.2
2015,F,16 urte eta gehiago,,,,,Ikaztegieta,PT,Ikaztegieta,17.8
2018,F,16 urte eta gehiago,,,,,Ikaztegieta,PT,Ikaztegieta,14.1
2010,F,16 urte eta gehiago,,,,,Ikaztegieta,PT,Ikaztegieta,9.2
2016,F,16 urte eta gehiago,,,,,Ikaztegieta,PT,Ikaztegieta,21.0
2019,F,16 urte eta gehiago,,,,,Ikaztegieta,PT,Ikaztegieta,15.8
2016,F,16 urte eta gehiago,,,,,Irun,PT,Irun,18.7
2020,F,16 urte eta gehiago,,,,,Irun,PT,Irun,12.5
2021,F,16 urte eta gehiago,,,,,Irun,PT,Irun,13.7
2015,F,16 urte eta gehiago,,,,,Irun,PT,Irun,17.4
2010,F,16 urte eta gehiago,,,,,Irun,PT,Irun,10.2
2019,F,16 urte eta gehiago,,,,,Irun,PT,Irun,13.1
2018,F,16 urte eta gehiago,,,,,Irun,PT,Irun,14.4
2019,F,16 urte eta gehiago,,,,,Iruña Oka / Iruña de Oca,PT,Iruña Oka / Iruña de Oca,10.7
2021,F,16 urte eta gehiago,,,,,Iruña Oka / Iruña de Oca,PT,Iruña Oka / Iruña de Oca,12.7
2010,F,16 urte eta gehiago,,,,,Iruña Oka / Iruña de Oca,PT,Iruña Oka / Iruña de Oca,6.6
2018,F,16 urte eta gehiago,,,,,Iruña Oka / Iruña de Oca,PT,Iruña Oka / Iruña de Oca,11.1
2015,F,16 urte eta gehiago,,,,,Iruña Oka / Iruña de Oca,PT,Iruña Oka / Iruña de Oca,11.8
2020,F,16 urte eta gehiago,,,,,Iruña Oka / Iruña de Oca,PT,Iruña Oka / Iruña de Oca,9.3
2016,F,16 urte eta gehiago,,,,,Iruña Oka / Iruña de Oca,PT,Iruña Oka / Iruña de Oca,13.0
2016,F,16 urte eta gehiago,,,,,Irura,PT,Irura,11.1
2015,F,16 urte eta gehiago,,,,,Irura,PT,Irura,13.9
2019,F,16 urte eta gehiago,,,,,Irura,PT,Irura,11.0
2020,F,16 urte eta gehiago,,,,,Irura,PT,Irura,7.5
2018,F,16 urte eta gehiago,,,,,Irura,PT,Irura,10.4
2010,F,16 urte eta gehiago,,,,,Irura,PT,Irura,7.2
2021,F,16 urte eta gehiago,,,,,Irura,PT,Irura,9.4
2015,F,16 urte eta gehiago,,,,,Iruraiz-Gauna,PT,Iruraiz-Gauna,10.6
2018,F,16 urte eta gehiago,,,,,Iruraiz-Gauna,PT,Iruraiz-Gauna,6.6
2016,F,16 urte eta gehiago,,,,,Iruraiz-Gauna,PT,Iruraiz-Gauna,8.7
2021,F,16 urte eta gehiago,,,,,Iruraiz-Gauna,PT,Iruraiz-Gauna,7.0
2020,F,16 urte eta gehiago,,,,,Iruraiz-Gauna,PT,Iruraiz-Gauna,6.3
2010,F,16 urte eta gehiago,,,,,Iruraiz-Gauna,PT,Iruraiz-Gauna,7.0
2019,F,16 urte eta gehiago,,,,,Iruraiz-Gauna,PT,Iruraiz-Gauna,4.9
2015,F,16 urte eta gehiago,,,,,ES48049,PT,ES48049,11.0
2016,F,16 urte eta gehiago,,,,,ES48049,PT,ES48049,6.8
2018,F,16 urte eta gehiago,,,,,ES48049,PT,ES48049,7.8
2019,F,16 urte eta gehiago,,,,,ES48049,PT,ES48049,10.7
2010,F,16 urte eta gehiago,,,,,ES48049,PT,ES48049,6.1
2020,F,16 urte eta gehiago,,,,,ES48049,PT,ES48049,9.9
2021,F,16 urte eta gehiago,,,,,ES48049,PT,ES48049,11.2
2018,F,16 urte eta gehiago,,,,,Itsasondo,PT,Itsasondo,13.8
2021,F,16 urte eta gehiago,,,,,Itsasondo,PT,Itsasondo,11.8
2020,F,16 urte eta gehiago,,,,,Itsasondo,PT,Itsasondo,9.4
2016,F,16 urte eta gehiago,,,,,Itsasondo,PT,Itsasondo,15.4
2010,F,16 urte eta gehiago,,,,,Itsasondo,PT,Itsasondo,9.8
2015,F,16 urte eta gehiago,,,,,Itsasondo,PT,Itsasondo,17.0
2019,F,16 urte eta gehiago,,,,,Itsasondo,PT,Itsasondo,12.0
2021,F,16 urte eta gehiago,,,,,ES48910,PT,ES48910,14.0
2010,F,16 urte eta gehiago,,,,,ES48910,PT,ES48910,10.6
2018,F,16 urte eta gehiago,,,,,ES48910,PT,ES48910,15.9
2016,F,16 urte eta gehiago,,,,,ES48910,PT,ES48910,19.3
2020,F,16 urte eta gehiago,,,,,ES48910,PT,ES48910,11.1
2015,F,16 urte eta gehiago,,,,,ES48910,PT,ES48910,19.0
2019,F,16 urte eta gehiago,,,,,ES48910,PT,ES48910,13.0
2018,F,16 urte eta gehiago,,,,,ES48050,PT,ES48050,10.9
2010,F,16 urte eta gehiago,,,,,ES48050,PT,ES48050,7.3
2016,F,16 urte eta gehiago,,,,,ES48050,PT,ES48050,16.0
2015,F,16 urte eta gehiago,,,,,ES48050,PT,ES48050,17.5
2020,F,16 urte eta gehiago,,,,,ES48050,PT,ES48050,8.5
2021,F,16 urte eta gehiago,,,,,ES48050,PT,ES48050,4.2
2019,F,16 urte eta gehiago,,,,,ES48050,PT,ES48050,13.2
2021,F,16 urte eta gehiago,,,,,ES48022,PT,ES48022,18.8
2018,F,16 urte eta gehiago,,,,,ES48022,PT,ES48022,23.6
2016,F,16 urte eta gehiago,,,,,ES48022,PT,ES48022,25.5
2019,F,16 urte eta gehiago,,,,,ES48022,PT,ES48022,19.8
2010,F,16 urte eta gehiago,,,,,ES48022,PT,ES48022,11.8
2015,F,16 urte eta gehiago,,,,,ES48022,PT,ES48022,21.7
2020,F,16 urte eta gehiago,,,,,ES48022,PT,ES48022,16.1
2019,F,16 urte eta gehiago,,,,,ES48907,PT,ES48907,5.0
2015,F,16 urte eta gehiago,,,,,ES48907,PT,ES48907,14.4
2018,F,16 urte eta gehiago,,,,,ES48907,PT,ES48907,5.0
2010,F,16 urte eta gehiago,,,,,ES48907,PT,ES48907,3.3
2021,F,16 urte eta gehiago,,,,,ES48907,PT,ES48907,3.7
2016,F,16 urte eta gehiago,,,,,ES48907,PT,ES48907,8.7
2020,F,16 urte eta gehiago,,,,,ES48907,PT,ES48907,3.0
2018,F,16 urte eta gehiago,,,,,Kripan,PT,Kripan,15.2
2020,F,16 urte eta gehiago,,,,,Kripan,PT,Kripan,5.7
2019,F,16 urte eta gehiago,,,,,Kripan,PT,Kripan,6.5
2021,F,16 urte eta gehiago,,,,,Kripan,PT,Kripan,15.4
2010,F,16 urte eta gehiago,,,,,Kripan,PT,Kripan,3.3
2016,F,16 urte eta gehiago,,,,,Kripan,PT,Kripan,6.1
2015,F,16 urte eta gehiago,,,,,Kripan,PT,Kripan,8.6
2019,F,16 urte eta gehiago,,,,,Kuartango,PT,Kuartango,12.7
2018,F,16 urte eta gehiago,,,,,Kuartango,PT,Kuartango,12.9
2015,F,16 urte eta gehiago,,,,,Kuartango,PT,Kuartango,9.3
2021,F,16 urte eta gehiago,,,,,Kuartango,PT,Kuartango,9.7
2020,F,16 urte eta gehiago,,,,,Kuartango,PT,Kuartango,7.9
2010,F,16 urte eta gehiago,,,,,Kuartango,PT,Kuartango,8.1
2016,F,16 urte eta gehiago,,,,,Kuartango,PT,Kuartango,7.6
2010,F,16 urte eta gehiago,,,,,Labastida / Bastida,PT,Labastida / Bastida,10.5
2016,F,16 urte eta gehiago,,,,,Labastida / Bastida,PT,Labastida / Bastida,21.9
2020,F,16 urte eta gehiago,,,,,Labastida / Bastida,PT,Labastida / Bastida,15.4
2018,F,16 urte eta gehiago,,,,,Labastida / Bastida,PT,Labastida / Bastida,17.1
2015,F,16 urte eta gehiago,,,,,Labastida / Bastida,PT,Labastida / Bastida,20.8
2019,F,16 urte eta gehiago,,,,,Labastida / Bastida,PT,Labastida / Bastida,16.4
2021,F,16 urte eta gehiago,,,,,Labastida / Bastida,PT,Labastida / Bastida,19.4
2019,F,16 urte eta gehiago,,,,,Lagrán,PT,Lagrán,6.9
2020,F,16 urte eta gehiago,,,,,Lagrán,PT,Lagrán,3.2
2010,F,16 urte eta gehiago,,,,,Lagrán,PT,Lagrán,12.8
2016,F,16 urte eta gehiago,,,,,Lagrán,PT,Lagrán,25.7
2015,F,16 urte eta gehiago,,,,,Lagrán,PT,Lagrán,14.7
2018,F,16 urte eta gehiago,,,,,Lagrán,PT,Lagrán,14.3
2021,F,16 urte eta gehiago,,,,,Lagrán,PT,Lagrán,12.9
2015,F,16 urte eta gehiago,,,,,Laguardia,PT,Laguardia,15.4
2021,F,16 urte eta gehiago,,,,,Laguardia,PT,Laguardia,11.2
2016,F,16 urte eta gehiago,,,,,Laguardia,PT,Laguardia,14.2
2018,F,16 urte eta gehiago,,,,,Laguardia,PT,Laguardia,10.7
2019,F,16 urte eta gehiago,,,,,Laguardia,PT,Laguardia,10.3
2010,F,16 urte eta gehiago,,,,,Laguardia,PT,Laguardia,10.5
2020,F,16 urte eta gehiago,,,,,Laguardia,PT,Laguardia,9.0
2010,F,16 urte eta gehiago,,,,,Lanciego / Lantziego,PT,Lanciego / Lantziego,7.2
2019,F,16 urte eta gehiago,,,,,Lanciego / Lantziego,PT,Lanciego / Lantziego,20.3
2015,F,16 urte eta gehiago,,,,,Lanciego / Lantziego,PT,Lanciego / Lantziego,21.4
2021,F,16 urte eta gehiago,,,,,Lanciego / Lantziego,PT,Lanciego / Lantziego,15.9
2020,F,16 urte eta gehiago,,,,,Lanciego / Lantziego,PT,Lanciego / Lantziego,20.2
2016,F,16 urte eta gehiago,,,,,Lanciego / Lantziego,PT,Lanciego / Lantziego,22.9
2018,F,16 urte eta gehiago,,,,,Lanciego / Lantziego,PT,Lanciego / Lantziego,21.0
2010,F,16 urte eta gehiago,,,,,ES48051,PT,ES48051,6.5
2020,F,16 urte eta gehiago,,,,,ES48051,PT,ES48051,11.4
2021,F,16 urte eta gehiago,,,,,ES48051,PT,ES48051,14.3
2015,F,16 urte eta gehiago,,,,,ES48051,PT,ES48051,24.5
2016,F,16 urte eta gehiago,,,,,ES48051,PT,ES48051,26.7
2018,F,16 urte eta gehiago,,,,,ES48051,PT,ES48051,24.5
2019,F,16 urte eta gehiago,,,,,ES48051,PT,ES48051,22.9
2010,F,16 urte eta gehiago,,,,,Lantarón,PT,Lantarón,12.3
2019,F,16 urte eta gehiago,,,,,Lantarón,PT,Lantarón,6.3
2018,F,16 urte eta gehiago,,,,,Lantarón,PT,Lantarón,10.8
2016,F,16 urte eta gehiago,,,,,Lantarón,PT,Lantarón,18.2
2020,F,16 urte eta gehiago,,,,,Lantarón,PT,Lantarón,12.6
2021,F,16 urte eta gehiago,,,,,Lantarón,PT,Lantarón,14.8
2015,F,16 urte eta gehiago,,,,,Lantarón,PT,Lantarón,20.0
2019,F,16 urte eta gehiago,,,,,Lapuebla de Labarca,PT,Lapuebla de Labarca,18.8
2018,F,16 urte eta gehiago,,,,,Lapuebla de Labarca,PT,Lapuebla de Labarca,14.3
2021,F,16 urte eta gehiago,,,,,Lapuebla de Labarca,PT,Lapuebla de Labarca,18.7
2020,F,16 urte eta gehiago,,,,,Lapuebla de Labarca,PT,Lapuebla de Labarca,13.9
2015,F,16 urte eta gehiago,,,,,Lapuebla de Labarca,PT,Lapuebla de Labarca,18.2
2010,F,16 urte eta gehiago,,,,,Lapuebla de Labarca,PT,Lapuebla de Labarca,14.3
2016,F,16 urte eta gehiago,,,,,Lapuebla de Labarca,PT,Lapuebla de Labarca,12.8
2021,F,16 urte eta gehiago,,,,,ES48052,PT,ES48052,7.3
2018,F,16 urte eta gehiago,,,,,ES48052,PT,ES48052,5.8
2010,F,16 urte eta gehiago,,,,,ES48052,PT,ES48052,4.6
2016,F,16 urte eta gehiago,,,,,ES48052,PT,ES48052,8.3
2020,F,16 urte eta gehiago,,,,,ES48052,PT,ES48052,5.3
2015,F,16 urte eta gehiago,,,,,ES48052,PT,ES48052,9.3
2019,F,16 urte eta gehiago,,,,,ES48052,PT,ES48052,5.6
2020,F,16 urte eta gehiago,,,,,Larraul,PT,Larraul,7.3
2019,F,16 urte eta gehiago,,,,,Larraul,PT,Larraul,11.1
2010,F,16 urte eta gehiago,,,,,Larraul,PT,Larraul,5.2
2016,F,16 urte eta gehiago,,,,,Larraul,PT,Larraul,13.0
2018,F,16 urte eta gehiago,,,,,Larraul,PT,Larraul,7.3
2015,F,16 urte eta gehiago,,,,,Larraul,PT,Larraul,17.5
2021,F,16 urte eta gehiago,,,,,Larraul,PT,Larraul,3.7
2016,F,16 urte eta gehiago,,,,,ES20902,PT,ES20902,15.3
2021,F,16 urte eta gehiago,,,,,ES20902,PT,ES20902,10.4
2010,F,16 urte eta gehiago,,,,,ES20902,PT,ES20902,9.8
2019,F,16 urte eta gehiago,,,,,ES20902,PT,ES20902,9.6
2018,F,16 urte eta gehiago,,,,,ES20902,PT,ES20902,11.1
2015,F,16 urte eta gehiago,,,,,ES20902,PT,ES20902,15.3
2020,F,16 urte eta gehiago,,,,,ES20902,PT,ES20902,8.8
2016,F,16 urte eta gehiago,,,,,Laudio / Llodio,PT,Laudio / Llodio,18.8
2018,F,16 urte eta gehiago,,,,,Laudio / Llodio,PT,Laudio / Llodio,15.8
2019,F,16 urte eta gehiago,,,,,Laudio / Llodio,PT,Laudio / Llodio,14.1
