Year,Territorio,Comarca,Municipio,Unidad,GeoCode,Value
2023,,,ES20049,EUR,ES20049,1580.3
2022,,ES2005,,EUR,ES2005,1426.6
2023,,ES2005,,EUR,ES2005,1565.3
2022,,,ES20050,EUR,ES20050,1313.0
2023,,,ES20050,EUR,ES20050,1453.9
2022,,,ES20051,EUR,ES20051,1470.5
2023,,,ES20051,EUR,ES20051,1621.7
2022,,,ES20052,EUR,ES20052,1371.1
2023,,,ES20052,EUR,ES20052,1487.5
2022,,,ES20053,EUR,ES20053,1257.1
2023,,,ES20053,EUR,ES20053,1380.9
2022,,,ES20054,EUR,ES20054,1289.7
2023,,,ES20054,EUR,ES20054,1451.0
2022,,,ES20055,EUR,ES20055,1158.9
2023,,,ES20055,EUR,ES20055,1271.1
2022,,,ES20056,EUR,ES20056,1174.8
2023,,,ES20056,EUR,ES20056,1301.5
2022,,,ES20057,EUR,ES20057,1108.7
2023,,,ES20057,EUR,ES20057,1240.0
2022,,,ES20058,EUR,ES20058,1533.3
2023,,,ES20058,EUR,ES20058,1675.5
2022,,,ES20059,EUR,ES20059,1273.1
2023,,,ES20059,EUR,ES20059,1403.8
2022,,ES2006,,EUR,ES2006,1335.3
2023,,ES2006,,EUR,ES2006,1465.2
2022,,,ES20060,EUR,ES20060,1464.2
2023,,,ES20060,EUR,ES20060,1692.6
2022,,,ES20061,EUR,ES20061,1235.4
2023,,,ES20061,EUR,ES20061,1367.5
2022,,,ES20062,EUR,ES20062,1337.7
2023,,,ES20062,EUR,ES20062,1461.5
2022,,,ES20063,EUR,ES20063,1272.6
2023,,,ES20063,EUR,ES20063,1397.1
2022,,,ES20064,EUR,ES20064,1175.1
2023,,,ES20064,EUR,ES20064,1288.0
2022,,,ES20065,EUR,ES20065,1287.2
2023,,,ES20065,EUR,ES20065,1405.3
2022,,,ES20066,EUR,ES20066,1008.9
2023,,,ES20066,EUR,ES20066,1085.5
2022,,,ES20067,EUR,ES20067,1241.8
2023,,,ES20067,EUR,ES20067,1360.9
2022,,,ES20068,EUR,ES20068,1197.8
2023,,,ES20068,EUR,ES20068,1338.5
2022,,,ES20069,EUR,ES20069,1399.3
2023,,,ES20069,EUR,ES20069,1538.5
2022,,ES2007,,EUR,ES2007,1335.3
2023,,ES2007,,EUR,ES2007,1467.1
2022,,,ES20070,EUR,ES20070,1315.6
2023,,,ES20070,EUR,ES20070,1439.6
2022,,,ES20071,EUR,ES20071,1370.9
2023,,,ES20071,EUR,ES20071,1503.3
2022,,,ES20072,EUR,ES20072,1292.9
2023,,,ES20072,EUR,ES20072,1429.3
2022,,,ES20073,EUR,ES20073,1387.8
2023,,,ES20073,EUR,ES20073,1514.2
2022,,,ES20074,EUR,ES20074,1352.0
2023,,,ES20074,EUR,ES20074,1482.9
2022,,,ES20075,EUR,ES20075,1320.6
2023,,,ES20075,EUR,ES20075,1453.0
2022,,,ES20076,EUR,ES20076,1464.0
2023,,,ES20076,EUR,ES20076,1616.8
2022,,,ES20077,EUR,ES20077,1413.5
2023,,,ES20077,EUR,ES20077,1556.9
2022,,,ES20078,EUR,ES20078,1372.3
2023,,,ES20078,EUR,ES20078,1495.1
2022,,,ES20079,EUR,ES20079,1371.0
2023,,,ES20079,EUR,ES20079,1508.0
2022,,,ES20080,EUR,ES20080,1432.2
2023,,,ES20080,EUR,ES20080,1565.0
2022,,,ES20081,EUR,ES20081,1429.4
2023,,,ES20081,EUR,ES20081,1564.5
2022,,,ES20901,EUR,ES20901,1264.3
2023,,,ES20901,EUR,ES20901,1392.6
2022,,,ES20902,EUR,ES20902,1390.4
2023,,,ES20902,EUR,ES20902,1518.4
2022,,,ES20903,EUR,ES20903,1299.4
2023,,,ES20903,EUR,ES20903,1417.3
2022,,,ES20904,EUR,ES20904,1197.2
2023,,,ES20904,EUR,ES20904,1344.4
2022,,,ES20905,EUR,ES20905,1067.7
2023,,,ES20905,EUR,ES20905,1194.9
2022,,,ES20906,EUR,ES20906,1264.8
2023,,,ES20906,EUR,ES20906,1344.4
2022,,,ES20907,EUR,ES20907,1212.2
2023,,,ES20907,EUR,ES20907,1314.3
2022,ES213,,,EUR,ES213,1364.3
2023,ES213,,,EUR,ES213,1495.9
2022,,,ES48001,EUR,ES48001,1429.1
2023,,,ES48001,EUR,ES48001,1559.3
2022,,,ES48002,EUR,ES48002,1380.5
2023,,,ES48002,EUR,ES48002,1514.0
2022,,,ES48003,EUR,ES48003,1399.2
2023,,,ES48003,EUR,ES48003,1528.6
2022,,,ES48004,EUR,ES48004,1055.1
2023,,,ES48004,EUR,ES48004,1191.2
2022,,,ES48005,EUR,ES48005,951.3
2023,,,ES48005,EUR,ES48005,1144.0
2022,,,ES48006,EUR,ES48006,1539.5
2023,,,ES48006,EUR,ES48006,1751.3
2022,,,ES48007,EUR,ES48007,986.0
2023,,,ES48007,EUR,ES48007,1122.6
2022,,,ES48008,EUR,ES48008,1142.0
2023,,,ES48008,EUR,ES48008,1280.0
2022,,,ES48009,EUR,ES48009,1392.6
2023,,,ES48009,EUR,ES48009,1496.1
2022,,ES4801,,EUR,ES4801,1349.6
2023,,ES4801,,EUR,ES4801,1482.6
2022,,,ES48010,EUR,ES48010,1026.5
2023,,,ES48010,EUR,ES48010,1202.9
2022,,,ES48011,EUR,ES48011,1327.8
2023,,,ES48011,EUR,ES48011,1466.7
2022,,,ES48012,EUR,ES48012,1342.2
2023,,,ES48012,EUR,ES48012,1460.8
2022,,,ES48013,EUR,ES48013,1350.9
2023,,,ES48013,EUR,ES48013,1475.0
2022,,,ES48014,EUR,ES48014,1522.1
2023,,,ES48014,EUR,ES48014,1659.8
2022,,,ES48015,EUR,ES48015,1325.3
2023,,,ES48015,EUR,ES48015,1443.7
2022,,,ES48016,EUR,ES48016,1441.6
2023,,,ES48016,EUR,ES48016,1583.1
2022,,,ES48017,EUR,ES48017,1195.4
2023,,,ES48017,EUR,ES48017,1320.3
2022,,,ES48018,EUR,ES48018,1078.6
2023,,,ES48018,EUR,ES48018,1183.6
2022,,,ES48019,EUR,ES48019,1356.1
2023,,,ES48019,EUR,ES48019,1480.5
2022,,ES4802,,EUR,ES4802,1377.5
2023,,ES4802,,EUR,ES4802,1509.5
2022,,,ES48020,EUR,ES48020,1350.7
2023,,,ES48020,EUR,ES48020,1484.7
2022,,,ES48021,EUR,ES48021,1255.4
2023,,,ES48021,EUR,ES48021,1394.8
