Year,Series,Energia,Territorio,Comarca,Municipio,Units,GeoCode,Value
2013,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES48042,W_PER_CAPITA,ES48042,0.0
2021,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES48042,W_PER_CAPITA,ES48042,0.0
2019,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES48042,W_PER_CAPITA,ES48042,0.0
2017,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES48042,W_PER_CAPITA,ES48042,0.0
2011,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES48042,W_PER_CAPITA,ES48042,0.0
2015,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES48042,W_PER_CAPITA,ES48042,0.0
2016,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES48042,W_PER_CAPITA,ES48042,0.0
2010,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES48042,W_PER_CAPITA,ES48042,0.0
2012,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES48042,W_PER_CAPITA,ES48042,0.0
2014,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES48042,W_PER_CAPITA,ES48042,0.0
2020,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES48042,W_PER_CAPITA,ES48042,0.0
2018,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES48042,W_PER_CAPITA,ES48042,0.0
2022,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES48042,W_PER_CAPITA,ES48042,0.0
2014,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES48043,W_PER_CAPITA,ES48043,0.0
2017,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES48043,W_PER_CAPITA,ES48043,0.0
2020,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES48043,W_PER_CAPITA,ES48043,0.0
2012,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES48043,W_PER_CAPITA,ES48043,0.0
2010,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES48043,W_PER_CAPITA,ES48043,0.0
2018,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES48043,W_PER_CAPITA,ES48043,0.0
2011,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES48043,W_PER_CAPITA,ES48043,0.0
2019,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES48043,W_PER_CAPITA,ES48043,0.0
2013,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES48043,W_PER_CAPITA,ES48043,0.0
2022,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES48043,W_PER_CAPITA,ES48043,0.0
2015,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES48043,W_PER_CAPITA,ES48043,0.0
2016,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES48043,W_PER_CAPITA,ES48043,0.0
2021,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES48043,W_PER_CAPITA,ES48043,0.0
2011,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES48045,W_PER_CAPITA,ES48045,731.4
2022,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES48045,W_PER_CAPITA,ES48045,543.5
2010,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES48045,W_PER_CAPITA,ES48045,740.2
2015,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES48045,W_PER_CAPITA,ES48045,547.9
2017,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES48045,W_PER_CAPITA,ES48045,555.2
2014,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES48045,W_PER_CAPITA,ES48045,554.2
2016,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES48045,W_PER_CAPITA,ES48045,553.7
2013,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES48045,W_PER_CAPITA,ES48045,557.6
2019,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES48045,W_PER_CAPITA,ES48045,551.6
2021,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES48045,W_PER_CAPITA,ES48045,544.8
2018,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES48045,W_PER_CAPITA,ES48045,551.5
2012,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES48045,W_PER_CAPITA,ES48045,557.9
2020,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES48045,W_PER_CAPITA,ES48045,547.5
2014,EG_EGY_RNEW,TRT_HYDROPOWER,,,ES01056,W_PER_CAPITA,ES01056,7831.3
