Year,Series,Territorio,Comarca,Municipio,Units,GeoCode,Value
2019,Consumo de energía eléctrica por habitante ,,,Kripan,Kw per cápita diario,Kripan,2871.5
2012,Consumo de energía eléctrica por habitante ,,,Kripan,Kw per cápita diario,Kripan,2661.7
2018,Consumo de energía eléctrica por habitante ,,,Kripan,Kw per cápita diario,Kripan,3430.8
2015,Consumo de energía eléctrica por habitante ,,,Kripan,Kw per cápita diario,Kripan,2792.1
2020,Consumo de energía eléctrica por habitante ,,,Kripan,Kw per cápita diario,Kripan,2624.4
2013,Consumo de energía eléctrica por habitante ,,,Kripan,Kw per cápita diario,Kripan,2916.4
2021,Consumo de energía eléctrica por habitante ,,,Kripan,Kw per cápita diario,Kripan,2728.2
2011,Consumo de energía eléctrica por habitante ,,,Kripan,Kw per cápita diario,Kripan,3055.7
2014,Consumo de energía eléctrica por habitante ,,,Kripan,Kw per cápita diario,Kripan,2888.3
2017,Consumo de energía eléctrica por habitante ,,,Kripan,Kw per cápita diario,Kripan,2171.6
2016,Consumo de energía eléctrica por habitante ,,,Kripan,Kw per cápita diario,Kripan,3295.0
2010,Consumo de energía eléctrica por habitante ,,,Kripan,Kw per cápita diario,Kripan,3188.6
2010,Consumo de energía eléctrica por habitante ,,,Kuartango,Kw per cápita diario,Kuartango,6555.1
2022,Consumo de energía eléctrica por habitante ,,,Kuartango,Kw per cápita diario,Kuartango,5024.0
2014,Consumo de energía eléctrica por habitante ,,,Kuartango,Kw per cápita diario,Kuartango,5068.6
2011,Consumo de energía eléctrica por habitante ,,,Kuartango,Kw per cápita diario,Kuartango,6256.8
2016,Consumo de energía eléctrica por habitante ,,,Kuartango,Kw per cápita diario,Kuartango,4491.2
2021,Consumo de energía eléctrica por habitante ,,,Kuartango,Kw per cápita diario,Kuartango,5129.0
2017,Consumo de energía eléctrica por habitante ,,,Kuartango,Kw per cápita diario,Kuartango,4754.2
2018,Consumo de energía eléctrica por habitante ,,,Kuartango,Kw per cápita diario,Kuartango,4929.3
2019,Consumo de energía eléctrica por habitante ,,,Kuartango,Kw per cápita diario,Kuartango,3179.3
2013,Consumo de energía eléctrica por habitante ,,,Kuartango,Kw per cápita diario,Kuartango,6485.8
2015,Consumo de energía eléctrica por habitante ,,,Kuartango,Kw per cápita diario,Kuartango,5067.4
2012,Consumo de energía eléctrica por habitante ,,,Kuartango,Kw per cápita diario,Kuartango,5339.0
2020,Consumo de energía eléctrica por habitante ,,,Kuartango,Kw per cápita diario,Kuartango,3911.3
2015,Consumo de energía eléctrica por habitante ,,,Labastida/Bastida,Kw per cápita diario,Labastida/Bastida,4837.2
2019,Consumo de energía eléctrica por habitante ,,,Labastida/Bastida,Kw per cápita diario,Labastida/Bastida,4147.8
2018,Consumo de energía eléctrica por habitante ,,,Labastida/Bastida,Kw per cápita diario,Labastida/Bastida,4416.3
2012,Consumo de energía eléctrica por habitante ,,,Labastida/Bastida,Kw per cápita diario,Labastida/Bastida,4957.1
2011,Consumo de energía eléctrica por habitante ,,,Labastida/Bastida,Kw per cápita diario,Labastida/Bastida,5321.3
2010,Consumo de energía eléctrica por habitante ,,,Labastida/Bastida,Kw per cápita diario,Labastida/Bastida,5426.3
2016,Consumo de energía eléctrica por habitante ,,,Labastida/Bastida,Kw per cápita diario,Labastida/Bastida,4553.6
2014,Consumo de energía eléctrica por habitante ,,,Labastida/Bastida,Kw per cápita diario,Labastida/Bastida,4819.2
2021,Consumo de energía eléctrica por habitante ,,,Labastida/Bastida,Kw per cápita diario,Labastida/Bastida,4385.4
2013,Consumo de energía eléctrica por habitante ,,,Labastida/Bastida,Kw per cápita diario,Labastida/Bastida,4716.0
2017,Consumo de energía eléctrica por habitante ,,,Labastida/Bastida,Kw per cápita diario,Labastida/Bastida,4487.3
2022,Consumo de energía eléctrica por habitante ,,,Labastida/Bastida,Kw per cápita diario,Labastida/Bastida,4279.7
2020,Consumo de energía eléctrica por habitante ,,,Labastida/Bastida,Kw per cápita diario,Labastida/Bastida,3965.4
2010,Consumo de energía eléctrica por habitante ,,,Lagrán,Kw per cápita diario,Lagrán,3211.9
2013,Consumo de energía eléctrica por habitante ,,,Lagrán,Kw per cápita diario,Lagrán,2999.3
2019,Consumo de energía eléctrica por habitante ,,,Lagrán,Kw per cápita diario,Lagrán,2734.5
2018,Consumo de energía eléctrica por habitante ,,,Lagrán,Kw per cápita diario,Lagrán,3115.8
2022,Consumo de energía eléctrica por habitante ,,,Lagrán,Kw per cápita diario,Lagrán,2688.7
2011,Consumo de energía eléctrica por habitante ,,,Lagrán,Kw per cápita diario,Lagrán,3747.6
2015,Consumo de energía eléctrica por habitante ,,,Lagrán,Kw per cápita diario,Lagrán,3033.5
2016,Consumo de energía eléctrica por habitante ,,,Lagrán,Kw per cápita diario,Lagrán,2995.4
2012,Consumo de energía eléctrica por habitante ,,,Lagrán,Kw per cápita diario,Lagrán,3554.5
2017,Consumo de energía eléctrica por habitante ,,,Lagrán,Kw per cápita diario,Lagrán,3389.9
2021,Consumo de energía eléctrica por habitante ,,,Lagrán,Kw per cápita diario,Lagrán,2969.7
2014,Consumo de energía eléctrica por habitante ,,,Lagrán,Kw per cápita diario,Lagrán,2949.4
2020,Consumo de energía eléctrica por habitante ,,,Lagrán,Kw per cápita diario,Lagrán,2637.0
2011,Consumo de energía eléctrica por habitante ,,,Laguardia,Kw per cápita diario,Laguardia,16542.5
2010,Consumo de energía eléctrica por habitante ,,,Laguardia,Kw per cápita diario,Laguardia,15311.9
2013,Consumo de energía eléctrica por habitante ,,,Laguardia,Kw per cápita diario,Laguardia,16096.2
2015,Consumo de energía eléctrica por habitante ,,,Laguardia,Kw per cápita diario,Laguardia,18587.4
2019,Consumo de energía eléctrica por habitante ,,,Laguardia,Kw per cápita diario,Laguardia,17056.2
2016,Consumo de energía eléctrica por habitante ,,,Laguardia,Kw per cápita diario,Laguardia,18291.4
2020,Consumo de energía eléctrica por habitante ,,,Laguardia,Kw per cápita diario,Laguardia,15760.7
2014,Consumo de energía eléctrica por habitante ,,,Laguardia,Kw per cápita diario,Laguardia,17101.9
2022,Consumo de energía eléctrica por habitante ,,,Laguardia,Kw per cápita diario,Laguardia,16189.7
2018,Consumo de energía eléctrica por habitante ,,,Laguardia,Kw per cápita diario,Laguardia,17765.9
2021,Consumo de energía eléctrica por habitante ,,,Laguardia,Kw per cápita diario,Laguardia,17648.8
2012,Consumo de energía eléctrica por habitante ,,,Laguardia,Kw per cápita diario,Laguardia,16346.3
2017,Consumo de energía eléctrica por habitante ,,,Laguardia,Kw per cápita diario,Laguardia,18463.1
2022,Consumo de energía eléctrica por habitante ,,,Lanciego/Lantziego,Kw per cápita diario,Lanciego/Lantziego,3612.3
2017,Consumo de energía eléctrica por habitante ,,,Lanciego/Lantziego,Kw per cápita diario,Lanciego/Lantziego,4077.5
2014,Consumo de energía eléctrica por habitante ,,,Lanciego/Lantziego,Kw per cápita diario,Lanciego/Lantziego,3912.4
2019,Consumo de energía eléctrica por habitante ,,,Lanciego/Lantziego,Kw per cápita diario,Lanciego/Lantziego,3833.2
