Year,Series,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2018,Baso-azalera azalera osoaren proportzioan,,,Eibar,Porcentaje,Eibar,65.2
2021,Baso-azalera azalera osoaren proportzioan,,,Eibar,Porcentaje,Eibar,65.8
2019,Baso-azalera azalera osoaren proportzioan,,,Eibar,Porcentaje,Eibar,65.5
2016,Baso-azalera azalera osoaren proportzioan,,,Eibar,Porcentaje,Eibar,66.6
2022,Baso-azalera azalera osoaren proportzioan,,,Elantxobe,Porcentaje,Elantxobe,74.7
2018,Baso-azalera azalera osoaren proportzioan,,,Elantxobe,Porcentaje,Elantxobe,74.9
2021,Baso-azalera azalera osoaren proportzioan,,,Elantxobe,Porcentaje,Elantxobe,74.5
2020,Baso-azalera azalera osoaren proportzioan,,,Elantxobe,Porcentaje,Elantxobe,74.5
2010,Baso-azalera azalera osoaren proportzioan,,,Elantxobe,Porcentaje,Elantxobe,80.5
2019,Baso-azalera azalera osoaren proportzioan,,,Elantxobe,Porcentaje,Elantxobe,74.5
2016,Baso-azalera azalera osoaren proportzioan,,,Elantxobe,Porcentaje,Elantxobe,74.9
2021,Baso-azalera azalera osoaren proportzioan,,,Elburgo / Burgelu,Porcentaje,Elburgo / Burgelu,22.4
2016,Baso-azalera azalera osoaren proportzioan,,,Elburgo / Burgelu,Porcentaje,Elburgo / Burgelu,22.5
2019,Baso-azalera azalera osoaren proportzioan,,,Elburgo / Burgelu,Porcentaje,Elburgo / Burgelu,22.4
2020,Baso-azalera azalera osoaren proportzioan,,,Elburgo / Burgelu,Porcentaje,Elburgo / Burgelu,22.4
2022,Baso-azalera azalera osoaren proportzioan,,,Elburgo / Burgelu,Porcentaje,Elburgo / Burgelu,22.5
2018,Baso-azalera azalera osoaren proportzioan,,,Elburgo / Burgelu,Porcentaje,Elburgo / Burgelu,22.5
2010,Baso-azalera azalera osoaren proportzioan,,,Elburgo / Burgelu,Porcentaje,Elburgo / Burgelu,22.2
2019,Baso-azalera azalera osoaren proportzioan,,,Elciego,Porcentaje,Elciego,9.1
2010,Baso-azalera azalera osoaren proportzioan,,,Elciego,Porcentaje,Elciego,6.9
2018,Baso-azalera azalera osoaren proportzioan,,,Elciego,Porcentaje,Elciego,9.1
2021,Baso-azalera azalera osoaren proportzioan,,,Elciego,Porcentaje,Elciego,9.1
2020,Baso-azalera azalera osoaren proportzioan,,,Elciego,Porcentaje,Elciego,9.1
2016,Baso-azalera azalera osoaren proportzioan,,,Elciego,Porcentaje,Elciego,9.1
2022,Baso-azalera azalera osoaren proportzioan,,,Elciego,Porcentaje,Elciego,9.0
2022,Baso-azalera azalera osoaren proportzioan,,,Elduain,Porcentaje,Elduain,89.8
2019,Baso-azalera azalera osoaren proportzioan,,,Elduain,Porcentaje,Elduain,90.0
2020,Baso-azalera azalera osoaren proportzioan,,,Elduain,Porcentaje,Elduain,90.0
2016,Baso-azalera azalera osoaren proportzioan,,,Elduain,Porcentaje,Elduain,90.4
2021,Baso-azalera azalera osoaren proportzioan,,,Elduain,Porcentaje,Elduain,90.0
2018,Baso-azalera azalera osoaren proportzioan,,,Elduain,Porcentaje,Elduain,88.9
2010,Baso-azalera azalera osoaren proportzioan,,,Elduain,Porcentaje,Elduain,90.6
2020,Baso-azalera azalera osoaren proportzioan,,,Elgeta,Porcentaje,Elgeta,79.3
2016,Baso-azalera azalera osoaren proportzioan,,,Elgeta,Porcentaje,Elgeta,82.2
2022,Baso-azalera azalera osoaren proportzioan,,,Elgeta,Porcentaje,Elgeta,79.6
2021,Baso-azalera azalera osoaren proportzioan,,,Elgeta,Porcentaje,Elgeta,79.6
2019,Baso-azalera azalera osoaren proportzioan,,,Elgeta,Porcentaje,Elgeta,79.2
2018,Baso-azalera azalera osoaren proportzioan,,,Elgeta,Porcentaje,Elgeta,78.9
2010,Baso-azalera azalera osoaren proportzioan,,,Elgeta,Porcentaje,Elgeta,83.3
2016,Baso-azalera azalera osoaren proportzioan,,,Elgoibar,Porcentaje,Elgoibar,69.1
2021,Baso-azalera azalera osoaren proportzioan,,,Elgoibar,Porcentaje,Elgoibar,67.5
2010,Baso-azalera azalera osoaren proportzioan,,,Elgoibar,Porcentaje,Elgoibar,68.8
2020,Baso-azalera azalera osoaren proportzioan,,,Elgoibar,Porcentaje,Elgoibar,67.1
2018,Baso-azalera azalera osoaren proportzioan,,,Elgoibar,Porcentaje,Elgoibar,66.6
2022,Baso-azalera azalera osoaren proportzioan,,,Elgoibar,Porcentaje,Elgoibar,67.7
2019,Baso-azalera azalera osoaren proportzioan,,,Elgoibar,Porcentaje,Elgoibar,66.6
2010,Baso-azalera azalera osoaren proportzioan,,,Elorrio,Porcentaje,Elorrio,69.4
2020,Baso-azalera azalera osoaren proportzioan,,,Elorrio,Porcentaje,Elorrio,67.3
2019,Baso-azalera azalera osoaren proportzioan,,,Elorrio,Porcentaje,Elorrio,66.1
2018,Baso-azalera azalera osoaren proportzioan,,,Elorrio,Porcentaje,Elorrio,66.2
2022,Baso-azalera azalera osoaren proportzioan,,,Elorrio,Porcentaje,Elorrio,67.5
2021,Baso-azalera azalera osoaren proportzioan,,,Elorrio,Porcentaje,Elorrio,67.5
2016,Baso-azalera azalera osoaren proportzioan,,,Elorrio,Porcentaje,Elorrio,68.9
2022,Baso-azalera azalera osoaren proportzioan,,,Elvillar / Bilar,Porcentaje,Elvillar / Bilar,3.3
2019,Baso-azalera azalera osoaren proportzioan,,,Elvillar / Bilar,Porcentaje,Elvillar / Bilar,3.3
2010,Baso-azalera azalera osoaren proportzioan,,,Elvillar / Bilar,Porcentaje,Elvillar / Bilar,3.8
2018,Baso-azalera azalera osoaren proportzioan,,,Elvillar / Bilar,Porcentaje,Elvillar / Bilar,3.3
2016,Baso-azalera azalera osoaren proportzioan,,,Elvillar / Bilar,Porcentaje,Elvillar / Bilar,3.3
2021,Baso-azalera azalera osoaren proportzioan,,,Elvillar / Bilar,Porcentaje,Elvillar / Bilar,3.3
2020,Baso-azalera azalera osoaren proportzioan,,,Elvillar / Bilar,Porcentaje,Elvillar / Bilar,3.3
2018,Baso-azalera azalera osoaren proportzioan,,,Erandio,Porcentaje,Erandio,23.7
2010,Baso-azalera azalera osoaren proportzioan,,,Erandio,Porcentaje,Erandio,22.9
2016,Baso-azalera azalera osoaren proportzioan,,,Erandio,Porcentaje,Erandio,23.8
2021,Baso-azalera azalera osoaren proportzioan,,,Erandio,Porcentaje,Erandio,24.0
2022,Baso-azalera azalera osoaren proportzioan,,,Erandio,Porcentaje,Erandio,24.0
2020,Baso-azalera azalera osoaren proportzioan,,,Erandio,Porcentaje,Erandio,24.0
2019,Baso-azalera azalera osoaren proportzioan,,,Erandio,Porcentaje,Erandio,23.7
2010,Baso-azalera azalera osoaren proportzioan,,,Ereño,Porcentaje,Ereño,81.2
2016,Baso-azalera azalera osoaren proportzioan,,,Ereño,Porcentaje,Ereño,82.8
2021,Baso-azalera azalera osoaren proportzioan,,,Ereño,Porcentaje,Ereño,82.6
2020,Baso-azalera azalera osoaren proportzioan,,,Ereño,Porcentaje,Ereño,82.5
2019,Baso-azalera azalera osoaren proportzioan,,,Ereño,Porcentaje,Ereño,82.3
2018,Baso-azalera azalera osoaren proportzioan,,,Ereño,Porcentaje,Ereño,81.8
2022,Baso-azalera azalera osoaren proportzioan,,,Ereño,Porcentaje,Ereño,82.6
2010,Baso-azalera azalera osoaren proportzioan,,,Ermua,Porcentaje,Ermua,72.4
2022,Baso-azalera azalera osoaren proportzioan,,,Ermua,Porcentaje,Ermua,54.9
2016,Baso-azalera azalera osoaren proportzioan,,,Ermua,Porcentaje,Ermua,58.2
2018,Baso-azalera azalera osoaren proportzioan,,,Ermua,Porcentaje,Ermua,54.7
2021,Baso-azalera azalera osoaren proportzioan,,,Ermua,Porcentaje,Ermua,54.8
2020,Baso-azalera azalera osoaren proportzioan,,,Ermua,Porcentaje,Ermua,53.8
2019,Baso-azalera azalera osoaren proportzioan,,,Ermua,Porcentaje,Ermua,54.7
2021,Baso-azalera azalera osoaren proportzioan,,,Errenteria,Porcentaje,Errenteria,66.7
2016,Baso-azalera azalera osoaren proportzioan,,,Errenteria,Porcentaje,Errenteria,68.0
2020,Baso-azalera azalera osoaren proportzioan,,,Errenteria,Porcentaje,Errenteria,66.5
