Year,Teknologia berriztagarri mota,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2014,,,,Alonsotegi,W_PER_CAPITA,Alonsotegi,321.6
2011,,,,Alonsotegi,W_PER_CAPITA,Alonsotegi,329.4
2020,,,,Alonsotegi,W_PER_CAPITA,Alonsotegi,313.0
2022,,,,Alonsotegi,W_PER_CAPITA,Alonsotegi,311.6
2020,,,,Altzaga,W_PER_CAPITA,Altzaga,27.6
2010,,,,Altzaga,W_PER_CAPITA,Altzaga,0.0
2011,,,,Altzaga,W_PER_CAPITA,Altzaga,0.0
2017,,,,Altzaga,W_PER_CAPITA,Altzaga,0.0
2023,,,,Altzaga,W_PER_CAPITA,Altzaga,100.6
2021,,,,Altzaga,W_PER_CAPITA,Altzaga,27.5
2019,,,,Altzaga,W_PER_CAPITA,Altzaga,0.0
2014,,,,Altzaga,W_PER_CAPITA,Altzaga,0.0
2012,,,,Altzaga,W_PER_CAPITA,Altzaga,0.0
2015,,,,Altzaga,W_PER_CAPITA,Altzaga,0.0
2022,,,,Altzaga,W_PER_CAPITA,Altzaga,28.3
2013,,,,Altzaga,W_PER_CAPITA,Altzaga,0.0
2016,,,,Altzaga,W_PER_CAPITA,Altzaga,0.0
2018,,,,Altzaga,W_PER_CAPITA,Altzaga,0.0
2015,,,,Altzo,W_PER_CAPITA,Altzo,21.3
2012,,,,Altzo,W_PER_CAPITA,Altzo,8.5
2013,,,,Altzo,W_PER_CAPITA,Altzo,8.7
2019,,,,Altzo,W_PER_CAPITA,Altzo,20.0
2014,,,,Altzo,W_PER_CAPITA,Altzo,8.7
2021,,,,Altzo,W_PER_CAPITA,Altzo,393.4
2016,,,,Altzo,W_PER_CAPITA,Altzo,22.0
2010,,,,Altzo,W_PER_CAPITA,Altzo,8.5
2023,,,,Altzo,W_PER_CAPITA,Altzo,414.4
2018,,,,Altzo,W_PER_CAPITA,Altzo,21.3
2020,,,,Altzo,W_PER_CAPITA,Altzo,24.5
2011,,,,Altzo,W_PER_CAPITA,Altzo,8.4
2022,,,,Altzo,W_PER_CAPITA,Altzo,372.6
2017,,,,Altzo,W_PER_CAPITA,Altzo,21.8
2010,,,,Amezketa,W_PER_CAPITA,Amezketa,630.9
2015,,,,Amezketa,W_PER_CAPITA,Amezketa,668.4
2021,,,,Amezketa,W_PER_CAPITA,Amezketa,682.4
2019,,,,Amezketa,W_PER_CAPITA,Amezketa,674.5
2023,,,,Amezketa,W_PER_CAPITA,Amezketa,713.5
2014,,,,Amezketa,W_PER_CAPITA,Amezketa,657.9
2013,,,,Amezketa,W_PER_CAPITA,Amezketa,635.9
2018,,,,Amezketa,W_PER_CAPITA,Amezketa,684.1
2012,,,,Amezketa,W_PER_CAPITA,Amezketa,631.9
2016,,,,Amezketa,W_PER_CAPITA,Amezketa,673.7
2020,,,,Amezketa,W_PER_CAPITA,Amezketa,675.1
2022,,,,Amezketa,W_PER_CAPITA,Amezketa,702.4
2017,,,,Amezketa,W_PER_CAPITA,Amezketa,672.3
2011,,,,Amezketa,W_PER_CAPITA,Amezketa,631.4
2017,,,,Amorebieta-Etxano,W_PER_CAPITA,Amorebieta-Etxano,16.3
2022,,,,Amorebieta-Etxano,W_PER_CAPITA,Amorebieta-Etxano,36.6
2015,,,,Amorebieta-Etxano,W_PER_CAPITA,Amorebieta-Etxano,12.8
2020,,,,Amorebieta-Etxano,W_PER_CAPITA,Amorebieta-Etxano,25.4
2010,,,,Amorebieta-Etxano,W_PER_CAPITA,Amorebieta-Etxano,10.0
2021,,,,Amorebieta-Etxano,W_PER_CAPITA,Amorebieta-Etxano,36.3
2013,,,,Amorebieta-Etxano,W_PER_CAPITA,Amorebieta-Etxano,12.3
2023,,,,Amorebieta-Etxano,W_PER_CAPITA,Amorebieta-Etxano,90.0
2012,,,,Amorebieta-Etxano,W_PER_CAPITA,Amorebieta-Etxano,12.2
2018,,,,Amorebieta-Etxano,W_PER_CAPITA,Amorebieta-Etxano,17.3
2019,,,,Amorebieta-Etxano,W_PER_CAPITA,Amorebieta-Etxano,21.1
2014,,,,Amorebieta-Etxano,W_PER_CAPITA,Amorebieta-Etxano,13.0
2016,,,,Amorebieta-Etxano,W_PER_CAPITA,Amorebieta-Etxano,14.1
2011,,,,Amorebieta-Etxano,W_PER_CAPITA,Amorebieta-Etxano,11.1
2021,,,,Amoroto,W_PER_CAPITA,Amoroto,387.7
2017,,,,Amoroto,W_PER_CAPITA,Amoroto,42.2
2018,,,,Amoroto,W_PER_CAPITA,Amoroto,43.3
2020,,,,Amoroto,W_PER_CAPITA,Amoroto,43.6
2015,,,,Amoroto,W_PER_CAPITA,Amoroto,42.4
2010,,,,Amoroto,W_PER_CAPITA,Amoroto,22.7
2022,,,,Amoroto,W_PER_CAPITA,Amoroto,394.8
2016,,,,Amoroto,W_PER_CAPITA,Amoroto,42.2
2013,,,,Amoroto,W_PER_CAPITA,Amoroto,23.3
2014,,,,Amoroto,W_PER_CAPITA,Amoroto,44.4
2012,,,,Amoroto,W_PER_CAPITA,Amoroto,24.0
2019,,,,Amoroto,W_PER_CAPITA,Amoroto,42.7
2011,,,,Amoroto,W_PER_CAPITA,Amoroto,23.1
2023,,,,Amoroto,W_PER_CAPITA,Amoroto,441.3
2018,,,,Amurrio,W_PER_CAPITA,Amurrio,21.2
2020,,,,Amurrio,W_PER_CAPITA,Amurrio,23.4
2017,,,,Amurrio,W_PER_CAPITA,Amurrio,19.4
2021,,,,Amurrio,W_PER_CAPITA,Amurrio,28.5
2011,,,,Amurrio,W_PER_CAPITA,Amurrio,16.8
2014,,,,Amurrio,W_PER_CAPITA,Amurrio,16.8
2022,,,,Amurrio,W_PER_CAPITA,Amurrio,29.8
2015,,,,Amurrio,W_PER_CAPITA,Amurrio,16.8
2023,,,,Amurrio,W_PER_CAPITA,Amurrio,54.7
2013,,,,Amurrio,W_PER_CAPITA,Amurrio,16.5
2010,,,,Amurrio,W_PER_CAPITA,Amurrio,15.9
2012,,,,Amurrio,W_PER_CAPITA,Amurrio,16.7
2019,,,,Amurrio,W_PER_CAPITA,Amurrio,23.1
2016,,,,Amurrio,W_PER_CAPITA,Amurrio,18.1
2022,,,,Andoain,W_PER_CAPITA,Andoain,375.3
2023,,,,Andoain,W_PER_CAPITA,Andoain,402.5
2014,,,,Andoain,W_PER_CAPITA,Andoain,357.9
2017,,,,Andoain,W_PER_CAPITA,Andoain,356.7
2015,,,,Andoain,W_PER_CAPITA,Andoain,359.2
2010,,,,Andoain,W_PER_CAPITA,Andoain,355.8
2012,,,,Andoain,W_PER_CAPITA,Andoain,358.0
2011,,,,Andoain,W_PER_CAPITA,Andoain,355.3
2021,,,,Andoain,W_PER_CAPITA,Andoain,375.2
2020,,,,Andoain,W_PER_CAPITA,Andoain,359.7
2018,,,,Andoain,W_PER_CAPITA,Andoain,356.4
2019,,,,Andoain,W_PER_CAPITA,Andoain,356.8
2016,,,,Andoain,W_PER_CAPITA,Andoain,356.8
2013,,,,Andoain,W_PER_CAPITA,Andoain,357.6
2013,,,,Anoeta,W_PER_CAPITA,Anoeta,183.5
2010,,,,Anoeta,W_PER_CAPITA,Anoeta,155.8
2022,,,,Anoeta,W_PER_CAPITA,Anoeta,225.4
2011,,,,Anoeta,W_PER_CAPITA,Anoeta,156.4
2015,,,,Anoeta,W_PER_CAPITA,Anoeta,175.5
2014,,,,Anoeta,W_PER_CAPITA,Anoeta,178.7
2020,,,,Anoeta,W_PER_CAPITA,Anoeta,174.0
2017,,,,Anoeta,W_PER_CAPITA,Anoeta,176.7
2012,,,,Anoeta,W_PER_CAPITA,Anoeta,183.6
2019,,,,Anoeta,W_PER_CAPITA,Anoeta,172.6
2021,,,,Anoeta,W_PER_CAPITA,Anoeta,227.3
2016,,,,Anoeta,W_PER_CAPITA,Anoeta,177.4
2018,,,,Anoeta,W_PER_CAPITA,Anoeta,172.1
2023,,,,Anoeta,W_PER_CAPITA,Anoeta,309.2
2019,,,,Antzuola,W_PER_CAPITA,Antzuola,14.0
2017,,,,Antzuola,W_PER_CAPITA,Antzuola,11.1
