Year,Series,Valor,Territorio,Comarca,Municipio,Units,GeoCode,Value
2022,NV_IND_MANF,CLV15,ES211,,,PT,ES211,25
2016,NV_IND_MANFPC,CLV15,ES211,,,EUR_PER_CAPITA,ES211,9394.4
2015,NV_IND_MANFPC,CLV15,ES211,,,EUR_PER_CAPITA,ES211,9128.8
2021,NV_IND_MANFPC,CLV15,ES211,,,EUR_PER_CAPITA,ES211,8710.3
2018,NV_IND_MANFPC,CLV15,ES211,,,EUR_PER_CAPITA,ES211,9537.7
2019,NV_IND_MANF,CLV15,ES211,,,PT,ES211,25.1
2020,NV_IND_MANF,CLV15,ES211,,,PT,ES211,24
2020,NV_IND_MANFPC,CLV15,ES211,,,EUR_PER_CAPITA,ES211,7977.7
2011,NV_IND_MANFPC,CLV15,ES211,,,EUR_PER_CAPITA,ES211,9004.5
2022,NV_IND_MANFPC,CLV15,ES211,,,EUR_PER_CAPITA,ES211,9162.6
2013,NV_IND_MANF,CLV15,ES211,,,PT,ES211,25.7
2010,NV_IND_MANFPC,CLV15,ES211,,,EUR_PER_CAPITA,ES211,8657
2010,NV_IND_MANF,CLV15,ES211,,,PT,ES211,25
2014,NV_IND_MANF,CLV15,ES211,,,PT,ES211,26.2
2016,NV_IND_MANF,CLV15,ES211,,,PT,ES211,26.3
2022,NV_IND_MANF,CLV15,ES213,,,PT,ES213,13
2014,NV_IND_MANFPC,CLV15,ES213,,,EUR_PER_CAPITA,ES213,4145.6
2010,NV_IND_MANF,CLV15,ES213,,,PT,ES213,14.7
2013,NV_IND_MANFPC,CLV15,ES213,,,EUR_PER_CAPITA,ES213,4013.4
2021,NV_IND_MANF,CLV15,ES213,,,PT,ES213,13.5
2015,NV_IND_MANF,CLV15,ES213,,,PT,ES213,14.1
2018,NV_IND_MANF,CLV15,ES213,,,PT,ES213,14.1
2022,NV_IND_MANFPC,CLV15,ES213,,,EUR_PER_CAPITA,ES213,4541.4
2017,NV_IND_MANF,CLV15,ES213,,,PT,ES213,14.4
2020,NV_IND_MANFPC,CLV15,ES213,,,EUR_PER_CAPITA,ES213,4106.4
2013,NV_IND_MANF,CLV15,ES213,,,PT,ES213,13.9
2016,NV_IND_MANF,CLV15,ES213,,,PT,ES213,14.4
2018,NV_IND_MANFPC,CLV15,ES213,,,EUR_PER_CAPITA,ES213,4698.7
2021,NV_IND_MANFPC,CLV15,ES213,,,EUR_PER_CAPITA,ES213,4420.2
