Year,Series,Valor,Territorio,Comarca,Municipio,Units,GeoCode,Value
2014,NV_IND_MANFPC,NOM,,,ES48090,EUR_PER_CAPITA,ES48090,3186.4
2021,NV_IND_MANF,NOM,,,ES48090,PT,ES48090,14
2021,NV_IND_MANFPC,NOM,,,ES48090,EUR_PER_CAPITA,ES48090,2489.9
2019,NV_IND_MANF,NOM,,,ES48090,PT,ES48090,13.4
2015,NV_IND_MANF,NOM,,,ES48090,PT,ES48090,14.1
2015,NV_IND_MANFPC,NOM,,,ES48090,EUR_PER_CAPITA,ES48090,2788.5
2020,NV_IND_MANF,NOM,,,ES48090,PT,ES48090,12.1
2016,NV_IND_MANFPC,NOM,,,ES48090,EUR_PER_CAPITA,ES48090,2764
2018,NV_IND_MANF,NOM,,,ES48090,PT,ES48090,11.6
2014,NV_IND_MANF,NOM,,,ES48090,PT,ES48090,17.8
2016,NV_IND_MANF,NOM,,,ES48090,PT,ES48090,14.5
2017,NV_IND_MANF,NOM,,,ES48090,PT,ES48090,13.9
2018,NV_IND_MANFPC,NOM,,,ES48090,EUR_PER_CAPITA,ES48090,2065.8
2021,NV_IND_MANF,NOM,,,ES01011,PT,ES01011,37.5
2019,NV_IND_MANF,NOM,,,ES01011,PT,ES01011,42.4
2014,NV_IND_MANFPC,NOM,,,ES01011,EUR_PER_CAPITA,ES01011,17279.3
2021,NV_IND_MANFPC,NOM,,,ES01011,EUR_PER_CAPITA,ES01011,13210.2
2014,NV_IND_MANF,NOM,,,ES01011,PT,ES01011,50
2017,NV_IND_MANFPC,NOM,,,ES01011,EUR_PER_CAPITA,ES01011,20184.1
2020,NV_IND_MANF,NOM,,,ES01011,PT,ES01011,34.9
2015,NV_IND_MANF,NOM,,,ES01011,PT,ES01011,47.8
2018,NV_IND_MANFPC,NOM,,,ES01011,EUR_PER_CAPITA,ES01011,23052
2018,NV_IND_MANF,NOM,,,ES01011,PT,ES01011,43.5
2019,NV_IND_MANFPC,NOM,,,ES01011,EUR_PER_CAPITA,ES01011,18347.8
2016,NV_IND_MANF,NOM,,,ES01011,PT,ES01011,43.4
2016,NV_IND_MANFPC,NOM,,,ES01011,EUR_PER_CAPITA,ES01011,21759.1
2017,NV_IND_MANF,NOM,,,ES01011,PT,ES01011,41.2
2020,NV_IND_MANFPC,NOM,,,ES01011,EUR_PER_CAPITA,ES01011,10336.5
2015,NV_IND_MANFPC,NOM,,,ES01011,EUR_PER_CAPITA,ES01011,19725.7
2017,NV_IND_MANF,NOM,,,ES48013,PT,ES48013,4.9
2019,NV_IND_MANF,NOM,,,ES48013,PT,ES48013,4.3
2014,NV_IND_MANF,NOM,,,ES48013,PT,ES48013,4
2018,NV_IND_MANF,NOM,,,ES48013,PT,ES48013,4.3
2014,NV_IND_MANFPC,NOM,,,ES48013,EUR_PER_CAPITA,ES48013,918.3
2021,NV_IND_MANF,NOM,,,ES48013,PT,ES48013,3.5
2016,NV_IND_MANF,NOM,,,ES48013,PT,ES48013,4.3
2015,NV_IND_MANF,NOM,,,ES48013,PT,ES48013,3.6
2020,NV_IND_MANF,NOM,,,ES48013,PT,ES48013,3.8
2019,NV_IND_MANFPC,NOM,,,ES48013,EUR_PER_CAPITA,ES48013,1088.2
2017,NV_IND_MANFPC,NOM,,,ES48013,EUR_PER_CAPITA,ES48013,1185.4
2020,NV_IND_MANFPC,NOM,,,ES48013,EUR_PER_CAPITA,ES48013,880.7
2021,NV_IND_MANFPC,NOM,,,ES48013,EUR_PER_CAPITA,ES48013,851.5
2015,NV_IND_MANFPC,NOM,,,ES48013,EUR_PER_CAPITA,ES48013,869.6
2016,NV_IND_MANFPC,NOM,,,ES48013,EUR_PER_CAPITA,ES48013,1024.6
2018,NV_IND_MANFPC,NOM,,,ES48013,EUR_PER_CAPITA,ES48013,1061.6
2017,NV_IND_MANFPC,NOM,,,ES48014,EUR_PER_CAPITA,ES48014,305.9
2019,NV_IND_MANF,NOM,,,ES48014,PT,ES48014,0.3
2015,NV_IND_MANF,NOM,,,ES48014,PT,ES48014,1.9
2014,NV_IND_MANFPC,NOM,,,ES48014,EUR_PER_CAPITA,ES48014,327.6
2019,NV_IND_MANFPC,NOM,,,ES48014,EUR_PER_CAPITA,ES48014,45.8
2020,NV_IND_MANF,NOM,,,ES48014,PT,ES48014,0.1
2021,NV_IND_MANF,NOM,,,ES48014,PT,ES48014,0.4
2018,NV_IND_MANFPC,NOM,,,ES48014,EUR_PER_CAPITA,ES48014,81
2015,NV_IND_MANFPC,NOM,,,ES48014,EUR_PER_CAPITA,ES48014,271.3
2020,NV_IND_MANFPC,NOM,,,ES48014,EUR_PER_CAPITA,ES48014,11.5
2021,NV_IND_MANFPC,NOM,,,ES48014,EUR_PER_CAPITA,ES48014,66.8
2018,NV_IND_MANF,NOM,,,ES48014,PT,ES48014,0.6
2014,NV_IND_MANF,NOM,,,ES48014,PT,ES48014,2.3
2016,NV_IND_MANF,NOM,,,ES48014,PT,ES48014,1.3
2017,NV_IND_MANF,NOM,,,ES48014,PT,ES48014,2.1
2016,NV_IND_MANFPC,NOM,,,ES48014,EUR_PER_CAPITA,ES48014,193.6
2021,NV_IND_MANFPC,NOM,,,ES01013,EUR_PER_CAPITA,ES01013,406.4
2019,NV_IND_MANF,NOM,,,ES01013,PT,ES01013,7.1
2021,NV_IND_MANF,NOM,,,ES01013,PT,ES01013,2.7
2016,NV_IND_MANF,NOM,,,ES01013,PT,ES01013,7.2
2016,NV_IND_MANFPC,NOM,,,ES01013,EUR_PER_CAPITA,ES01013,1218.4
2015,NV_IND_MANFPC,NOM,,,ES01013,EUR_PER_CAPITA,ES01013,1846.4
2014,NV_IND_MANFPC,NOM,,,ES01013,EUR_PER_CAPITA,ES01013,860.2
2020,NV_IND_MANFPC,NOM,,,ES01013,EUR_PER_CAPITA,ES01013,361.7
2019,NV_IND_MANFPC,NOM,,,ES01013,EUR_PER_CAPITA,ES01013,1123
2015,NV_IND_MANF,NOM,,,ES01013,PT,ES01013,10.3
2018,NV_IND_MANF,NOM,,,ES01013,PT,ES01013,4.5
2018,NV_IND_MANFPC,NOM,,,ES01013,EUR_PER_CAPITA,ES01013,777.6
2014,NV_IND_MANF,NOM,,,ES01013,PT,ES01013,5.6
2017,NV_IND_MANFPC,NOM,,,ES01013,EUR_PER_CAPITA,ES01013,903.8
2020,NV_IND_MANF,NOM,,,ES01013,PT,ES01013,2.6
2017,NV_IND_MANF,NOM,,,ES01013,PT,ES01013,5.8
2020,NV_IND_MANF,NOM,,,ES48015,PT,ES48015,16.9
2014,NV_IND_MANF,NOM,,,ES48015,PT,ES48015,19.6
2019,NV_IND_MANF,NOM,,,ES48015,PT,ES48015,19
2021,NV_IND_MANF,NOM,,,ES48015,PT,ES48015,19.8
2018,NV_IND_MANFPC,NOM,,,ES48015,EUR_PER_CAPITA,ES48015,6513
2015,NV_IND_MANFPC,NOM,,,ES48015,EUR_PER_CAPITA,ES48015,5061.9
2016,NV_IND_MANFPC,NOM,,,ES48015,EUR_PER_CAPITA,ES48015,5099.4
2020,NV_IND_MANFPC,NOM,,,ES48015,EUR_PER_CAPITA,ES48015,4809.3
2021,NV_IND_MANFPC,NOM,,,ES48015,EUR_PER_CAPITA,ES48015,6206.7
2019,NV_IND_MANFPC,NOM,,,ES48015,EUR_PER_CAPITA,ES48015,6084.1
2015,NV_IND_MANF,NOM,,,ES48015,PT,ES48015,18.5
2016,NV_IND_MANF,NOM,,,ES48015,PT,ES48015,17.9
2017,NV_IND_MANF,NOM,,,ES48015,PT,ES48015,18.9
2014,NV_IND_MANFPC,NOM,,,ES48015,EUR_PER_CAPITA,ES48015,5368.7
2017,NV_IND_MANFPC,NOM,,,ES48015,EUR_PER_CAPITA,ES48015,5621.7
2018,NV_IND_MANF,NOM,,,ES48015,PT,ES48015,20.6
2017,NV_IND_MANF,NOM,,,ES20019,PT,ES20019,56.5
2016,NV_IND_MANF,NOM,,,ES20019,PT,ES20019,53.1
2014,NV_IND_MANF,NOM,,,ES20019,PT,ES20019,52.2
2019,NV_IND_MANFPC,NOM,,,ES20019,EUR_PER_CAPITA,ES20019,37125.6
2015,NV_IND_MANF,NOM,,,ES20019,PT,ES20019,53
2021,NV_IND_MANFPC,NOM,,,ES20019,EUR_PER_CAPITA,ES20019,35957.3
2015,NV_IND_MANFPC,NOM,,,ES20019,EUR_PER_CAPITA,ES20019,24038.4
2018,NV_IND_MANF,NOM,,,ES20019,PT,ES20019,58.2
2017,NV_IND_MANFPC,NOM,,,ES20019,EUR_PER_CAPITA,ES20019,29404.1
2018,NV_IND_MANFPC,NOM,,,ES20019,EUR_PER_CAPITA,ES20019,36131.1
2020,NV_IND_MANF,NOM,,,ES20019,PT,ES20019,58.9
2019,NV_IND_MANF,NOM,,,ES20019,PT,ES20019,57.7
2020,NV_IND_MANFPC,NOM,,,ES20019,EUR_PER_CAPITA,ES20019,33875.5
2014,NV_IND_MANFPC,NOM,,,ES20019,EUR_PER_CAPITA,ES20019,22879.9
2021,NV_IND_MANF,NOM,,,ES20019,PT,ES20019,57.2
2016,NV_IND_MANFPC,NOM,,,ES20019,EUR_PER_CAPITA,ES20019,24080.6
2021,NV_IND_MANF,NOM,,,ES48092,PT,ES48092,39.5
2020,NV_IND_MANFPC,NOM,,,ES48092,EUR_PER_CAPITA,ES48092,15290
2015,NV_IND_MANFPC,NOM,,,ES48092,EUR_PER_CAPITA,ES48092,19225.4
2019,NV_IND_MANFPC,NOM,,,ES48092,EUR_PER_CAPITA,ES48092,20794.1
2018,NV_IND_MANFPC,NOM,,,ES48092,EUR_PER_CAPITA,ES48092,19126.8
2021,NV_IND_MANFPC,NOM,,,ES48092,EUR_PER_CAPITA,ES48092,18475.4
2020,NV_IND_MANF,NOM,,,ES48092,PT,ES48092,35.1
2015,NV_IND_MANF,NOM,,,ES48092,PT,ES48092,45.6
2014,NV_IND_MANFPC,NOM,,,ES48092,EUR_PER_CAPITA,ES48092,17889.2
2016,NV_IND_MANF,NOM,,,ES48092,PT,ES48092,44.2
2017,NV_IND_MANF,NOM,,,ES48092,PT,ES48092,40.7
2016,NV_IND_MANFPC,NOM,,,ES48092,EUR_PER_CAPITA,ES48092,21282.6
2014,NV_IND_MANF,NOM,,,ES48092,PT,ES48092,42.6
2019,NV_IND_MANF,NOM,,,ES48092,PT,ES48092,39.1
2017,NV_IND_MANFPC,NOM,,,ES48092,EUR_PER_CAPITA,ES48092,18783
2018,NV_IND_MANF,NOM,,,ES48092,PT,ES48092,40.9
2017,NV_IND_MANF,NOM,,,ES20020,PT,ES20020,8.9
2017,NV_IND_MANFPC,NOM,,,ES20020,EUR_PER_CAPITA,ES20020,2133.9
2016,NV_IND_MANF,NOM,,,ES20020,PT,ES20020,9.6
2016,NV_IND_MANFPC,NOM,,,ES20020,EUR_PER_CAPITA,ES20020,1928.3
2014,NV_IND_MANF,NOM,,,ES20020,PT,ES20020,7.1
2014,NV_IND_MANFPC,NOM,,,ES20020,EUR_PER_CAPITA,ES20020,1349
2020,NV_IND_MANFPC,NOM,,,ES20020,EUR_PER_CAPITA,ES20020,4380.2
2015,NV_IND_MANFPC,NOM,,,ES20020,EUR_PER_CAPITA,ES20020,1298.8
2019,NV_IND_MANFPC,NOM,,,ES20020,EUR_PER_CAPITA,ES20020,2491.8
2019,NV_IND_MANF,NOM,,,ES20020,PT,ES20020,10.9
2020,NV_IND_MANF,NOM,,,ES20020,PT,ES20020,19.2
2018,NV_IND_MANF,NOM,,,ES20020,PT,ES20020,9.9
2021,NV_IND_MANFPC,NOM,,,ES20020,EUR_PER_CAPITA,ES20020,3834.8
2021,NV_IND_MANF,NOM,,,ES20020,PT,ES20020,15.1
2018,NV_IND_MANFPC,NOM,,,ES20020,EUR_PER_CAPITA,ES20020,2177.4
2015,NV_IND_MANF,NOM,,,ES20020,PT,ES20020,6.4
2018,NV_IND_MANFPC,NOM,,,ES20021,EUR_PER_CAPITA,ES20021,64197.7
2020,NV_IND_MANFPC,NOM,,,ES20021,EUR_PER_CAPITA,ES20021,58893.1
2017,NV_IND_MANF,NOM,,,ES20021,PT,ES20021,63.9
2015,NV_IND_MANFPC,NOM,,,ES20021,EUR_PER_CAPITA,ES20021,51288.2
2017,NV_IND_MANFPC,NOM,,,ES20021,EUR_PER_CAPITA,ES20021,54978.6
2016,NV_IND_MANF,NOM,,,ES20021,PT,ES20021,62.2
2021,NV_IND_MANF,NOM,,,ES20021,PT,ES20021,63.3
2016,NV_IND_MANFPC,NOM,,,ES20021,EUR_PER_CAPITA,ES20021,48627.5
2019,NV_IND_MANFPC,NOM,,,ES20021,EUR_PER_CAPITA,ES20021,58042.4
2019,NV_IND_MANF,NOM,,,ES20021,PT,ES20021,62.2
2014,NV_IND_MANF,NOM,,,ES20021,PT,ES20021,55
2018,NV_IND_MANF,NOM,,,ES20021,PT,ES20021,65.6
2021,NV_IND_MANFPC,NOM,,,ES20021,EUR_PER_CAPITA,ES20021,59275
2020,NV_IND_MANF,NOM,,,ES20021,PT,ES20021,63.4
2015,NV_IND_MANF,NOM,,,ES20021,PT,ES20021,64.8
2014,NV_IND_MANFPC,NOM,,,ES20021,EUR_PER_CAPITA,ES20021,34470.1
2018,NV_IND_MANFPC,NOM,,,ES48016,EUR_PER_CAPITA,ES48016,2743.1
2015,NV_IND_MANF,NOM,,,ES48016,PT,ES48016,19.8
2019,NV_IND_MANF,NOM,,,ES48016,PT,ES48016,16
2017,NV_IND_MANFPC,NOM,,,ES48016,EUR_PER_CAPITA,ES48016,2636.2
2020,NV_IND_MANFPC,NOM,,,ES48016,EUR_PER_CAPITA,ES48016,3628.3
2021,NV_IND_MANFPC,NOM,,,ES48016,EUR_PER_CAPITA,ES48016,3193.1
2018,NV_IND_MANF,NOM,,,ES48016,PT,ES48016,14.5
2019,NV_IND_MANFPC,NOM,,,ES48016,EUR_PER_CAPITA,ES48016,3050.7
2016,NV_IND_MANFPC,NOM,,,ES48016,EUR_PER_CAPITA,ES48016,3840
2021,NV_IND_MANF,NOM,,,ES48016,PT,ES48016,11.6
2015,NV_IND_MANFPC,NOM,,,ES48016,EUR_PER_CAPITA,ES48016,3857.6
2014,NV_IND_MANF,NOM,,,ES48016,PT,ES48016,23.8
2020,NV_IND_MANF,NOM,,,ES48016,PT,ES48016,19.9
2016,NV_IND_MANF,NOM,,,ES48016,PT,ES48016,19.9
2017,NV_IND_MANF,NOM,,,ES48016,PT,ES48016,14.7
2014,NV_IND_MANFPC,NOM,,,ES48016,EUR_PER_CAPITA,ES48016,4338.7
2019,NV_IND_MANFPC,NOM,,,ES01014,EUR_PER_CAPITA,ES01014,122415.4
2018,NV_IND_MANFPC,NOM,,,ES01014,EUR_PER_CAPITA,ES01014,106684.5
2016,NV_IND_MANF,NOM,,,ES01014,PT,ES01014,64.2
2016,NV_IND_MANFPC,NOM,,,ES01014,EUR_PER_CAPITA,ES01014,97015.7
2020,NV_IND_MANF,NOM,,,ES01014,PT,ES01014,67.3
2019,NV_IND_MANF,NOM,,,ES01014,PT,ES01014,67.5
2020,NV_IND_MANFPC,NOM,,,ES01014,EUR_PER_CAPITA,ES01014,91182.8
2014,NV_IND_MANFPC,NOM,,,ES01014,EUR_PER_CAPITA,ES01014,102959.5
2015,NV_IND_MANF,NOM,,,ES01014,PT,ES01014,64.3
2017,NV_IND_MANF,NOM,,,ES01014,PT,ES01014,65.5
2015,NV_IND_MANFPC,NOM,,,ES01014,EUR_PER_CAPITA,ES01014,90691.2
2014,NV_IND_MANF,NOM,,,ES01014,PT,ES01014,70.3
2017,NV_IND_MANFPC,NOM,,,ES01014,EUR_PER_CAPITA,ES01014,111061.3
2018,NV_IND_MANF,NOM,,,ES01014,PT,ES01014,66.3
2021,NV_IND_MANFPC,NOM,,,ES01014,EUR_PER_CAPITA,ES01014,80740.2
2021,NV_IND_MANF,NOM,,,ES01014,PT,ES01014,64.3
2015,NV_IND_MANF,NOM,,,ES20022,PT,ES20022,55.5
2021,NV_IND_MANFPC,NOM,,,ES20022,EUR_PER_CAPITA,ES20022,17789.7
2016,NV_IND_MANF,NOM,,,ES20022,PT,ES20022,54.5
2016,NV_IND_MANFPC,NOM,,,ES20022,EUR_PER_CAPITA,ES20022,17566.5
2014,NV_IND_MANF,NOM,,,ES20022,PT,ES20022,55.1
2019,NV_IND_MANFPC,NOM,,,ES20022,EUR_PER_CAPITA,ES20022,14604.3
2014,NV_IND_MANFPC,NOM,,,ES20022,EUR_PER_CAPITA,ES20022,17017.7
2020,NV_IND_MANF,NOM,,,ES20022,PT,ES20022,47.5
2017,NV_IND_MANF,NOM,,,ES20022,PT,ES20022,51
2018,NV_IND_MANF,NOM,,,ES20022,PT,ES20022,54.1
2021,NV_IND_MANF,NOM,,,ES20022,PT,ES20022,49.9
2017,NV_IND_MANFPC,NOM,,,ES20022,EUR_PER_CAPITA,ES20022,15084.4
2015,NV_IND_MANFPC,NOM,,,ES20022,EUR_PER_CAPITA,ES20022,16774
2019,NV_IND_MANF,NOM,,,ES20022,PT,ES20022,49.1
2018,NV_IND_MANFPC,NOM,,,ES20022,EUR_PER_CAPITA,ES20022,16151.6
2020,NV_IND_MANFPC,NOM,,,ES20022,EUR_PER_CAPITA,ES20022,13806.1
2018,NV_IND_MANF,NOM,,,ES20074,PT,ES20074,40.9
2018,NV_IND_MANFPC,NOM,,,ES20074,EUR_PER_CAPITA,ES20074,14141.2
2014,NV_IND_MANFPC,NOM,,,ES20074,EUR_PER_CAPITA,ES20074,13111.8
2015,NV_IND_MANF,NOM,,,ES20074,PT,ES20074,39.3
2019,NV_IND_MANF,NOM,,,ES20074,PT,ES20074,41.1
2021,NV_IND_MANF,NOM,,,ES20074,PT,ES20074,43.4
2021,NV_IND_MANFPC,NOM,,,ES20074,EUR_PER_CAPITA,ES20074,16282.1
2016,NV_IND_MANFPC,NOM,,,ES20074,EUR_PER_CAPITA,ES20074,11199.1
2019,NV_IND_MANFPC,NOM,,,ES20074,EUR_PER_CAPITA,ES20074,14270.2
2017,NV_IND_MANFPC,NOM,,,ES20074,EUR_PER_CAPITA,ES20074,12307.6
2020,NV_IND_MANFPC,NOM,,,ES20074,EUR_PER_CAPITA,ES20074,12629.2
2020,NV_IND_MANF,NOM,,,ES20074,PT,ES20074,39.6
2017,NV_IND_MANF,NOM,,,ES20074,PT,ES20074,38.3
2016,NV_IND_MANF,NOM,,,ES20074,PT,ES20074,36.9
2015,NV_IND_MANFPC,NOM,,,ES20074,EUR_PER_CAPITA,ES20074,11663.7
2014,NV_IND_MANF,NOM,,,ES20074,PT,ES20074,41
2014,NV_IND_MANF,NOM,,,ES48017,PT,ES48017,10.3
2019,NV_IND_MANF,NOM,,,ES48017,PT,ES48017,8.5
2014,NV_IND_MANFPC,NOM,,,ES48017,EUR_PER_CAPITA,ES48017,2557.3
2020,NV_IND_MANFPC,NOM,,,ES48017,EUR_PER_CAPITA,ES48017,2191.8
2020,NV_IND_MANF,NOM,,,ES48017,PT,ES48017,8.6
2021,NV_IND_MANF,NOM,,,ES48017,PT,ES48017,7.2
2017,NV_IND_MANF,NOM,,,ES48017,PT,ES48017,9.2
2018,NV_IND_MANFPC,NOM,,,ES48017,EUR_PER_CAPITA,ES48017,2529
2015,NV_IND_MANFPC,NOM,,,ES48017,EUR_PER_CAPITA,ES48017,2427.6
2019,NV_IND_MANFPC,NOM,,,ES48017,EUR_PER_CAPITA,ES48017,2485.5
2021,NV_IND_MANFPC,NOM,,,ES48017,EUR_PER_CAPITA,ES48017,2253.9
2016,NV_IND_MANF,NOM,,,ES48017,PT,ES48017,9.7
2018,NV_IND_MANF,NOM,,,ES48017,PT,ES48017,8.8
2015,NV_IND_MANF,NOM,,,ES48017,PT,ES48017,9.1
2016,NV_IND_MANFPC,NOM,,,ES48017,EUR_PER_CAPITA,ES48017,2574.3
2017,NV_IND_MANFPC,NOM,,,ES48017,EUR_PER_CAPITA,ES48017,2820.2
2016,NV_IND_MANF,NOM,,,ES01016,PT,ES01016,19
2016,NV_IND_MANFPC,NOM,,,ES01016,EUR_PER_CAPITA,ES01016,18942.9
2018,NV_IND_MANF,NOM,,,ES01016,PT,ES01016,23.9
2020,NV_IND_MANF,NOM,,,ES01016,PT,ES01016,22.5
2017,NV_IND_MANF,NOM,,,ES01016,PT,ES01016,17.8
2021,NV_IND_MANF,NOM,,,ES01016,PT,ES01016,20.1
2015,NV_IND_MANFPC,NOM,,,ES01016,EUR_PER_CAPITA,ES01016,20601.5
2018,NV_IND_MANFPC,NOM,,,ES01016,EUR_PER_CAPITA,ES01016,25656.2
2014,NV_IND_MANF,NOM,,,ES01016,PT,ES01016,19.6
2020,NV_IND_MANFPC,NOM,,,ES01016,EUR_PER_CAPITA,ES01016,24712.7
2015,NV_IND_MANF,NOM,,,ES01016,PT,ES01016,20.9
2021,NV_IND_MANFPC,NOM,,,ES01016,EUR_PER_CAPITA,ES01016,20194.9
2019,NV_IND_MANFPC,NOM,,,ES01016,EUR_PER_CAPITA,ES01016,19165.2
2017,NV_IND_MANFPC,NOM,,,ES01016,EUR_PER_CAPITA,ES01016,16980.3
2014,NV_IND_MANFPC,NOM,,,ES01016,EUR_PER_CAPITA,ES01016,17644.8
2019,NV_IND_MANF,NOM,,,ES01016,PT,ES01016,18.2
2016,NV_IND_MANFPC,NOM,,,ES48018,EUR_PER_CAPITA,ES48018,54379.8
2017,NV_IND_MANF,NOM,,,ES48018,PT,ES48018,69
2016,NV_IND_MANF,NOM,,,ES48018,PT,ES48018,67.2
2018,NV_IND_MANFPC,NOM,,,ES48018,EUR_PER_CAPITA,ES48018,53929
2014,NV_IND_MANFPC,NOM,,,ES48018,EUR_PER_CAPITA,ES48018,49550
2015,NV_IND_MANFPC,NOM,,,ES48018,EUR_PER_CAPITA,ES48018,51463.7
2017,NV_IND_MANFPC,NOM,,,ES48018,EUR_PER_CAPITA,ES48018,59434.6
2021,NV_IND_MANFPC,NOM,,,ES48018,EUR_PER_CAPITA,ES48018,38943.3
2018,NV_IND_MANF,NOM,,,ES48018,PT,ES48018,66.2
2015,NV_IND_MANF,NOM,,,ES48018,PT,ES48018,66.5
2019,NV_IND_MANF,NOM,,,ES48018,PT,ES48018,67.6
2020,NV_IND_MANF,NOM,,,ES48018,PT,ES48018,65.3
2014,NV_IND_MANF,NOM,,,ES48018,PT,ES48018,67.6
2020,NV_IND_MANFPC,NOM,,,ES48018,EUR_PER_CAPITA,ES48018,43491.4
2019,NV_IND_MANFPC,NOM,,,ES48018,EUR_PER_CAPITA,ES48018,55303
2021,NV_IND_MANF,NOM,,,ES48018,PT,ES48018,65.6
2015,NV_IND_MANF,NOM,,,ES48019,PT,ES48019,54.1
2018,NV_IND_MANF,NOM,,,ES48019,PT,ES48019,53.9
2020,NV_IND_MANF,NOM,,,ES48019,PT,ES48019,49.2
2017,NV_IND_MANF,NOM,,,ES48019,PT,ES48019,54.8
2019,NV_IND_MANF,NOM,,,ES48019,PT,ES48019,52.5
2018,NV_IND_MANFPC,NOM,,,ES48019,EUR_PER_CAPITA,ES48019,21167.4
2015,NV_IND_MANFPC,NOM,,,ES48019,EUR_PER_CAPITA,ES48019,19076.1
2019,NV_IND_MANFPC,NOM,,,ES48019,EUR_PER_CAPITA,ES48019,20557.7
2021,NV_IND_MANFPC,NOM,,,ES48019,EUR_PER_CAPITA,ES48019,19178
2020,NV_IND_MANFPC,NOM,,,ES48019,EUR_PER_CAPITA,ES48019,16283.6
2016,NV_IND_MANFPC,NOM,,,ES48019,EUR_PER_CAPITA,ES48019,21315.4
2017,NV_IND_MANFPC,NOM,,,ES48019,EUR_PER_CAPITA,ES48019,20970.5
2014,NV_IND_MANFPC,NOM,,,ES48019,EUR_PER_CAPITA,ES48019,18621.2
2014,NV_IND_MANF,NOM,,,ES48019,PT,ES48019,54.8
2016,NV_IND_MANF,NOM,,,ES48019,PT,ES48019,54.6
2021,NV_IND_MANF,NOM,,,ES48019,PT,ES48019,49.9
2020,NV_IND_MANF,NOM,,,ES20023,PT,ES20023,26.4
2014,NV_IND_MANFPC,NOM,,,ES20023,EUR_PER_CAPITA,ES20023,2830.4
2018,NV_IND_MANF,NOM,,,ES20023,PT,ES20023,30.2
2014,NV_IND_MANF,NOM,,,ES20023,PT,ES20023,21.9
2015,NV_IND_MANFPC,NOM,,,ES20023,EUR_PER_CAPITA,ES20023,2839.3
2019,NV_IND_MANF,NOM,,,ES20023,PT,ES20023,26.9
2015,NV_IND_MANF,NOM,,,ES20023,PT,ES20023,22.3
2016,NV_IND_MANFPC,NOM,,,ES20023,EUR_PER_CAPITA,ES20023,2765.4
2021,NV_IND_MANF,NOM,,,ES20023,PT,ES20023,20.1
2018,NV_IND_MANFPC,NOM,,,ES20023,EUR_PER_CAPITA,ES20023,4434.1
2021,NV_IND_MANFPC,NOM,,,ES20023,EUR_PER_CAPITA,ES20023,2594.5
2017,NV_IND_MANF,NOM,,,ES20023,PT,ES20023,23.1
2016,NV_IND_MANF,NOM,,,ES20023,PT,ES20023,22.1
2020,NV_IND_MANFPC,NOM,,,ES20023,EUR_PER_CAPITA,ES20023,3422.7
2019,NV_IND_MANFPC,NOM,,,ES20023,EUR_PER_CAPITA,ES20023,3869.5
2017,NV_IND_MANFPC,NOM,,,ES20023,EUR_PER_CAPITA,ES20023,3054.3
2021,NV_IND_MANFPC,NOM,,,ES20024,EUR_PER_CAPITA,ES20024,6905.3
2015,NV_IND_MANF,NOM,,,ES20024,PT,ES20024,28.3
2019,NV_IND_MANF,NOM,,,ES20024,PT,ES20024,30.8
2014,NV_IND_MANFPC,NOM,,,ES20024,EUR_PER_CAPITA,ES20024,4695.4
2016,NV_IND_MANFPC,NOM,,,ES20024,EUR_PER_CAPITA,ES20024,4854.2
2016,NV_IND_MANF,NOM,,,ES20024,PT,ES20024,27.8
2017,NV_IND_MANF,NOM,,,ES20024,PT,ES20024,32
2019,NV_IND_MANFPC,NOM,,,ES20024,EUR_PER_CAPITA,ES20024,6000
2021,NV_IND_MANF,NOM,,,ES20024,PT,ES20024,32.2
2018,NV_IND_MANF,NOM,,,ES20024,PT,ES20024,29.5
2014,NV_IND_MANF,NOM,,,ES20024,PT,ES20024,25.3
2015,NV_IND_MANFPC,NOM,,,ES20024,EUR_PER_CAPITA,ES20024,5128
2018,NV_IND_MANFPC,NOM,,,ES20024,EUR_PER_CAPITA,ES20024,5236.4
2020,NV_IND_MANFPC,NOM,,,ES20024,EUR_PER_CAPITA,ES20024,5812.2
2017,NV_IND_MANFPC,NOM,,,ES20024,EUR_PER_CAPITA,ES20024,6140.1
2020,NV_IND_MANF,NOM,,,ES20024,PT,ES20024,33
2018,NV_IND_MANFPC,NOM,,,ES48020,EUR_PER_CAPITA,ES48020,708.5
2021,NV_IND_MANF,NOM,,,ES48020,PT,ES48020,1.5
2018,NV_IND_MANF,NOM,,,ES48020,PT,ES48020,2
2020,NV_IND_MANF,NOM,,,ES48020,PT,ES48020,1.5
2016,NV_IND_MANF,NOM,,,ES48020,PT,ES48020,2
2015,NV_IND_MANF,NOM,,,ES48020,PT,ES48020,2.2
2014,NV_IND_MANF,NOM,,,ES48020,PT,ES48020,2.4
2017,NV_IND_MANF,NOM,,,ES48020,PT,ES48020,2.1
2014,NV_IND_MANFPC,NOM,,,ES48020,EUR_PER_CAPITA,ES48020,727.6
2016,NV_IND_MANFPC,NOM,,,ES48020,EUR_PER_CAPITA,ES48020,653
2020,NV_IND_MANFPC,NOM,,,ES48020,EUR_PER_CAPITA,ES48020,497.9
2015,NV_IND_MANFPC,NOM,,,ES48020,EUR_PER_CAPITA,ES48020,685.2
2019,NV_IND_MANFPC,NOM,,,ES48020,EUR_PER_CAPITA,ES48020,667.1
2021,NV_IND_MANFPC,NOM,,,ES48020,EUR_PER_CAPITA,ES48020,539.4
