Year,Series,Sexo,Edad,Territorio,Units,Value
2019,SL_TLF_NEET_19ICLS,M,Y15T24,ES211,PT,12
2020,SL_TLF_NEET_19ICLS,M,Y15T24,ES211,PT,11.5
2017,SL_TLF_NEET_19ICLS,M,Y15T24,ES211,PT,12.2
2010,SL_TLF_NEET_19ICLS,M,Y15T24,ES211,PT,13
2015,SL_TLF_NEET_19ICLS,M,Y15T24,ES211,PT,8.7
2012,SL_TLF_NEET_19ICLS,M,Y15T24,ES211,PT,13.5
2018,SL_TLF_NEET_19ICLS,M,Y15T24,ES211,PT,8.8
2013,SL_TLF_NEET_19ICLS,M,Y15T24,ES211,PT,13.7
2011,SL_TLF_NEET_19ICLS,M,Y15T24,ES211,PT,14
2014,SL_TLF_NEET_19ICLS,M,Y15T24,ES211,PT,8.2
2011,SL_TLF_NEET_19ICLS,M,Y15T24,ES213,PT,12.9
2022,SL_TLF_NEET_19ICLS,M,Y15T24,ES213,PT,11.4
2020,SL_TLF_NEET_19ICLS,M,Y15T24,ES213,PT,8.5
2021,SL_TLF_NEET_19ICLS,M,Y15T24,ES213,PT,9.1
2023,SL_TLF_NEET_19ICLS,M,Y15T24,ES213,PT,8.4
2018,SL_TLF_NEET_19ICLS,M,Y15T24,ES213,PT,8.5
2017,SL_TLF_NEET_19ICLS,M,Y15T24,ES213,PT,8.1
2016,SL_TLF_NEET_19ICLS,M,Y15T24,ES213,PT,10.6
2014,SL_TLF_NEET_19ICLS,M,Y15T24,ES213,PT,11.9
2013,SL_TLF_NEET_19ICLS,M,Y15T24,ES213,PT,13.7
2019,SL_TLF_NEET_19ICLS,M,Y15T24,ES213,PT,6.7
2012,SL_TLF_NEET_19ICLS,M,Y15T24,ES213,PT,11.7
2024,SL_TLF_NEET_19ICLS,M,Y15T24,ES213,PT,7.8
2015,SL_TLF_NEET_19ICLS,M,Y15T24,ES213,PT,9.3
2010,SL_TLF_NEET_19ICLS,M,Y15T24,ES213,PT,12.8
2017,SL_TLF_NEET_19ICLS,M,Y15T24,ES212,PT,10
2019,SL_TLF_NEET_19ICLS,M,Y15T24,ES212,PT,7.7
2016,SL_TLF_NEET_19ICLS,M,Y15T24,ES212,PT,7.6
2015,SL_TLF_NEET_19ICLS,M,Y15T24,ES212,PT,7.3
2014,SL_TLF_NEET_19ICLS,M,Y15T24,ES212,PT,9.4
2011,SL_TLF_NEET_19ICLS,M,Y15T24,ES212,PT,9.4
2012,SL_TLF_NEET_19ICLS,M,Y15T24,ES212,PT,11.8
2013,SL_TLF_NEET_19ICLS,M,Y15T24,ES212,PT,12.9
2018,SL_TLF_NEET_19ICLS,M,Y15T24,ES212,PT,7.6
2024,SL_TLF_NEET_19ICLS,M,Y15T24,ES212,PT,4.9
2021,SL_TLF_NEET_19ICLS,M,Y15T24,ES212,PT,8
2023,SL_TLF_NEET_19ICLS,M,Y15T24,ES212,PT,6.4
2010,SL_TLF_NEET_19ICLS,M,Y15T24,ES212,PT,10.6
2022,SL_TLF_NEET_19ICLS,M,Y15T24,ES212,PT,6.1
2020,SL_TLF_NEET_19ICLS,M,Y15T24,ES212,PT,7.4
