Year,Edad,Sexo,Territorio,Units,Value
2020,Y_GE10,,ES20080,PT,0.5
2020,Y_GE10,,ES20025,PT,0.2
2010,Y_GE10,,ES20036,PT,0.5
2021,Y_GE10,,ES20041,PT,0.7
2013,Y_GE10,,ES20074,PT,0.5
2020,Y_GE10,,ES01001,PT,0.1
2014,Y_GE10,,ES20041,PT,0.6
2010,Y_GE10,,ES48049,PT,0
2016,Y_GE10,,ES01060,PT,0.4
2021,Y_GE10,,ES01032,PT,0.2
2013,Y_GE10,,ES48911,PT,0
2015,Y_GE10,,ES48065,PT,0.5
2021,Y_GE10,,ES20045,PT,0.3
2020,Y_GE10,,ES01056,PT,0
2010,Y_GE10,,ES20053,PT,0.5
2021,Y_GE10,,ES20057,PT,0.5
2018,Y_GE10,,ES48065,PT,0.3
2018,Y_GE10,,ES20031,PT,0
2019,Y_GE10,,ES48039,PT,0
2010,Y_GE10,,ES20062,PT,0.3
2015,Y_GE10,,ES01013,PT,0
2021,Y_GE10,,ES48085,PT,0.1
2013,Y_GE10,,ES48018,PT,0.6
2020,Y_GE10,,ES48044,PT,0.1
2020,Y_GE10,,ES20065,PT,0.4
2020,Y_GE10,,ES48080,PT,0.4
2015,Y_GE10,,ES20058,PT,0.1
2018,Y_GE10,,ES20075,PT,0.5
2019,Y_GE10,,ES48011,PT,0.3
2018,Y_GE10,,ES01034,PT,0
2013,Y_GE10,,ES48065,PT,0.5
2019,Y_GE10,,ES20015,PT,0.1
2015,Y_GE10,,ES20002,PT,0
2021,Y_GE10,,ES01044,PT,0.3
2019,Y_GE10,,ES20052,PT,0.9
2010,Y_GE10,,ES01021,PT,0
2018,Y_GE10,,ES48082,PT,0.5
2016,Y_GE10,,ES01004,PT,0.1
2016,Y_GE10,,ES48059,PT,0.2
2018,Y_GE10,,ES01047,PT,0.5
2013,Y_GE10,,ES48069,PT,0.2
2013,Y_GE10,,ES48007,PT,0.2
2019,Y_GE10,,,PT,0.3
2013,Y_GE10,,ES01001,PT,0.1
2010,Y_GE10,,ES20073,PT,0.5
2021,Y_GE10,,ES48071,PT,0.3
2019,Y_GE10,,ES20906,PT,0
2020,Y_GE10,,ES48015,PT,0.4
2016,Y_GE10,,ES20054,PT,0.4
2015,Y_GE10,,ES48067,PT,0.2
2020,Y_GE10,,ES48008,PT,1
2014,Y_GE10,,ES48008,PT,1.5
2020,Y_GE10,,ES20051,PT,0.3
2010,Y_GE10,,ES48009,PT,0.1
2016,Y_GE10,,ES20056,PT,0.4
2019,Y_GE10,,ES4801,PT,0.3
2016,Y_GE10,,ES20078,PT,0.3
2021,Y_GE10,,ES48030,PT,0.5
2010,Y_GE10,,ES01039,PT,0
2021,Y_GE10,,ES48076,PT,0.3
2015,Y_GE10,,ES20050,PT,0
2021,Y_GE10,,ES01051,PT,0.5
2018,Y_GE10,,ES01011,PT,0.3
2016,Y_GE10,,ES48095,PT,0.4
2018,Y_GE10,,ES48081,PT,0.1
2021,Y_GE10,,ES48042,PT,0.3
2013,Y_GE10,,ES20049,PT,0.9
2010,Y_GE10,,ES0106,PT,0.5
2013,Y_GE10,,ES48086,PT,0.6
2021,Y_GE10,,ES48016,PT,0.2
2015,Y_GE10,,ES01060,PT,0.4
2019,Y_GE10,,ES01060,PT,0
2019,Y_GE10,,ES01030,PT,0
2019,Y_GE10,,ES20006,PT,0
2020,Y_GE10,,ES20048,PT,0
