Year,Territorio,Sexo,Units,Value
2017,ES211,F,PER_1000_LIVE_BIRTHS,1.37
2015,ES211,F,PER_1000_LIVE_BIRTHS,0.66
2014,ES211,F,PER_1000_LIVE_BIRTHS,1.87
2013,ES211,F,PER_1000_LIVE_BIRTHS,0
2021,ES211,F,PER_1000_LIVE_BIRTHS,2.65
2011,ES211,F,PER_1000_LIVE_BIRTHS,2.37
2012,ES211,F,PER_1000_LIVE_BIRTHS,2.57
2010,ES211,F,PER_1000_LIVE_BIRTHS,0.62
2016,ES211,F,PER_1000_LIVE_BIRTHS,1.31
2022,ES211,F,PER_1000_LIVE_BIRTHS,0.92
2020,ES211,F,PER_1000_LIVE_BIRTHS,0.86
2019,ES211,F,PER_1000_LIVE_BIRTHS,2.39
2019,ES213,F,PER_1000_LIVE_BIRTHS,2.41
2021,ES213,F,PER_1000_LIVE_BIRTHS,0.9
2022,ES213,F,PER_1000_LIVE_BIRTHS,2.07
2015,ES213,F,PER_1000_LIVE_BIRTHS,2.93
2018,ES213,F,PER_1000_LIVE_BIRTHS,3.07
2020,ES213,F,PER_1000_LIVE_BIRTHS,2.57
2014,ES213,F,PER_1000_LIVE_BIRTHS,1.26
2012,ES213,F,PER_1000_LIVE_BIRTHS,2
2010,ES213,F,PER_1000_LIVE_BIRTHS,2.31
2016,ES213,F,PER_1000_LIVE_BIRTHS,1.57
2011,ES213,F,PER_1000_LIVE_BIRTHS,3.21
2013,ES213,F,PER_1000_LIVE_BIRTHS,1.06
2017,ES213,F,PER_1000_LIVE_BIRTHS,1.95
2018,ES212,F,PER_1000_LIVE_BIRTHS,2.27
2020,ES212,F,PER_1000_LIVE_BIRTHS,2.05
2019,ES212,F,PER_1000_LIVE_BIRTHS,1.19
2022,ES212,F,PER_1000_LIVE_BIRTHS,1.4
2021,ES212,F,PER_1000_LIVE_BIRTHS,1.26
2017,ES212,F,PER_1000_LIVE_BIRTHS,0.37
2016,ES212,F,PER_1000_LIVE_BIRTHS,0.68
2015,ES212,F,PER_1000_LIVE_BIRTHS,0.63
2014,ES212,F,PER_1000_LIVE_BIRTHS,0.96
2013,ES212,F,PER_1000_LIVE_BIRTHS,1.3
2012,ES212,F,PER_1000_LIVE_BIRTHS,1.23
2011,ES212,F,PER_1000_LIVE_BIRTHS,1.75
2010,ES212,F,PER_1000_LIVE_BIRTHS,1.41
2017,,M,PER_1000_LIVE_BIRTHS,1.47
2021,,M,PER_1000_LIVE_BIRTHS,1.75
2010,,M,PER_1000_LIVE_BIRTHS,1.76
2022,,M,PER_1000_LIVE_BIRTHS,2.7
2013,,M,PER_1000_LIVE_BIRTHS,1.93
2015,,M,PER_1000_LIVE_BIRTHS,1.64
2020,,M,PER_1000_LIVE_BIRTHS,1.44
2011,,M,PER_1000_LIVE_BIRTHS,0.84
2018,,M,PER_1000_LIVE_BIRTHS,2.06
2014,,M,PER_1000_LIVE_BIRTHS,1.72
2019,,M,PER_1000_LIVE_BIRTHS,2.15
2016,,M,PER_1000_LIVE_BIRTHS,1.61
2012,,M,PER_1000_LIVE_BIRTHS,1.58
2013,ES211,M,PER_1000_LIVE_BIRTHS,2.47
2016,ES211,M,PER_1000_LIVE_BIRTHS,1.94
2012,ES211,M,PER_1000_LIVE_BIRTHS,2.3
2022,ES211,M,PER_1000_LIVE_BIRTHS,5.1
2015,ES211,M,PER_1000_LIVE_BIRTHS,1.22
2021,ES211,M,PER_1000_LIVE_BIRTHS,3.24
2020,ES211,M,PER_1000_LIVE_BIRTHS,1.62
2017,ES211,M,PER_1000_LIVE_BIRTHS,0.67
2011,ES211,M,PER_1000_LIVE_BIRTHS,1.72
2018,ES211,M,PER_1000_LIVE_BIRTHS,2.89
2010,ES211,M,PER_1000_LIVE_BIRTHS,2.3
2019,ES211,M,PER_1000_LIVE_BIRTHS,0.76
2014,ES211,M,PER_1000_LIVE_BIRTHS,1.79
2022,ES213,M,PER_1000_LIVE_BIRTHS,2.3
2021,ES213,M,PER_1000_LIVE_BIRTHS,1.38
2020,ES213,M,PER_1000_LIVE_BIRTHS,1.05
2019,ES213,M,PER_1000_LIVE_BIRTHS,2.76
2018,ES213,M,PER_1000_LIVE_BIRTHS,2.23
2017,ES213,M,PER_1000_LIVE_BIRTHS,1.81
2016,ES213,M,PER_1000_LIVE_BIRTHS,1.7
2015,ES213,M,PER_1000_LIVE_BIRTHS,1.43
2014,ES213,M,PER_1000_LIVE_BIRTHS,1.41
2013,ES213,M,PER_1000_LIVE_BIRTHS,1
2012,ES213,M,PER_1000_LIVE_BIRTHS,1.5
2011,ES213,M,PER_1000_LIVE_BIRTHS,0.93
2010,ES213,M,PER_1000_LIVE_BIRTHS,2.4
2015,ES212,M,PER_1000_LIVE_BIRTHS,2.19
2014,ES212,M,PER_1000_LIVE_BIRTHS,2.16
2013,ES212,M,PER_1000_LIVE_BIRTHS,3.11
2020,ES212,M,PER_1000_LIVE_BIRTHS,1.93
2012,ES212,M,PER_1000_LIVE_BIRTHS,1.37
2011,ES212,M,PER_1000_LIVE_BIRTHS,0.28
2010,ES212,M,PER_1000_LIVE_BIRTHS,0.55
2018,ES212,M,PER_1000_LIVE_BIRTHS,1.41
2022,ES212,M,PER_1000_LIVE_BIRTHS,2.11
2021,ES212,M,PER_1000_LIVE_BIRTHS,1.57
2019,ES212,M,PER_1000_LIVE_BIRTHS,1.92
2017,ES212,M,PER_1000_LIVE_BIRTHS,1.38
2016,ES212,M,PER_1000_LIVE_BIRTHS,1.3
