Year,Territorio,Comarca,Municipio,Units,GeoCode,Value
2014,,,20006,PT,20006,8.8
2015,,,20006,PT,20006,10.6
2016,,,20006,PT,20006,9.4
2017,,,20006,PT,20006,11.3
2018,,,20006,PT,20006,9.5
2019,,,20006,PT,20006,11.3
2020,,,20006,PT,20006,11.5
2014,,,20007,PT,20007,1.3
2015,,,20007,PT,20007,1.2
2016,,,20007,PT,20007,1.2
2017,,,20007,PT,20007,1.8
2018,,,20007,PT,20007,1.2
2019,,,20007,PT,20007,1.3
2020,,,20007,PT,20007,1
2014,,,20008,PT,20008,1.9
2015,,,20008,PT,20008,1.7
2016,,,20008,PT,20008,1.8
2017,,,20008,PT,20008,2.1
2018,,,20008,PT,20008,1.6
2019,,,20008,PT,20008,1.5
2020,,,20008,PT,20008,1.5
2014,,,20009,PT,20009,0.2
2015,,,20009,PT,20009,0.3
2016,,,20009,PT,20009,0.2
2017,,,20009,PT,20009,0.2
2018,,,20009,PT,20009,0.2
2019,,,20009,PT,20009,0.2
2020,,,20009,PT,20009,0.2
2014,,2001,,PT,2001,1
2015,,2001,,PT,2001,1.1
2016,,2001,,PT,2001,1
2017,,2001,,PT,2001,1.3
2018,,2001,,PT,2001,1.3
2019,,2001,,PT,2001,1.3
2020,,2001,,PT,2001,1
2014,,,20010,PT,20010,0.3
2015,,,20010,PT,20010,0.4
2016,,,20010,PT,20010,0.4
2017,,,20010,PT,20010,0.5
2018,,,20010,PT,20010,0.4
2019,,,20010,PT,20010,0.5
2020,,,20010,PT,20010,0.5
2014,,,20011,PT,20011,1.1
2015,,,20011,PT,20011,1.3
2016,,,20011,PT,20011,1.2
2017,,,20011,PT,20011,1.5
2018,,,20011,PT,20011,1.2
2019,,,20011,PT,20011,1.6
2020,,,20011,PT,20011,1.4
2014,,,20012,PT,20012,1.5
2015,,,20012,PT,20012,1.5
2016,,,20012,PT,20012,0.4
2017,,,20012,PT,20012,0.5
2018,,,20012,PT,20012,0.4
2019,,,20012,PT,20012,0.3
2020,,,20012,PT,20012,0.4
2014,,,20013,PT,20013,0.3
2015,,,20013,PT,20013,0.4
2016,,,20013,PT,20013,0.4
2017,,,20013,PT,20013,0.5
2018,,,20013,PT,20013,0.4
2019,,,20013,PT,20013,0.5
2020,,,20013,PT,20013,0.4
2014,,,20014,PT,20014,2.2
2015,,,20014,PT,20014,2.1
2016,,,20014,PT,20014,1.6
2017,,,20014,PT,20014,1.6
2018,,,20014,PT,20014,1.4
2019,,,20014,PT,20014,1.5
2020,,,20014,PT,20014,1.5
2014,,,20015,PT,20015,8.4
2015,,,20015,PT,20015,7.5
2016,,,20015,PT,20015,7.2
2017,,,20015,PT,20015,7.9
2018,,,20015,PT,20015,6.1
2019,,,20015,PT,20015,7.7
2020,,,20015,PT,20015,7.2
2014,,,20016,PT,20016,5.3
2015,,,20016,PT,20016,5.2
2016,,,20016,PT,20016,4.7
2017,,,20016,PT,20016,5.2
2018,,,20016,PT,20016,4.2
2019,,,20016,PT,20016,5
2020,,,20016,PT,20016,4.9
2014,,,20017,PT,20017,0.5
