Year,Territorio,Units,Value
2020,ES20076,PER_10000,39.3
2020,ES20012,PER_10000,0
2021,ES20079,PER_10000,18.4
2019,ES0101,PER_10000,28.8
2019,ES20081,PER_10000,22.2
2021,ES20015,PER_10000,12.2
2020,ES20903,PER_10000,38.3
2019,ES01043,PER_10000,11.6
2021,ES20906,PER_10000,0
2019,ES20017,PER_10000,6.8
2020,ES20018,PER_10000,18.5
2021,ES48915,PER_10000,0
2019,ES20019,PER_10000,20.4
2021,ES2002,PER_10000,38.2
2021,ES48003,PER_10000,25.6
2021,ES01047,PER_10000,13.5
2019,ES48005,PER_10000,0
2021,ES20021,PER_10000,0
2020,ES48008,PER_10000,0
2022,ES4801,PER_10000,36.7
2020,ES20024,PER_10000,38
2020,ES48012,PER_10000,59.4
2020,ES0105,PER_10000,23.5
2021,ES48015,PER_10000,28.6
2021,ES20027,PER_10000,22.3
2019,ES48017,PER_10000,43.1
2019,ES01023,PER_10000,54.6
2021,ES4802,PER_10000,37.4
2019,ES20029,PER_10000,7.4
2019,ES48021,PER_10000,48.9
2020,ES01053,PER_10000,61.7
2020,ES48024,PER_10000,32.8
2021,ES20031,PER_10000,82.6
2021,ES48027,PER_10000,27.9
2019,ES01013,PER_10000,23.9
2019,ES48029,PER_10000,24.5
2019,ES20033,PER_10000,55.8
2021,ES48031,PER_10000,0
2021,ES01056,PER_10000,0
2019,ES48033,PER_10000,0
2020,ES20036,PER_10000,25.7
2020,ES48036,PER_10000,30.2
2021,ES0103,PER_10000,13.9
2021,ES48039,PER_10000,0
2021,ES20039,PER_10000,14.1
2020,ES48040,PER_10000,48.2
2021,ES01058,PER_10000,74
2021,ES48043,PER_10000,48.5
2020,ES20040,PER_10000,25
2019,ES48045,PER_10000,26.6
2021,ES01008,PER_10000,0
2020,ES48048,PER_10000,62.9
2021,ES20043,PER_10000,26.2
2019,ES4805,PER_10000,39.3
2021,ES01060,PER_10000,86.2
2020,ES48052,PER_10000,28.1
2019,ES20045,PER_10000,49.3
2021,ES48055,PER_10000,28.3
2019,ES01031,PER_10000,27.7
2019,ES48057,PER_10000,16.4
2020,ES20048,PER_10000,0
2021,ES4806,PER_10000,19.5
2019,ES01062,PER_10000,47.8
2019,ES48061,PER_10000,0
2019,ES2005,PER_10000,18.5
2020,ES48064,PER_10000,0
2021,ES01016,PER_10000,0
2021,ES48067,PER_10000,28.6
2020,ES20052,PER_10000,27.6
2019,ES48069,PER_10000,26.9
2019,ES01902,PER_10000,48.4
2021,ES48071,PER_10000,32.1
2021,ES20055,PER_10000,27.1
2019,ES48073,PER_10000,18.8
2021,ES01034,PER_10000,0
2020,ES48076,PER_10000,0
2019,ES20057,PER_10000,0
2021,ES48079,PER_10000,45.2
2020,ES20003,PER_10000,0
2019,ES48081,PER_10000,24.4
2021,ES2006,PER_10000,27.5
2020,ES48084,PER_10000,87.4
2019,ES01003,PER_10000,0
2021,ES48087,PER_10000,0
2019,ES20061,PER_10000,23.1
2019,ES48089,PER_10000,23.1
2019,ES20005,PER_10000,46.8
2020,ES48092,PER_10000,0
2020,ES20064,PER_10000,41.5
2021,ES48095,PER_10000,6.6
2020,ES01037,PER_10000,29.7
2019,ES48097,PER_10000,23.9
2021,ES20067,PER_10000,59.5
2020,ES48903,PER_10000,27.1
2020,ES20008,PER_10000,22.5
2021,ES48906,PER_10000,0
2019,ES20069,PER_10000,38.1
2019,ES48908,PER_10000,187.5
2020,ES01019,PER_10000,0
2020,ES48911,PER_10000,0
2021,ES20071,PER_10000,37.5
2021,ES48914,PER_10000,0
2019,ES2001,PER_10000,46.7
2021,ES20073,PER_10000,9.8
2020,ES20010,PER_10000,29.9
2020,ES20074,PER_10000,16.1
2020,ES0102,PER_10000,35.1
2019,ES20075,PER_10000,40.3
2019,ES20011,PER_10000,36.4
2021,ES20077,PER_10000,53.1
2019,ES01041,PER_10000,0
2020,ES20078,PER_10000,0
2021,ES20013,PER_10000,16.9
2019,ES20079,PER_10000,13.4
2021,ES48913,PER_10000,85.5
2021,ES20081,PER_10000,21.8
2020,ES20014,PER_10000,13.2
2020,ES20901,PER_10000,29.5
2021,ES01043,PER_10000,17.1
2019,ES20902,PER_10000,33.1
2019,ES20015,PER_10000,23.8
2021,ES20904,PER_10000,0
2019,ES01020,PER_10000,0
2020,ES20905,PER_10000,87
2021,ES20017,PER_10000,11.9
2019,ES20906,PER_10000,0
2019,ES01001,PER_10000,26.5
2021,ES20018,PER_10000,17.2
2022,,PER_10000,39.9
2019,ES20018,PER_10000,10.7
2021,ES20072,PER_10000,26
2020,ES20019,PER_10000,21.8
2019,ES48915,PER_10000,0
2021,ES48001,PER_10000,31
2021,ES01046,PER_10000,52.5
2020,ES48002,PER_10000,50.3
2019,ES2002,PER_10000,26.5
2019,ES48003,PER_10000,26
2019,ES01021,PER_10000,0
2021,ES48005,PER_10000,0
2020,ES20021,PER_10000,0
2020,ES48006,PER_10000,0
2020,ES01049,PER_10000,0
2019,ES48007,PER_10000,0
2020,ES20022,PER_10000,0
2021,ES48009,PER_10000,38.7
2020,ES4801,PER_10000,40.1
2019,ES20023,PER_10000,33.6
2020,ES48010,PER_10000,36.1
2021,ES0105,PER_10000,25.5
2019,ES48011,PER_10000,21.2
2021,ES20025,PER_10000,13.4
2021,ES48013,PER_10000,46.3
2019,ES01022,PER_10000,18.8
2020,ES48014,PER_10000,13.4
2020,ES20026,PER_10000,68
2019,ES48015,PER_10000,41.6
2019,ES01051,PER_10000,22.6
2021,ES48017,PER_10000,43.3
2019,ES20027,PER_10000,16.3
2020,ES48018,PER_10000,17.4
2020,ES01011,PER_10000,146
2019,ES48019,PER_10000,21.4
2021,ES20029,PER_10000,25.6
2019,ES4802,PER_10000,39.5
2019,ES01052,PER_10000,0
2021,ES48021,PER_10000,35.5
2021,ES2003,PER_10000,27
2020,ES48022,PER_10000,66.6
2021,ES01027,PER_10000,0
2019,ES48023,PER_10000,0
2020,ES20030,PER_10000,41.2
2021,ES48025,PER_10000,37.4
2021,ES01054,PER_10000,0
2020,ES48026,PER_10000,69.7
2019,ES20031,PER_10000,0
2019,ES48027,PER_10000,31.4
2021,ES01006,PER_10000,0
2021,ES48029,PER_10000,24
2021,ES20033,PER_10000,0
2021,ES4803,PER_10000,25.1
2019,ES01055,PER_10000,41.7
2020,ES48030,PER_10000,27.3
2020,ES20034,PER_10000,4.9
2019,ES48031,PER_10000,56.8
2021,ES01028,PER_10000,0
2021,ES48033,PER_10000,0
2019,ES20035,PER_10000,0
2020,ES48034,PER_10000,18.7
2020,ES01056,PER_10000,0
2019,ES48035,PER_10000,0
2021,ES20037,PER_10000,0
2021,ES48037,PER_10000,25.5
2020,ES01013,PER_10000,48.2
2020,ES48038,PER_10000,14.4
2020,ES20038,PER_10000,0
2019,ES48039,PER_10000,0
2020,ES01058,PER_10000,44.2
2019,ES4804,PER_10000,27.8
2019,ES20039,PER_10000,14.1
2021,ES48041,PER_10000,46.2
2022,ES0103,PER_10000,13.9
2020,ES48042,PER_10000,48.4
2019,ES2004,PER_10000,40.2
2019,ES48043,PER_10000,3.3
2020,ES01059,PER_10000,34.4
2021,ES48045,PER_10000,23.5
2021,ES20041,PER_10000,0
2020,ES48046,PER_10000,43.4
2020,ES01002,PER_10000,30.3
2019,ES48047,PER_10000,103.1
2020,ES20042,PER_10000,37.3
2021,ES48049,PER_10000,0
2022,ES0106,PER_10000,41.7
2021,ES4805,PER_10000,34.5
2019,ES20043,PER_10000,0
2020,ES48050,PER_10000,0
2021,ES01030,PER_10000,0
2019,ES48051,PER_10000,0
2021,ES20045,PER_10000,51.8
2021,ES48053,PER_10000,15.5
2019,ES01060,PER_10000,0
2020,ES48054,PER_10000,36.8
2020,ES20046,PER_10000,69.1
2019,ES48055,PER_10000,27.7
2019,ES01016,PER_10000,0
2021,ES48057,PER_10000,16.4
2019,ES20047,PER_10000,82.6
2020,ES48058,PER_10000,17.1
2021,ES01062,PER_10000,0
2019,ES48059,PER_10000,77.5
2021,ES20049,PER_10000,20.7
2019,ES4806,PER_10000,16.2
2021,ES01032,PER_10000,28.4
2021,ES48061,PER_10000,0
2021,ES2005,PER_10000,26
2020,ES48062,PER_10000,0
2020,ES01063,PER_10000,17.7
2019,ES48063,PER_10000,41.3
2020,ES20050,PER_10000,0
2021,ES48065,PER_10000,54.4
2019,ES01008,PER_10000,21.4
2020,ES48066,PER_10000,0
2019,ES20051,PER_10000,24
2019,ES48067,PER_10000,13.7
2019,ES01901,PER_10000,29.2
2021,ES48069,PER_10000,28
2021,ES20053,PER_10000,52.3
2021,ES4807,PER_10000,34.4
2020,ES01033,PER_10000,23.6
2020,ES48070,PER_10000,0
2020,ES20054,PER_10000,0
2019,ES48071,PER_10000,42
2020,ES20001,PER_10000,71.4
2021,ES48073,PER_10000,14.3
2019,ES20055,PER_10000,32.1
2020,ES48074,PER_10000,24.9
2020,ES01017,PER_10000,0
2019,ES48075,PER_10000,7.5
2021,ES20057,PER_10000,0
2021,ES48077,PER_10000,30.4
2021,ES20002,PER_10000,0
2020,ES48078,PER_10000,35.9
2020,ES20058,PER_10000,44.2
2019,ES48079,PER_10000,45
2020,ES01034,PER_10000,90.1
2021,ES48081,PER_10000,32.7
2019,ES20059,PER_10000,15.5
2020,ES48082,PER_10000,37.8
2019,ES20003,PER_10000,0
2019,ES48083,PER_10000,65.2
2019,ES2006,PER_10000,23.5
2021,ES48085,PER_10000,42.9
2021,ES01001,PER_10000,32.7
2020,ES48086,PER_10000,23.1
2021,ES20061,PER_10000,26.4
2019,ES48087,PER_10000,39.4
2020,ES20005,PER_10000,23
2021,ES48089,PER_10000,39.5
2020,ES20062,PER_10000,0
2020,ES48090,PER_10000,40.3
2021,ES01037,PER_10000,55.7
2019,ES48091,PER_10000,14.2
2019,ES20063,PER_10000,28.3
2021,ES48093,PER_10000,30.9
2019,ES20006,PER_10000,0
2020,ES48094,PER_10000,32.5
2021,ES20065,PER_10000,37.3
2019,ES48095,PER_10000,26.4
2019,ES01018,PER_10000,0
2021,ES48097,PER_10000,71.7
2020,ES20066,PER_10000,36.8
2020,ES48901,PER_10000,22.9
2019,ES20007,PER_10000,0
2019,ES48902,PER_10000,75.5
2019,ES20067,PER_10000,55.9
2021,ES48904,PER_10000,46.9
2020,ES01039,PER_10000,0
2020,ES48905,PER_10000,36.6
2021,ES20069,PER_10000,30.9
2019,ES48906,PER_10000,0
2021,ES20009,PER_10000,25.6
2021,ES48908,PER_10000,0
2021,ES2007,PER_10000,17.7
2020,ES48909,PER_10000,0
2021,ES0101,PER_10000,38.5
2019,ES48910,PER_10000,0
2020,ES20070,PER_10000,26.7
2021,ES48912,PER_10000,59.4
2021,ES2001,PER_10000,44.3
2020,ES48913,PER_10000,84.2
2019,ES20071,PER_10000,21.1
2019,ES48914,PER_10000,0
2019,ES0104,PER_10000,21.4
2019,ES20072,PER_10000,16.1
2021,ES20010,PER_10000,29.3
2020,ES20073,PER_10000,19.5
2020,ES0104,PER_10000,26.6
2021,ES20074,PER_10000,44.7
2019,ES20010,PER_10000,10.2
2019,ES20074,PER_10000,23.9
2020,ES0101,PER_10000,42.4
2020,ES20075,PER_10000,30.5
2020,ES20011,PER_10000,18.5
2021,ES20076,PER_10000,31.5
2020,ES01041,PER_10000,0
2019,ES20076,PER_10000,21.6
2021,ES20012,PER_10000,0
2020,ES20077,PER_10000,26.5
2022,ES0102,PER_10000,42.9
2021,ES20078,PER_10000,12.4
2019,ES20012,PER_10000,0
2019,ES20078,PER_10000,0
2021,ES01042,PER_10000,0
2020,ES20079,PER_10000,10.8
2020,ES20013,PER_10000,14.2
2021,ES20080,PER_10000,9.1
2021,ES0104,PER_10000,19.5
2019,ES20080,PER_10000,11.2
2021,ES20014,PER_10000,13.5
2020,ES20081,PER_10000,12
2019,ES01042,PER_10000,17.5
2021,ES20901,PER_10000,0
2019,ES20014,PER_10000,52.3
2019,ES20901,PER_10000,18.9
2019,ES0102,PER_10000,38.8
2020,ES20902,PER_10000,37.8
2020,ES20015,PER_10000,47.9
2021,ES20903,PER_10000,25.5
2020,ES01043,PER_10000,40.2
2019,ES20903,PER_10000,37.5
2021,ES20016,PER_10000,0
2020,ES20904,PER_10000,0
2020,ES20071,PER_10000,21.8
2021,ES20905,PER_10000,0
2019,ES20016,PER_10000,32.3
2019,ES20905,PER_10000,92.6
2020,ES01044,PER_10000,78.1
2020,ES20906,PER_10000,0
2020,ES20017,PER_10000,27.1
2021,ES20907,PER_10000,0
2019,ES48913,PER_10000,14.1
2019,ES20907,PER_10000,0
2020,ES01004,PER_10000,20.9
2019,ES01044,PER_10000,0
2020,ES2001,PER_10000,40
2022,ES0101,PER_10000,52.7
2021,ES01020,PER_10000,58.5
2021,ES01044,PER_10000,0
2020,ES48914,PER_10000,0
2020,ES01046,PER_10000,27.1
2019,ES01004,PER_10000,41.4
2021,ES01010,PER_10000,20.8
2019,ES01019,PER_10000,0
2019,ES01046,PER_10000,56.8
2022,ES2002,PER_10000,52.3
2020,ES48001,PER_10000,18.1
2020,ES01021,PER_10000,0
2021,ES48002,PER_10000,52.9
2020,ES2002,PER_10000,34
2019,ES48002,PER_10000,33.4
2019,ES01047,PER_10000,0
2020,ES48003,PER_10000,25.8
2021,ES20020,PER_10000,0
2021,ES48004,PER_10000,0
2019,ES01010,PER_10000,20.6
2019,ES48004,PER_10000,48.1
2019,ES20020,PER_10000,0
2020,ES48005,PER_10000,0
2020,ES01047,PER_10000,66.7
2021,ES48006,PER_10000,49.5
2019,ES20021,PER_10000,0
2019,ES48006,PER_10000,161.3
2021,ES01021,PER_10000,0
2020,ES48007,PER_10000,0
2021,ES20022,PER_10000,0
2021,ES48008,PER_10000,29.4
2019,ES01049,PER_10000,0
2019,ES48008,PER_10000,30.5
2019,ES20022,PER_10000,0
2020,ES48009,PER_10000,0
2021,ES4801,PER_10000,33.4
2020,ES20023,PER_10000,34
2019,ES4801,PER_10000,33.7
2019,ES0105,PER_10000,14.3
2021,ES48010,PER_10000,0
2021,ES20024,PER_10000,0
2019,ES48010,PER_10000,0
2021,ES01022,PER_10000,19.6
2020,ES48011,PER_10000,40.6
2019,ES20024,PER_10000,0
2021,ES48012,PER_10000,57.1
2022,ES0105,PER_10000,25.3
2019,ES48012,PER_10000,38.1
2020,ES20025,PER_10000,13.5
2020,ES48013,PER_10000,40
2019,ES01011,PER_10000,0
2021,ES48014,PER_10000,64.9
2021,ES20026,PER_10000,0
2019,ES48014,PER_10000,0
2020,ES01051,PER_10000,49.7
2020,ES48015,PER_10000,34
2019,ES20026,PER_10000,137.9
2021,ES48016,PER_10000,18.3
2021,ES01023,PER_10000,0
2019,ES48016,PER_10000,21.5
2020,ES20027,PER_10000,27.3
2020,ES48017,PER_10000,60.6
2021,ES01051,PER_10000,19.4
2021,ES48018,PER_10000,35.1
2021,ES20028,PER_10000,34.5
2019,ES48018,PER_10000,0
2019,ES01006,PER_10000,0
2020,ES48019,PER_10000,34.9
2019,ES20028,PER_10000,13.2
2022,ES4802,PER_10000,41.8
2020,ES01052,PER_10000,0
2020,ES4802,PER_10000,37.1
2020,ES20029,PER_10000,11
2021,ES48020,PER_10000,31.1
2020,ES01023,PER_10000,55.9
2019,ES48020,PER_10000,39
2022,ES2003,PER_10000,36.1
2020,ES48021,PER_10000,60.3
2021,ES01053,PER_10000,30.3
2021,ES48022,PER_10000,37.5
2020,ES2003,PER_10000,15.7
2019,ES48022,PER_10000,22
2021,ES01011,PER_10000,73
2020,ES48023,PER_10000,27.9
2021,ES20030,PER_10000,43.7
2021,ES48024,PER_10000,48.1
2019,ES01053,PER_10000,94
2019,ES48024,PER_10000,16.6
2019,ES20030,PER_10000,28.4
2020,ES48025,PER_10000,37.2
2019,ES01027,PER_10000,0
2021,ES48026,PER_10000,28.1
2020,ES20031,PER_10000,166.7
2019,ES48026,PER_10000,14.1
2020,ES01054,PER_10000,43.6
2020,ES48027,PER_10000,27.2
2021,ES20032,PER_10000,39.7
2021,ES48028,PER_10000,25
2021,ES01002,PER_10000,17.1
2019,ES48028,PER_10000,25.2
2019,ES20032,PER_10000,27.4
2020,ES48029,PER_10000,45
2021,ES01055,PER_10000,57.1
2022,ES4803,PER_10000,34.1
2020,ES20033,PER_10000,0
2020,ES4803,PER_10000,23.5
2020,ES01028,PER_10000,26
2021,ES48030,PER_10000,0
2021,ES20034,PER_10000,53.5
2019,ES48030,PER_10000,26
2020,ES01055,PER_10000,40.2
2020,ES48031,PER_10000,0
2019,ES20034,PER_10000,14.7
2021,ES48032,PER_10000,10.6
2021,ES01013,PER_10000,24.3
2019,ES48032,PER_10000,18.5
2020,ES20035,PER_10000,0
2020,ES48033,PER_10000,0
2019,ES01056,PER_10000,0
2021,ES48034,PER_10000,31.6
2021,ES20036,PER_10000,17.4
2019,ES48034,PER_10000,14.9
2019,ES01028,PER_10000,26.8
2020,ES48035,PER_10000,0
2019,ES20036,PER_10000,37.4
2021,ES48036,PER_10000,28.8
2021,ES01057,PER_10000,70.9
2019,ES48036,PER_10000,33.5
2020,ES20037,PER_10000,0
2020,ES48037,PER_10000,0
2020,ES01006,PER_10000,0
2021,ES48038,PER_10000,0
2021,ES20038,PER_10000,0
2019,ES48038,PER_10000,14.1
2020,ES01057,PER_10000,0
2020,ES48039,PER_10000,0
2019,ES20038,PER_10000,0
2022,ES4804,PER_10000,36.9
2019,ES0103,PER_10000,7.5
2020,ES4804,PER_10000,34.5
2020,ES20039,PER_10000,14.2
2021,ES48040,PER_10000,0
2019,ES01058,PER_10000,46.3
2019,ES48040,PER_10000,12.1
2022,ES2004,PER_10000,41.8
2020,ES48041,PER_10000,23.7
2021,ES01014,PER_10000,43.1
2021,ES48042,PER_10000,24.3
2020,ES2004,PER_10000,34.5
2019,ES48042,PER_10000,12.1
2021,ES01059,PER_10000,36.8
2020,ES48043,PER_10000,35.8
2021,ES20040,PER_10000,39.1
2021,ES48044,PER_10000,21
2020,ES0103,PER_10000,14.6
2019,ES48044,PER_10000,29.2
2019,ES20040,PER_10000,41.9
2020,ES48045,PER_10000,23.6
2019,ES01059,PER_10000,39.7
2021,ES48046,PER_10000,32.1
2020,ES20041,PER_10000,66.2
2019,ES48046,PER_10000,48.1
2020,ES01001,PER_10000,39.5
2020,ES48047,PER_10000,0
2021,ES20042,PER_10000,19.1
2021,ES48048,PER_10000,29.7
2020,ES0106,PER_10000,20.4
2019,ES48048,PER_10000,0
2019,ES20042,PER_10000,27.6
2020,ES48049,PER_10000,0
2020,ES01030,PER_10000,0
2022,ES4805,PER_10000,31.4
2020,ES20043,PER_10000,0
2020,ES4805,PER_10000,47.3
2019,ES0106,PER_10000,26.6
2021,ES48050,PER_10000,0
2021,ES20044,PER_10000,0
2019,ES48050,PER_10000,0
2019,ES01014,PER_10000,43.1
2020,ES48051,PER_10000,78.7
2019,ES20044,PER_10000,0
2021,ES48052,PER_10000,9.4
2020,ES01060,PER_10000,0
2019,ES48052,PER_10000,0
2020,ES20045,PER_10000,43.9
2020,ES48053,PER_10000,15.6
2020,ES01031,PER_10000,14
2021,ES48054,PER_10000,37.8
2021,ES20046,PER_10000,34.3
2019,ES48054,PER_10000,41.6
2021,ES01061,PER_10000,0
2020,ES48055,PER_10000,28.1
2019,ES20046,PER_10000,11.5
2021,ES48056,PER_10000,15.8
2020,ES01008,PER_10000,41.9
2019,ES48056,PER_10000,17.3
2020,ES20047,PER_10000,28.6
2020,ES48057,PER_10000,19.1
2020,ES01061,PER_10000,0
2021,ES48058,PER_10000,16.9
2021,ES20048,PER_10000,90.1
2019,ES48058,PER_10000,17.3
2021,ES01031,PER_10000,13.9
2020,ES48059,PER_10000,38.8
2019,ES20048,PER_10000,0
2022,ES4806,PER_10000,29.8
2020,ES01062,PER_10000,47.4
2020,ES4806,PER_10000,20.9
2020,ES20049,PER_10000,24.4
2021,ES48060,PER_10000,44.7
2020,ES01016,PER_10000,0
2019,ES48060,PER_10000,8.2
2022,ES2005,PER_10000,26.5
2020,ES48061,PER_10000,0
2021,ES01063,PER_10000,8.9
2021,ES48062,PER_10000,49
2020,ES2005,PER_10000,24.9
2019,ES48062,PER_10000,52.6
2020,ES01032,PER_10000,0
2020,ES48063,PER_10000,87.3
2021,ES20050,PER_10000,0
2021,ES48064,PER_10000,58
2019,ES01063,PER_10000,0
2019,ES48064,PER_10000,0
2019,ES20050,PER_10000,0
2020,ES48065,PER_10000,64.1
2021,ES01003,PER_10000,14
2021,ES48066,PER_10000,0
2020,ES20051,PER_10000,28.9
2019,ES48066,PER_10000,0
2021,ES01901,PER_10000,23.7
2020,ES48067,PER_10000,56.3
2021,ES20052,PER_10000,27.5
2021,ES48068,PER_10000,41.1
2019,ES01033,PER_10000,46.8
2019,ES48068,PER_10000,0
2019,ES20052,PER_10000,27.7
2020,ES48069,PER_10000,32.5
2021,ES01902,PER_10000,71.3
2022,ES4807,PER_10000,29.7
2020,ES20053,PER_10000,62.3
2020,ES4807,PER_10000,30.5
2021,ES01017,PER_10000,0
2021,ES48070,PER_10000,0
2021,ES20054,PER_10000,0
2019,ES48070,PER_10000,0
2020,ES01902,PER_10000,0
2020,ES48071,PER_10000,71.4
2019,ES20054,PER_10000,98.4
2021,ES48072,PER_10000,0
2021,ES01033,PER_10000,47.6
2019,ES48072,PER_10000,29.9
2020,ES20055,PER_10000,19.7
2020,ES48073,PER_10000,26
2021,ES20001,PER_10000,0
2021,ES48074,PER_10000,35.2
2021,ES20056,PER_10000,34.1
2019,ES48074,PER_10000,54.5
2021,ES01009,PER_10000,48.1
2020,ES48075,PER_10000,51.5
2019,ES20056,PER_10000,34.2
2021,ES48076,PER_10000,0
2020,ES20002,PER_10000,132.7
2019,ES48076,PER_10000,59.9
2020,ES20057,PER_10000,0
2020,ES48077,PER_10000,52.4
2019,ES01034,PER_10000,0
2021,ES48078,PER_10000,44.3
2021,ES20058,PER_10000,22.1
2019,ES48078,PER_10000,34.9
2019,ES20002,PER_10000,0
2020,ES48079,PER_10000,90.5
2019,ES20058,PER_10000,0
2021,ES48080,PER_10000,68.8
2019,ES01017,PER_10000,0
2019,ES48080,PER_10000,40.6
2020,ES20059,PER_10000,13.8
2020,ES48081,PER_10000,16.3
2021,ES20003,PER_10000,26.2
2021,ES48082,PER_10000,55.3
2022,ES2006,PER_10000,30.2
2019,ES48082,PER_10000,33.6
2020,ES01036,PER_10000,19.2
2020,ES48083,PER_10000,60.6
2020,ES2006,PER_10000,27
2021,ES48084,PER_10000,73.3
2020,ES20004,PER_10000,0
2019,ES48084,PER_10000,77.1
2021,ES20060,PER_10000,0
2020,ES48085,PER_10000,22.5
2020,ES48912,PER_10000,20.1
2021,ES48086,PER_10000,37.2
2019,ES20060,PER_10000,0
2019,ES48086,PER_10000,15.9
2019,ES20004,PER_10000,0
2020,ES48087,PER_10000,0
2020,ES20061,PER_10000,36.1
2021,ES48088,PER_10000,0
2019,ES01036,PER_10000,26.5
2019,ES48088,PER_10000,0
2021,ES20062,PER_10000,0
2020,ES48089,PER_10000,29.7
2021,ES20005,PER_10000,23.3
2021,ES48090,PER_10000,35
2019,ES20062,PER_10000,15.5
2019,ES48090,PER_10000,33.1
2021,ES01018,PER_10000,23.7
2020,ES48091,PER_10000,0
2020,ES20063,PER_10000,32.2
2021,ES48092,PER_10000,35.2
2021,ES20006,PER_10000,0
2019,ES48092,PER_10000,17.7
2021,ES20064,PER_10000,46.5
2020,ES48093,PER_10000,62.2
2019,ES01037,PER_10000,31.1
2021,ES48094,PER_10000,23.3
2019,ES20064,PER_10000,47.2
2019,ES48094,PER_10000,27.9
2020,ES20006,PER_10000,0
2020,ES48095,PER_10000,26.4
2020,ES20065,PER_10000,31.1
2021,ES48096,PER_10000,49.6
2020,ES01009,PER_10000,73.7
2019,ES48096,PER_10000,32.6
2021,ES20066,PER_10000,0
2020,ES48097,PER_10000,106.6
2020,ES20007,PER_10000,0
2021,ES48901,PER_10000,27.7
2019,ES20066,PER_10000,0
2019,ES48901,PER_10000,26.7
2021,ES01039,PER_10000,0
2020,ES48902,PER_10000,39.9
2020,ES20067,PER_10000,37.6
2021,ES48903,PER_10000,45.8
2021,ES20008,PER_10000,22.3
2019,ES48903,PER_10000,61.2
2021,ES20068,PER_10000,0
2020,ES48904,PER_10000,21.2
2021,ES01019,PER_10000,0
2021,ES48905,PER_10000,68.2
