Value,es,eu,en,Disaggregation combinations using this value,Number of indicators
ES20075,Villabona,Villabona,Villabona,4,1
ES20076,Ordizia,Ordizia,Ordizia,4,1
ES20077,Urretxu,Urretxu,Urretxu,4,1
ES20078,Zaldibia,Zaldibia,Zaldibia,4,1
ES20079,Zarautz,Zarautz,Zarautz,4,1
ES2007,Urola Kosta,Urola Kosta,Urola Kosta,4,1
ES20080,Zumarraga,Zumarraga,Zumarraga,4,1
ES20081,Zumaia,Zumaia,Zumaia,4,1
ES20901,Mendaro,Mendaro,Mendaro,4,1
ES20902,Lasarte-Oria,Lasarte-Oria,Lasarte-Oria,4,1
ES20903,Astigarraga,Astigarraga,Astigarraga,4,1
ES20904,Baliarrain,Baliarrain,Baliarrain,4,1
ES20905,Orendain,Orendain,Orendain,4,1
ES20906,Altzaga,Altzaga,Altzaga,4,1
ES20907,Gaztelu,Gaztelu,Gaztelu,4,1
ES211,Araba/Álava,Araba/Álava,Araba/Álava,16,4
ES212,Gipuzkoa,Gipuzkoa,Gipuzkoa,16,4
ES213,Bizkaia,Bizkaia,Bizkaia,16,4
ES48001,Abadiño,Abadiño,Abadiño,4,1
ES48002,Abanto y Ciérvana-Abanto Zierbena,Abanto y Ciérvana-Abanto Zierbena,Abanto y Ciérvana-Abanto Zierbena,4,1
ES48003,Amorebieta-Etxano,Amorebieta-Etxano,Amorebieta-Etxano,4,1
ES48004,Amoroto,Amoroto,Amoroto,4,1
ES48005,Arakaldo,Arakaldo,Arakaldo,4,1
ES48006,Arantzazu,Arantzazu,Arantzazu,4,1
ES48007,Munitibar-Arbatzegi Gerrikaitz,Munitibar-Arbatzegi Gerrikaitz,Munitibar-Arbatzegi Gerrikaitz,4,1
ES48008,Artzentales,Artzentales,Artzentales,4,1
ES48009,Arrankudiaga-Zollo,Arrankudiaga-Zollo,Arrankudiaga-Zollo,4,1
ES48010,Arrieta,Arrieta,Arrieta,4,1
ES48011,Arrigorriaga,Arrigorriaga,Arrigorriaga,4,1
ES48012,Bakio,Bakio,Bakio,4,1
ES48013,Barakaldo,Barakaldo,Barakaldo,4,1
ES48014,Barrika,Barrika,Barrika,4,1
ES48015,Basauri,Basauri,Basauri,4,1
ES48016,Berango,Berango,Berango,4,1
ES48017,Bermeo,Bermeo,Bermeo,4,1
ES48018,Berriatua,Berriatua,Berriatua,4,1
ES48019,Berriz,Berriz,Berriz,4,1
ES4801,Arratia Nerbioi / Arratia-Nervión,Arratia Nerbioi / Arratia-Nervión,Arratia Nerbioi / Arratia-Nervión,4,1
ES48020,Bilbao,Bilbao,Bilbao,4,1
ES48021,Busturia,Busturia,Busturia,4,1
ES48022,Karrantza Harana/Valle de Carranza,Karrantza Harana/Valle de Carranza,Karrantza Harana/Valle de Carranza,4,1
ES48023,Artea,Artea,Artea,4,1
ES48024,Zeanuri,Zeanuri,Zeanuri,4,1
ES48025,Zeberio,Zeberio,Zeberio,4,1
ES48026,Dima,Dima,Dima,4,1
ES48027,Durango,Durango,Durango,4,1
ES48028,Ea,Ea,Ea,4,1
ES48029,Etxebarri,Etxebarri,Etxebarri,4,1
ES4802,Bilbo Handia / Gran Bilbao,Bilbo Handia / Gran Bilbao,Bilbo Handia / Gran Bilbao,4,1
ES48030,Etxebarria,Etxebarria,Etxebarria,4,1
ES48031,Elantxobe,Elantxobe,Elantxobe,4,1
ES48032,Elorrio,Elorrio,Elorrio,4,1
ES48033,Ereño,Ereño,Ereño,4,1
ES48034,Ermua,Ermua,Ermua,4,1
ES48035,Fruiz,Fruiz,Fruiz,4,1
ES48036,Galdakao,Galdakao,Galdakao,4,1
ES48037,Galdames,Galdames,Galdames,4,1
ES48038,Gamiz-Fika,Gamiz-Fika,Gamiz-Fika,4,1
ES48039,Garai,Garai,Garai,4,1
ES4803,Durangaldea / Duranguesado,Durangaldea / Duranguesado,Durangaldea / Duranguesado,4,1
ES48040,Gatika,Gatika,Gatika,4,1
ES48041,Gautegiz Arteaga,Gautegiz Arteaga,Gautegiz Arteaga,4,1
ES48042,Gordexola,Gordexola,Gordexola,4,1
ES48043,Gorliz,Gorliz,Gorliz,4,1
ES48044,Getxo,Getxo,Getxo,4,1
ES48045,Güeñes,Güeñes,Güeñes,4,1
ES48046,Gernika-Lumo,Gernika-Lumo,Gernika-Lumo,4,1
ES48047,Gizaburuaga,Gizaburuaga,Gizaburuaga,4,1
ES48048,Ibarrangelu,Ibarrangelu,Ibarrangelu,4,1
ES48049,Ispaster,Ispaster,Ispaster,4,1
ES4804,Enkartazioak / Encartaciones,Enkartazioak / Encartaciones,Enkartazioak / Encartaciones,4,1
ES48050,Izurtza,Izurtza,Izurtza,4,1
ES48051,Lanestosa,Lanestosa,Lanestosa,4,1
ES48052,Larrabetzu,Larrabetzu,Larrabetzu,4,1
ES48053,Laukiz,Laukiz,Laukiz,4,1
ES48054,Leioa,Leioa,Leioa,4,1
ES48055,Lemoa,Lemoa,Lemoa,4,1
ES48056,Lemoiz,Lemoiz,Lemoiz,4,1
ES48057,Lekeitio,Lekeitio,Lekeitio,4,1
ES48058,Mallabia,Mallabia,Mallabia,4,1
ES48059,Mañaria,Mañaria,Mañaria,4,1
ES4805,Gernika-Bermeo,Gernika-Bermeo,Gernika-Bermeo,4,1
ES48060,Markina-Xemein,Markina-Xemein,Markina-Xemein,4,1
ES48061,Maruri-Jatabe,Maruri-Jatabe,Maruri-Jatabe,4,1
ES48062,Mendata,Mendata,Mendata,4,1
ES48063,Mendexa,Mendexa,Mendexa,4,1
ES48064,Meñaka,Meñaka,Meñaka,4,1
ES48065,Ugao-Miraballes,Ugao-Miraballes,Ugao-Miraballes,4,1
ES48066,Morga,Morga,Morga,4,1
ES48067,Muxika,Muxika,Muxika,4,1
ES48068,Mundaka,Mundaka,Mundaka,4,1
ES48069,Mungia,Mungia,Mungia,4,1
ES4806,Markina-Ondarroa,Markina-Ondarroa,Markina-Ondarroa,4,1
ES48070,Aulesti,Aulesti,Aulesti,4,1
ES48071,Muskiz,Muskiz,Muskiz,4,1
ES48072,Otxandio,Otxandio,Otxandio,4,1
ES48073,Ondarroa,Ondarroa,Ondarroa,4,1
ES48074,Urduña/Orduña,Urduña/Orduña,Urduña/Orduña,4,1
ES48075,Orozko,Orozko,Orozko,4,1
ES48076,Sukarrieta,Sukarrieta,Sukarrieta,4,1
ES48077,Plentzia,Plentzia,Plentzia,4,1
ES48078,Portugalete,Portugalete,Portugalete,4,1
ES48079,Errigoiti,Errigoiti,Errigoiti,4,1
ES4807,Plentzia-Mungia,Plentzia-Mungia,Plentzia-Mungia,4,1
ES48080,Valle de Trápaga-Trapagaran,Valle de Trápaga-Trapagaran,Valle de Trápaga-Trapagaran,4,1
ES48081,Lezama,Lezama,Lezama,4,1
ES48082,Santurtzi,Santurtzi,Santurtzi,4,1
ES48083,Ortuella,Ortuella,Ortuella,4,1
ES48084,Sestao,Sestao,Sestao,4,1
ES48085,Sopela,Sopela,Sopela,4,1
ES48086,Sopuerta,Sopuerta,Sopuerta,4,1
ES48087,Trucios-Turtzioz,Trucios-Turtzioz,Trucios-Turtzioz,4,1
ES48088,Ubide,Ubide,Ubide,4,1
ES48089,Urduliz,Urduliz,Urduliz,4,1
ES48090,Balmaseda,Balmaseda,Balmaseda,4,1
ES48091,Atxondo,Atxondo,Atxondo,4,1
ES48092,Bedia,Bedia,Bedia,4,1
ES48093,Areatza,Areatza,Areatza,4,1
ES48094,Igorre,Igorre,Igorre,4,1
ES48095,Zaldibar,Zaldibar,Zaldibar,4,1
ES48096,Zalla,Zalla,Zalla,4,1
ES48097,Zaratamo,Zaratamo,Zaratamo,4,1
ES48901,Derio,Derio,Derio,4,1
ES48902,Erandio,Erandio,Erandio,4,1
ES48903,Loiu,Loiu,Loiu,4,1
ES48904,Sondika,Sondika,Sondika,4,1
